
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

255,1055,50,450,
271.263,1136.31,50,482.525,
288.839,1224.2,50,517.679,
307.837,1319.18,50,555.673,
328.369,1421.84,50,596.738,
350.56,1532.8,50,641.12,
374.545,1652.72,50,689.09,
400.468,1782.34,50,740.935,
428.485,1922.43,50,796.971,
458.767,2073.83,50,857.534,
491.496,2237.48,50,922.991,
526.869,2414.34,50,993.738,
565.101,2605.5,50,1070.2,
606.422,2812.11,50,1152.84,
651.082,3035.41,50,1242.16,
699.352,3276.76,50,1338.7,
751.521,3537.61,50,1443.04,
807.907,3819.54,50,1555.81,
868.849,4124.25,50,1677.7,
934.716,4453.58,50,1809.43,
1005.9,4809.52,50,1951.81,
1082.85,5194.23,50,2105.69,
1166.01,5610.03,50,2272.01,
1255.89,6059.43,50,2451.77,
1353.03,6545.14,50,2646.05,
1458.02,7070.1,50,2856.04,
1571.5,7637.48,50,3082.99,
1694.14,8250.71,50,3328.28,
1826.7,8913.49,50,3593.4,
1969.97,9629.84,50,3879.93,
2124.81,10404.1,50,4189.63,
2292.17,11240.9,50,4524.34,
2473.05,12145.3,50,4886.11,
2668.55,13122.8,50,5277.11,
2879.85,14179.3,50,5699.7,
3108.22,15321.1,50,6156.45,
3355.05,16555.2,50,6650.1,
3621.82,17889.1,50,7183.64,
3910.15,19330.7,50,7760.3,
4221.78,20888.9,50,8383.56,
4558.59,22572.9,50,9057.18,
4922.62,24393.1,50,9785.23,
5316.06,26360.3,50,10572.1,
5741.3,28486.5,50,11422.6,
6200.9,30784.5,50,12341.8,
6697.64,33268.2,50,13335.3,
7234.51,35952.6,50,14409,
7814.78,38853.9,50,15569.6,
8441.93,41989.7,50,16823.9,
9119.77,45378.8,50,18179.5,
