
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

185,119,33,2,
175,163,43,37,
120,86,42,25,
156,150,60,57,
120,148,30,44,
132,110,56,45,
138,130,51,47,
190,128,62,31,
157,153,53,51,
192,142,66,41,
164,218,44,71,
160,180,42,52,
174,108,71,38,
162,166,63,65,
101,137,35,53,
132,138,39,42,
184,176,58,54,
120,106,60,53,
193,175,71,62,
146,146,50,50,
157,139,61,52,
138,158,41,51,
190,144,74,51,
117,125,57,61,
151,191,55,75,
146,156,32,37,
125,147,34,45,
105,103,52,51,
129,139,39,44,
143,103,71,51,
172,152,51,41,
139,101,55,36,
125,137,42,48,
166,192,38,51,
146,126,85,75,
190,166,74,62,
136,184,38,62,
146,124,86,75,
114,134,43,53,
152,152,55,55,
156,164,62,66,
172,126,60,37,
182,162,53,43,
157,115,47,26,
203,219,48,56,
108,118,51,56,
111,79,81,65,
180,176,70,68,
144,168,51,63,
165,165,60,60,
175,173,27,26,
215,163,66,40,
136,182,39,62,
186,170,76,68,
148,152,63,65,
193,175,57,48,
159,167,32,36,
121,113,55,51,
84,134,52,77,
167,179,60,66,
202,196,51,48,
141,131,62,57,
137,133,57,55,
234,184,85,60,
166,182,36,44,
138,166,28,42,
204,246,31,52,
121,123,50,51,
214,162,47,21,
184,174,52,47,
167,151,38,30,
179,165,52,45,
174,128,51,28,
200,174,73,60,
193,203,37,42,
125,143,31,40,
94,148,34,61,
142,200,32,61,
171,137,55,38,
166,144,75,64,
126,142,56,64,
141,131,53,48,
145,159,54,61,
148,170,71,82,
108,152,29,51,
141,137,60,58,
153,141,76,70,
161,169,22,26,
146,142,44,42,
169,161,51,47,
119,129,37,42,
155,179,39,51,
191,177,38,31,
162,134,39,25,
153,141,60,54,
114,164,9,34,
179,167,39,33,
