
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

180,128,90,64,
183,177,44,41,
193,155,56,37,
187,193,50,53,
148,186,49,68,
90,104,42,49,
166,148,53,44,
151,133,67,58,
93,99,54,57,
170,160,17,12,
160,178,48,57,
131,153,66,77,
116,152,53,71,
205,175,39,24,
161,151,63,58,
146,194,30,54,
224,214,33,28,
243,209,56,39,
167,135,68,52,
132,92,55,35,
169,189,55,65,
129,115,63,56,
212,190,54,43,
171,147,66,54,
173,161,57,51,
169,179,40,45,
221,161,42,12,
174,138,32,14,
136,128,52,48,
108,126,43,52,
146,164,44,53,
197,181,72,64,
166,172,56,59,
121,171,42,67,
168,158,43,38,
165,195,33,48,
154,154,49,49,
186,160,61,48,
164,194,26,41,
182,196,78,85,
138,148,47,52,
156,138,44,35,
155,173,60,69,
143,95,65,41,
110,88,71,60,
198,204,74,77,
142,166,59,71,
126,172,43,66,
177,163,24,17,
153,157,47,49,
164,158,72,69,
188,194,44,47,
175,223,22,46,
103,145,43,64,
166,178,82,88,
128,164,65,83,
147,185,23,42,
146,160,41,48,
181,173,53,49,
148,138,51,46,
127,109,63,54,
195,137,58,29,
183,171,59,53,
142,154,30,36,
199,207,34,38,
121,141,53,63,
125,185,17,47,
180,190,29,34,
186,194,50,54,
150,146,55,53,
150,106,62,40,
48,122,22,59,
129,183,45,72,
162,180,51,60,
129,155,33,46,
183,171,40,34,
122,168,27,50,
170,142,47,33,
148,154,52,55,
101,105,61,63,
130,114,63,55,
108,118,61,66,
190,184,33,30,
161,111,63,38,
124,148,62,74,
185,193,31,35,
178,190,55,61,
113,161,11,35,
191,201,60,65,
145,149,70,72,
199,151,63,39,
126,152,55,68,
161,137,72,60,
200,186,52,45,
166,180,43,50,
151,163,38,44,
165,177,53,59,
