
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

44,42,51,50,
64,58,53,50,
58,54,52,50,
51,51,50,50,
46,44,48,47,
53,55,53,54,
64,60,52,50,
57,57,50,50,
51,45,54,51,
50,44,53,50,
48,52,49,51,
56,60,49,51,
46,46,49,49,
58,68,43,48,
58,54,51,49,
43,51,49,53,
46,54,44,48,
59,67,50,54,
54,56,47,48,
48,60,47,53,
51,51,51,51,
51,53,50,51,
56,58,47,48,
59,63,47,49,
47,59,47,53,
52,62,48,53,
61,57,54,52,
56,60,49,51,
52,58,50,53,
50,48,48,47,
48,44,48,46,
50,54,47,49,
64,58,52,49,
60,54,52,49,
51,49,52,51,
64,56,50,46,
60,66,53,56,
56,62,49,52,
56,56,51,51,
50,56,47,50,
54,50,52,50,
57,61,46,48,
59,59,50,50,
51,53,50,51,
49,57,53,57,
51,55,47,49,
41,45,51,53,
64,64,51,51,
53,51,50,49,
46,50,53,55,
61,63,47,48,
59,53,53,50,
56,54,52,51,
58,48,50,45,
65,55,52,47,
48,46,52,51,
41,49,47,51,
56,52,52,50,
65,53,54,48,
64,54,48,43,
62,58,46,44,
52,48,50,48,
57,51,48,45,
65,53,48,42,
45,49,49,51,
55,51,53,51,
51,59,49,53,
53,51,51,50,
56,60,50,52,
58,56,49,48,
63,61,51,50,
56,58,52,53,
48,54,50,53,
50,58,46,50,
53,51,51,50,
58,54,51,49,
72,64,56,52,
57,45,51,45,
60,62,48,49,
43,45,50,51,
74,54,56,46,
43,61,45,54,
64,60,57,55,
45,53,48,52,
52,58,45,48,
55,57,51,52,
56,64,50,54,
61,65,49,51,
58,62,43,45,
53,47,53,50,
47,51,45,47,
72,68,51,49,
52,54,51,52,
54,62,46,50,
62,66,46,48,
61,53,51,47,
49,51,47,48,
