
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

249,227,75,64,
175,187,52,58,
173,163,39,34,
183,167,36,28,
161,175,66,73,
161,141,26,16,
139,157,41,50,
213,173,63,43,
127,131,58,60,
198,182,63,55,
186,162,51,39,
133,89,47,25,
78,104,27,40,
159,133,64,51,
192,190,56,55,
156,174,31,40,
118,172,61,88,
173,151,68,57,
118,144,54,67,
143,133,57,52,
159,141,62,53,
211,161,46,21,
195,189,53,50,
131,167,57,75,
150,198,36,60,
164,178,49,56,
195,169,61,48,
166,184,54,63,
91,121,39,54,
175,139,61,43,
155,163,58,62,
132,136,55,57,
147,175,40,54,
153,183,38,53,
123,133,77,82,
171,159,38,32,
162,126,74,56,
159,131,84,70,
160,152,38,34,
166,164,65,64,
186,220,33,50,
148,126,53,42,
133,135,57,58,
128,160,45,61,
131,137,46,49,
165,177,16,22,
151,189,76,95,
143,183,52,72,
175,143,41,25,
209,203,53,50,
134,160,69,82,
163,167,45,47,
156,144,73,67,
128,148,48,58,
112,166,33,60,
227,201,59,46,
112,130,56,65,
100,120,40,50,
177,167,68,63,
123,165,35,56,
151,179,35,49,
109,149,40,60,
113,141,56,70,
151,137,38,31,
140,130,60,55,
81,117,36,54,
168,142,52,39,
135,91,50,28,
190,188,35,34,
77,139,42,73,
101,107,48,51,
182,126,67,39,
115,137,33,44,
208,190,48,39,
158,184,18,31,
146,152,63,66,
153,185,67,83,
184,168,65,57,
110,146,29,47,
116,170,54,81,
133,169,22,40,
183,153,50,35,
91,117,46,59,
137,157,42,52,
179,179,53,53,
136,130,35,32,
168,194,28,41,
211,239,29,43,
223,181,54,33,
187,197,43,48,
181,181,47,47,
245,171,75,38,
126,180,39,66,
222,212,59,54,
199,201,40,41,
237,187,41,16,
156,140,73,65,
