
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

552,189,379,19,
583,298,371,10,
576,358,443,5,
566,266,487,7,
579,245,403,2,
506,276,383,0,
570,211,507,16,
551,186,415,21,
571,216,481,3,
507,209,449,4,
537,317,389,12,
493,259,438,17,
564,183,417,25,
567,453,349,5,
592,276,452,0,
548,200,381,5,
476,259,372,5,
565,269,413,8,
535,285,349,6,
485,251,368,4,
544,304,388,1,
517,211,500,10,
555,308,354,22,
584,174,380,17,
523,265,397,7,
494,317,391,2,
548,265,427,6,
517,204,411,8,
538,362,340,2,
576,358,379,1,
543,195,428,13,
500,331,374,4,
548,279,387,6,
521,285,392,5,
477,355,350,5,
582,233,408,19,
561,241,419,19,
489,307,355,11,
545,252,430,4,
550,315,349,30,
494,205,417,5,
507,259,421,0,
599,243,460,7,
424,343,324,7,
543,292,422,0,
636,217,436,13,
570,237,394,9,
505,275,335,1,
526,257,423,0,
526,318,373,6,
552,220,463,11,
535,282,372,19,
601,157,467,15,
500,243,407,5,
546,288,400,6,
483,284,363,2,
555,281,395,24,
506,289,400,3,
468,263,397,37,
567,245,459,0,
521,184,414,5,
602,188,488,2,
528,318,416,0,
560,294,480,4,
565,331,471,6,
571,312,439,4,
498,285,474,28,
535,194,438,16,
619,312,387,3,
591,203,405,13,
559,241,434,2,
559,397,354,5,
580,275,425,29,
477,329,339,10,
597,323,427,2,
429,265,392,9,
500,281,362,4,
542,355,411,12,
644,264,457,4,
609,182,418,2,
589,161,482,8,
575,185,405,0,
521,294,447,0,
489,337,426,6,
598,193,420,5,
561,276,350,5,
619,316,357,6,
475,199,428,3,
547,193,421,21,
604,246,385,19,
538,253,463,15,
562,226,400,16,
610,187,368,14,
600,352,372,0,
539,195,480,2,
560,257,423,0,
519,308,413,3,
