
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

561,220,374,6,
553,265,422,5,
555,339,410,4,
478,345,407,11,
537,171,507,3,
541,284,441,8,
457,378,354,9,
615,168,429,0,
548,168,418,13,
530,296,377,4,
595,292,351,14,
571,247,358,6,
559,254,422,18,
591,179,429,59,
547,235,415,8,
600,219,438,0,
496,185,460,2,
490,226,438,6,
556,177,423,15,
602,245,475,2,
498,258,391,4,
458,235,454,1,
516,291,396,0,
600,237,458,3,
502,282,329,12,
465,352,366,31,
458,223,438,15,
534,296,399,7,
569,269,402,9,
518,254,373,1,
629,159,482,6,
580,214,430,9,
611,287,420,0,
535,216,447,2,
554,315,337,8,
569,266,372,8,
599,196,464,4,
568,337,415,1,
562,298,447,2,
553,161,462,0,
523,295,464,4,
496,183,439,6,
526,319,380,4,
536,329,421,3,
545,281,416,0,
584,281,477,3,
541,332,384,0,
591,244,382,54,
580,282,363,13,
472,329,387,1,
582,210,378,4,
557,327,417,0,
666,206,465,1,
445,367,396,4,
505,279,384,12,
563,102,434,2,
647,235,493,1,
521,268,413,0,
581,312,366,1,
540,271,356,2,
547,294,369,25,
545,274,391,1,
469,241,422,0,
572,220,429,7,
566,175,424,25,
545,270,413,7,
587,205,465,2,
548,301,399,9,
614,181,436,10,
661,195,491,0,
477,335,343,9,
573,224,435,8,
630,214,471,8,
570,309,436,5,
485,315,401,1,
535,247,430,4,
463,240,458,15,
535,274,372,6,
568,323,378,3,
594,263,458,4,
520,347,374,0,
521,291,432,1,
550,205,440,6,
566,137,496,6,
566,301,448,7,
560,255,338,5,
568,254,512,3,
547,282,393,6,
550,173,460,1,
540,278,353,10,
514,339,379,7,
519,232,414,1,
572,224,419,0,
546,290,403,1,
451,392,403,1,
548,211,472,2,
602,236,448,0,
