
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

442,451,66,18,
381,624,54,22,
495,489,72,40,
470,521,93,1,
541,559,25,60,
572,540,49,43,
474,525,34,10,
482,498,43,2,
529,628,13,51,
543,538,84,6,
472,498,53,27,
438,548,15,66,
564,533,101,46,
454,462,96,9,
508,480,75,91,
447,589,51,6,
483,567,37,10,
437,511,58,19,
537,422,59,60,
482,526,51,17,
438,567,7,97,
362,510,71,89,
515,447,123,73,
530,472,53,24,
445,526,4,77,
539,528,61,42,
469,486,90,34,
474,525,14,135,
484,427,123,61,
472,517,50,63,
550,530,100,87,
473,497,103,22,
478,499,136,18,
488,439,119,44,
532,480,78,16,
534,544,2,38,
493,490,96,42,
463,446,34,83,
523,488,48,104,
449,506,24,50,
504,606,29,27,
490,540,37,30,
498,582,88,1,
435,573,6,67,
381,538,4,66,
485,528,37,54,
471,427,102,56,
466,523,64,62,
478,542,23,31,
529,496,47,33,
551,512,74,31,
478,382,122,51,
446,544,1,81,
518,458,132,0,
478,539,71,1,
493,413,72,99,
427,623,3,33,
471,458,81,79,
435,487,51,48,
551,622,33,1,
571,462,125,50,
478,633,2,90,
470,567,23,63,
520,529,91,19,
465,538,11,160,
481,490,96,59,
505,408,57,110,
523,444,113,45,
506,516,24,87,
477,524,102,6,
533,590,1,100,
467,555,22,54,
496,588,132,2,
496,548,120,12,
496,541,68,44,
435,552,54,1,
513,695,12,17,
469,578,40,64,
500,454,103,17,
461,501,50,38,
439,443,118,4,
464,572,12,81,
418,616,10,82,
443,469,78,41,
509,434,120,81,
456,513,29,26,
533,523,57,61,
556,508,66,37,
438,592,17,44,
526,522,57,19,
466,444,105,42,
486,650,3,89,
442,479,86,11,
459,487,47,55,
551,480,42,92,
504,521,53,74,
452,531,73,11,
