
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

605,230,410,11,
581,293,370,29,
578,184,486,13,
535,261,360,4,
529,233,412,1,
471,315,457,11,
486,334,407,0,
490,299,420,1,
486,287,416,1,
522,271,350,6,
467,321,383,2,
635,169,487,0,
530,191,502,0,
542,216,384,62,
528,291,420,1,
626,196,412,3,
480,230,375,4,
595,161,485,1,
602,227,404,10,
545,213,458,4,
524,284,449,0,
512,237,506,0,
485,371,418,0,
550,180,416,0,
510,281,440,4,
479,335,388,3,
484,355,410,3,
552,274,404,4,
636,189,394,29,
511,236,379,1,
489,335,429,2,
511,303,430,0,
589,326,431,12,
571,282,436,4,
522,365,347,2,
519,198,497,0,
536,214,435,1,
523,250,473,0,
552,306,389,1,
496,227,430,7,
597,266,450,5,
574,175,457,5,
648,177,401,34,
489,282,403,5,
470,279,375,14,
541,202,407,10,
493,210,425,11,
656,199,473,1,
581,203,472,3,
568,305,370,6,
533,275,364,0,
406,350,308,15,
571,194,388,5,
528,315,377,14,
558,246,359,56,
578,247,512,0,
502,321,402,22,
524,318,391,2,
526,318,438,1,
519,215,408,22,
556,247,461,3,
540,216,418,4,
494,323,408,3,
553,366,460,1,
507,253,391,1,
651,191,474,15,
567,170,428,38,
572,278,376,13,
496,220,376,50,
597,223,479,3,
483,243,394,1,
545,159,414,7,
602,195,484,5,
493,284,417,1,
466,266,337,7,
559,297,423,0,
531,250,423,1,
463,322,340,7,
516,262,420,9,
542,206,447,4,
533,240,363,6,
510,373,445,3,
532,321,333,3,
600,317,470,8,
586,232,426,0,
586,271,367,4,
595,96,480,14,
554,242,383,4,
537,254,335,4,
534,275,480,6,
522,310,358,0,
562,349,461,1,
540,216,452,12,
596,194,441,5,
569,151,430,33,
511,287,331,9,
543,225,417,2,
