
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

specie1,specie2,specie3,specie4,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,

4,7,8,4,
5,5,5,5,
4,7,8,4,
3,9,12,2,
5,5,5,5,
3,9,11,3,
4,7,8,4,
5,5,5,5,
4,9,10,3,
4,9,10,3,
5,5,5,5,
5,5,5,5,
3,8,11,6,
5,5,5,5,
4,7,8,4,
4,7,8,4,
3,9,11,3,
4,9,10,3,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
4,7,8,4,
5,5,5,5,
5,5,5,5,
4,9,10,3,
3,7,11,9,
4,9,10,3,
3,7,11,9,
4,7,8,4,
4,7,8,4,
3,13,15,1,
4,7,8,4,
5,5,5,5,
4,7,8,4,
3,7,11,9,
4,7,8,4,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
3,9,11,3,
3,9,11,3,
4,7,8,4,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
3,8,11,6,
5,5,5,5,
4,7,8,4,
4,7,8,4,
3,9,12,2,
3,9,11,3,
3,9,11,3,
4,9,10,3,
4,7,8,4,
4,9,10,3,
4,7,8,4,
5,5,5,5,
4,7,8,4,
5,5,5,5,
4,7,8,4,
5,5,5,5,
4,7,8,4,
5,5,5,5,
5,5,5,5,
4,7,8,4,
3,9,11,3,
4,7,8,4,
3,9,11,3,
3,10,14,4,
5,5,5,5,
4,9,11,2,
4,7,8,4,
3,9,11,3,
3,8,11,6,
4,7,8,4,
4,7,8,4,
5,5,5,5,
4,7,8,4,
5,5,5,5,
4,7,8,4,
3,8,11,6,
5,5,5,5,
5,5,5,5,
4,7,8,4,
5,5,5,5,
5,5,5,5,
4,7,8,4,
4,7,8,4,
4,7,8,4,
5,5,5,5,
5,5,5,5,
4,7,8,4,
4,9,10,3,
3,9,11,3,
5,5,5,5,

4,7,8,4,
5,5,5,5,
4,9,10,3,
3,8,14,3,
4,7,8,4,
3,8,12,5,
4,9,10,3,
5,5,5,5,
4,9,10,3,
3,13,15,1,
4,7,8,4,
5,5,5,5,
3,9,13,8,
5,5,5,5,
3,11,13,2,
4,9,10,3,
4,9,11,2,
3,9,13,8,
4,7,8,4,
4,8,10,6,
4,7,8,4,
5,5,5,5,
4,7,8,4,
4,7,8,4,
4,7,8,4,
4,7,8,4,
4,11,13,1,
3,9,14,7,
3,11,13,2,
4,7,10,9,
3,9,12,2,
4,7,8,4,
3,12,19,0,
3,9,11,3,
4,7,8,4,
3,9,11,3,
4,6,10,12,
3,8,12,5,
5,5,5,5,
4,7,8,4,
4,7,8,4,
3,9,12,2,
3,9,11,3,
4,9,11,2,
4,9,11,2,
3,8,13,4,
4,7,8,4,
5,5,5,5,
5,5,5,5,
4,7,8,4,
4,8,11,5,
4,7,8,4,
4,13,14,1,
4,8,12,4,
4,8,11,5,
3,7,12,8,
3,9,11,3,
4,9,10,3,
4,9,10,3,
3,13,15,1,
4,9,10,3,
5,5,5,5,
4,7,8,4,
3,9,12,2,
4,7,8,4,
4,9,10,3,
4,7,8,4,
3,9,11,3,
5,5,5,5,
4,6,10,12,
4,8,10,6,
3,8,11,6,
3,7,12,8,
3,9,14,7,
3,9,11,3,
4,9,11,2,
4,9,12,1,
3,7,12,8,
4,7,10,9,
4,9,11,2,
4,7,8,4,
4,7,8,4,
3,8,11,6,
5,5,5,5,
3,7,12,8,
3,12,16,3,
4,7,8,4,
3,8,12,5,
4,9,10,3,
4,7,8,4,
4,8,10,6,
4,7,8,4,
4,7,8,4,
3,8,11,6,
4,7,8,4,
4,7,8,4,
4,7,8,4,
4,9,10,3,
3,6,11,12,
5,5,5,5,

3,8,13,4,
5,5,5,5,
4,11,13,1,
3,8,17,0,
4,9,12,1,
4,8,11,5,
4,10,12,5,
3,9,11,3,
3,10,15,3,
4,13,15,0,
4,7,8,4,
4,7,8,4,
3,8,15,9,
4,7,8,4,
4,11,12,2,
3,11,13,2,
4,9,11,2,
4,9,12,8,
3,9,11,3,
4,8,10,6,
4,9,10,3,
4,7,8,4,
4,7,8,4,
3,9,11,3,
4,9,10,3,
3,9,12,2,
3,13,16,0,
3,7,16,11,
3,10,16,9,
3,9,13,8,
3,9,12,2,
4,7,8,4,
3,13,21,2,
3,9,14,7,
3,9,11,3,
3,11,13,2,
3,6,13,17,
3,10,14,4,
5,5,5,5,
4,7,8,4,
4,7,8,4,
3,8,13,4,
4,9,11,2,
4,9,11,2,
4,9,11,2,
3,10,15,3,
3,8,12,5,
3,7,11,9,
3,8,13,4,
3,9,12,2,
3,11,16,6,
3,9,11,3,
3,15,17,0,
3,9,15,6,
4,10,14,3,
4,5,11,14,
4,9,11,2,
4,9,10,3,
4,9,10,3,
3,13,18,6,
4,9,10,3,
4,7,8,4,
4,11,12,2,
3,8,13,4,
3,8,11,6,
4,9,10,3,
4,9,10,3,
3,6,11,12,
4,9,10,3,
4,6,10,12,
4,10,12,5,
3,7,11,9,
4,8,13,10,
4,9,14,6,
4,11,12,2,
3,14,19,3,
4,9,12,1,
3,9,14,7,
4,7,10,9,
3,11,16,0,
3,11,13,2,
4,7,8,4,
3,7,13,7,
5,5,5,5,
3,9,14,7,
4,12,15,3,
4,9,10,3,
3,10,15,3,
4,11,13,1,
4,11,12,2,
4,8,10,6,
4,7,8,4,
4,8,10,6,
3,6,12,11,
3,9,11,3,
4,7,8,4,
3,8,11,6,
3,11,13,2,
3,6,13,10,
4,7,8,4,

4,7,13,6,
4,9,10,3,
3,13,16,0,
4,8,16,0,
3,11,15,0,
4,8,11,5,
3,13,17,6,
3,9,12,2,
4,10,14,3,
4,16,19,3,
3,8,13,4,
4,7,8,4,
3,9,21,7,
4,7,8,4,
3,12,15,4,
4,11,14,0,
3,9,15,6,
3,11,15,7,
4,7,10,9,
4,8,10,6,
3,10,13,5,
3,9,11,3,
3,9,11,3,
4,9,11,2,
3,11,14,1,
3,14,18,2,
3,12,19,0,
4,7,15,11,
4,10,17,7,
4,8,12,11,
3,8,13,4,
4,7,8,4,
3,11,22,7,
3,7,14,13,
4,9,10,3,
3,12,16,3,
4,4,14,21,
3,11,16,6,
3,9,11,3,
4,7,8,4,
4,9,10,3,
4,8,12,4,
