
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,

specie1,specie2,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,

98,2,
97,3,
92,8,
90,10,
95,5,
94,6,
94,6,
97,3,
95,5,
97,3,
98,2,
97,3,
92,8,
96,4,
97,3,
97,3,
97,3,
98,2,
96,4,
97,3,
93,7,
98,2,
94,6,
96,4,
91,9,
99,1,
91,9,
90,10,
92,8,
92,8,
94,6,
94,6,
96,4,
94,6,
95,5,
95,5,
94,6,
93,7,
95,5,
89,11,
94,6,
97,3,
93,7,
98,2,
95,5,
94,6,
93,7,
95,5,
97,3,
92,8,
98,2,
93,7,
95,5,
97,3,
91,9,
99,1,
95,5,
94,6,
98,2,
92,8,
95,5,
97,3,
93,7,
97,3,
95,5,
95,5,
90,10,
98,2,
93,7,
95,5,
96,4,
95,5,
95,5,
90,10,
99,1,
95,5,
92,8,
97,3,
92,8,
96,4,
96,4,
97,3,
94,6,
96,4,
97,3,
93,7,
97,3,
94,6,
93,7,
93,7,
90,10,
98,2,
95,5,
97,3,
90,10,
96,4,
93,7,
98,2,
93,7,
94,6,

96,4,
91,9,
87,13,
82,18,
94,6,
87,13,
92,8,
93,7,
90,10,
94,6,
94,6,
95,5,
87,13,
90,10,
87,13,
92,8,
87,13,
93,7,
90,10,
90,10,
85,15,
89,11,
90,10,
93,7,
87,13,
91,9,
86,14,
87,13,
87,13,
86,14,
91,9,
86,14,
90,10,
87,13,
87,13,
92,8,
89,11,
85,15,
92,8,
86,14,
90,10,
89,11,
80,20,
95,5,
92,8,
91,9,
88,12,
86,14,
94,6,
86,14,
95,5,
86,14,
91,9,
88,12,
88,12,
93,7,
89,11,
90,10,
94,6,
