
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,

specie1,specie2,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,

93,7,
95,5,
97,3,
95,5,
96,4,
93,7,
90,10,
95,5,
95,5,
92,8,
98,2,
94,6,
95,5,
99,1,
98,2,
92,8,
93,7,
97,3,
95,5,
93,7,
98,2,
91,9,
97,3,
96,4,
97,3,
96,4,
95,5,
96,4,
95,5,
97,3,
96,4,
94,6,
96,4,
96,4,
91,9,
94,6,
97,3,
91,9,
94,6,
95,5,
91,9,
94,6,
99,1,
95,5,
98,2,
99,1,
95,5,
97,3,
95,5,
99,1,
98,2,
97,3,
98,2,
94,6,
95,5,
96,4,
98,2,
95,5,
99,1,
98,2,
95,5,
95,5,
99,1,
99,1,
99,1,
93,7,
96,4,
96,4,
97,3,
98,2,
94,6,
94,6,
93,7,
97,3,
98,2,
97,3,
98,2,
98,2,
95,5,
97,3,
92,8,
91,9,
92,8,
92,8,
94,6,
93,7,
96,4,
95,5,
96,4,
95,5,
94,6,
96,4,
95,5,
94,6,
98,2,
89,11,
98,2,
97,3,
97,3,
97,3,

89,11,
93,7,
94,6,
90,10,
93,7,
87,13,
86,14,
91,9,
92,8,
85,15,
93,7,
89,11,
91,9,
94,6,
95,5,
87,13,
88,12,
94,6,
88,12,
87,13,
96,4,
85,15,
90,10,
88,12,
94,6,
92,8,
91,9,
91,9,
91,9,
91,9,
94,6,
91,9,
92,8,
91,9,
81,19,
90,10,
94,6,
85,15,
88,12,
90,10,
90,10,
89,11,
96,4,
93,7,
90,10,
95,5,
92,8,
92,8,
87,13,
96,4,
93,7,
95,5,
92,8,
88,12,
89,11,
94,6,
92,8,
92,8,
97,3,
