
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,

specie1,specie2,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,

98,2,
96,4,
98,2,
92,8,
96,4,
97,3,
98,2,
96,4,
95,5,
96,4,
91,9,
98,2,
94,6,
95,5,
93,7,
89,11,
97,3,
97,3,
98,2,
98,2,
97,3,
97,3,
95,5,
95,5,
96,4,
93,7,
100,0,
96,4,
97,3,
93,7,
92,8,
94,6,
94,6,
94,6,
97,3,
92,8,
98,2,
95,5,
98,2,
95,5,
91,9,
96,4,
95,5,
92,8,
92,8,
97,3,
95,5,
97,3,
97,3,
96,4,
95,5,
96,4,
99,1,
93,7,
94,6,
92,8,
88,12,
97,3,
94,6,
97,3,
94,6,
87,13,
95,5,
96,4,
95,5,
95,5,
94,6,
97,3,
93,7,
95,5,
97,3,
98,2,
97,3,
95,5,
93,7,
90,10,
97,3,
98,2,
97,3,
90,10,
90,10,
92,8,
95,5,
98,2,
93,7,
94,6,
99,1,
97,3,
92,8,
95,5,
95,5,
99,1,
97,3,
93,7,
94,6,
91,9,
94,6,
100,0,
92,8,
97,3,

93,7,
90,10,
92,8,
88,12,
91,9,
95,5,
92,8,
92,8,
94,6,
88,12,
85,15,
94,6,
87,13,
86,14,
90,10,
82,18,
91,9,
95,5,
92,8,
89,11,
93,7,
89,11,
93,7,
94,6,
88,12,
88,12,
94,6,
91,9,
96,4,
86,14,
87,13,
84,16,
91,9,
88,12,
94,6,
87,13,
93,7,
92,8,
89,11,
93,7,
88,12,
92,8,
87,13,
83,17,
87,13,
90,10,
95,5,
90,10,
91,9,
91,9,
92,8,
93,7,
92,8,
89,11,
89,11,
88,12,
80,20,
91,9,
93,7,
