
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

0,2,82,61,
4,2,27,35,
0,0,79,48,
0,14,32,17,
3,6,34,51,
0,2,62,53,
4,4,55,54,
0,6,65,66,
5,4,42,47,
0,2,45,33,
4,2,79,52,
11,2,72,43,
4,4,41,47,
1,6,68,61,
0,0,66,63,
13,6,50,58,
0,0,64,61,
3,0,30,17,
5,0,58,81,
3,0,44,34,
3,0,19,21,
6,8,35,29,
0,2,54,37,
13,4,19,18,
0,0,45,53,
0,2,33,38,
0,2,58,50,
8,6,59,44,
0,0,50,47,
9,0,53,63,
6,0,66,81,
4,2,57,51,
8,0,59,59,
0,0,50,68,
0,0,35,54,
0,0,50,56,
5,14,45,57,
0,4,48,36,
2,4,55,63,
4,4,52,62,
4,2,58,57,
4,2,46,52,
4,6,59,74,
2,0,52,81,
2,2,31,69,
1,0,70,71,
6,0,59,65,
15,0,53,58,
1,0,65,61,
14,0,59,37,
4,4,39,38,
1,2,29,42,
0,0,77,79,
0,0,43,64,
0,4,37,53,
2,0,51,40,
6,0,43,28,
0,0,20,34,
6,6,65,34,
12,6,50,63,
5,6,36,44,
3,0,48,32,
0,2,83,76,
8,0,42,54,
5,0,92,71,
5,2,48,27,
4,6,48,55,
3,16,32,58,
0,0,55,28,
4,2,52,67,
0,2,46,38,
0,0,55,59,
3,0,60,59,
0,4,54,50,
2,0,55,47,
8,6,68,55,
1,0,28,46,
12,4,70,49,
2,4,49,52,
2,0,51,50,
2,10,67,49,
0,0,39,30,
2,2,28,35,
0,2,21,64,
3,0,73,85,
6,0,46,37,
6,4,35,58,
1,0,36,37,
0,2,68,71,
0,0,45,62,
0,0,43,45,
1,0,34,35,
10,0,84,56,
14,0,78,64,
16,0,69,40,
6,2,51,55,
2,0,65,67,
