
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

5,2,52,48,
4,2,28,45,
9,2,85,30,
0,0,54,33,
10,0,43,43,
0,0,46,32,
0,0,48,61,
3,0,27,43,
5,0,41,33,
4,0,36,28,
0,0,49,60,
6,0,67,31,
7,0,66,55,
0,0,28,39,
1,0,78,61,
0,2,43,42,
7,10,37,32,
2,0,55,73,
3,4,50,74,
6,0,89,84,
0,2,20,45,
1,0,23,27,
0,0,53,89,
0,0,54,41,
11,2,47,40,
4,0,61,45,
0,4,38,54,
7,0,60,52,
2,0,78,87,
3,4,46,53,
6,4,52,69,
8,2,47,53,
0,0,43,44,
2,4,39,18,
0,0,37,65,
2,0,61,52,
3,0,44,59,
3,6,43,63,
8,2,18,40,
0,0,54,34,
0,0,62,60,
17,0,62,34,
0,2,67,63,
4,4,63,68,
0,0,48,41,
0,0,35,77,
11,14,47,35,
4,0,43,39,
0,0,57,18,
2,4,46,42,
0,0,27,33,
7,2,38,47,
0,2,42,30,
2,4,61,55,
7,2,48,29,
4,2,40,13,
0,0,38,54,
4,2,31,50,
15,4,48,30,
3,0,29,65,
0,0,33,39,
0,0,62,71,
0,0,47,36,
5,4,46,52,
5,2,53,61,
3,0,35,47,
1,4,73,79,
8,10,70,55,
0,4,43,53,
0,2,33,71,
0,2,44,48,
2,4,67,62,
0,2,34,24,
4,2,52,50,
5,0,54,66,
0,8,42,56,
2,0,36,31,
2,0,27,35,
6,6,32,57,
12,8,49,50,
5,0,20,36,
4,8,32,23,
6,2,62,44,
8,2,65,33,
2,0,41,57,
5,2,46,60,
6,0,74,73,
0,0,62,70,
2,2,49,54,
5,4,66,87,
12,4,37,33,
4,4,42,27,
3,4,58,38,
2,0,53,62,
2,0,48,43,
10,0,57,57,
1,0,59,32,
