
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

5,2,54,48,
0,2,35,54,
8,2,46,49,
4,0,38,38,
0,2,59,42,
0,0,71,49,
2,0,67,54,
5,2,63,55,
2,2,64,82,
4,2,51,44,
0,8,72,78,
0,0,36,72,
4,0,56,23,
18,0,29,23,
0,0,49,58,
0,0,66,67,
0,0,64,55,
2,0,53,66,
3,2,52,64,
0,0,39,30,
0,4,37,46,
2,0,40,28,
0,0,53,66,
8,8,24,40,
0,4,63,38,
2,4,52,34,
8,0,41,63,
0,0,50,33,
4,0,59,64,
5,0,41,50,
3,0,67,40,
2,0,65,40,
6,2,60,46,
9,0,46,33,
2,0,46,46,
0,0,46,52,
0,2,56,72,
2,2,30,31,
2,2,43,57,
0,0,38,48,
0,0,32,28,
4,2,62,54,
2,4,73,64,
11,4,55,24,
0,0,56,76,
4,8,9,45,
0,2,19,34,
5,0,95,65,
0,0,42,40,
0,4,32,49,
2,0,39,58,
2,2,55,50,
6,0,49,76,
0,2,59,67,
3,2,35,51,
0,0,53,41,
6,4,53,32,
0,2,80,70,
0,2,49,70,
6,6,35,58,
3,2,62,46,
0,2,53,56,
2,2,26,44,
1,0,50,52,
11,4,54,9,
4,2,59,83,
7,0,65,50,
0,6,42,71,
0,2,50,52,
0,0,49,34,
9,0,69,48,
5,2,33,45,
0,4,53,70,
17,0,44,41,
9,0,49,48,
2,4,45,37,
3,0,52,25,
4,2,61,52,
4,0,75,33,
3,0,78,73,
7,0,89,86,
0,0,68,51,
3,2,53,59,
7,0,66,34,
0,4,43,47,
2,0,52,70,
0,8,54,61,
4,2,44,89,
16,4,63,64,
0,4,41,50,
4,0,62,60,
0,0,40,39,
2,0,38,59,
0,0,59,54,
1,2,69,67,
0,0,63,42,
6,0,60,46,
