
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

7,8,54,61,
0,0,38,66,
2,2,62,99,
0,2,65,57,
1,0,16,31,
0,0,53,52,
7,4,73,50,
1,0,38,51,
3,0,32,55,
2,4,61,58,
4,0,43,37,
0,4,29,36,
4,0,42,19,
2,0,51,66,
0,0,67,73,
2,6,44,60,
0,4,54,25,
2,2,63,81,
10,0,36,49,
0,2,50,55,
0,4,55,78,
0,6,52,27,
9,6,67,44,
0,0,30,47,
3,0,51,68,
0,4,52,57,
9,0,51,50,
11,4,43,36,
3,0,56,54,
4,2,27,34,
10,6,37,44,
0,0,43,65,
2,2,52,49,
4,0,52,44,
26,2,15,1,
7,0,50,28,
0,0,34,52,
0,2,38,58,
20,0,49,27,
0,2,34,50,
2,2,32,41,
0,0,33,31,
3,2,61,67,
0,6,83,77,
6,4,59,56,
19,2,49,57,
6,2,64,43,
21,0,54,25,
0,0,59,70,
2,2,36,21,
0,0,49,58,
2,2,50,70,
1,0,69,57,
6,4,28,30,
4,2,48,47,
3,2,48,62,
2,0,24,49,
2,0,67,47,
6,2,92,52,
2,10,41,52,
1,2,38,30,
1,0,32,41,
0,0,53,51,
2,0,79,51,
0,0,55,66,
0,0,43,44,
1,0,49,53,
0,0,81,103,
5,2,56,53,
0,0,44,40,
9,2,42,29,
1,0,54,50,
5,0,47,54,
0,0,78,100,
9,10,37,32,
0,0,84,73,
3,2,59,41,
4,8,33,31,
4,6,40,43,
2,4,64,68,
0,4,32,42,
4,0,52,51,
5,0,34,33,
0,10,51,68,
1,4,56,51,
2,2,66,78,
2,0,64,43,
4,6,27,53,
4,6,69,48,
8,0,24,33,
8,8,54,47,
4,0,78,37,
1,4,62,34,
0,0,53,55,
0,0,71,46,
6,2,35,58,
9,0,54,53,
