
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

3,0,34,45,
3,0,49,55,
4,2,62,72,
0,4,46,57,
10,8,46,31,
0,2,29,37,
1,0,58,66,
0,0,51,55,
0,0,37,28,
0,2,56,33,
2,0,54,40,
3,2,67,72,
0,0,56,52,
4,0,38,32,
5,0,62,63,
0,0,72,71,
2,2,48,37,
2,2,57,60,
0,0,43,59,
4,0,25,41,
0,2,63,68,
13,0,51,53,
10,4,32,23,
0,0,29,40,
3,0,57,74,
0,0,28,47,
1,6,28,53,
0,0,77,30,
0,2,29,51,
2,2,29,35,
3,0,59,54,
0,0,75,36,
0,0,52,62,
24,8,42,48,
14,4,45,39,
1,0,67,53,
6,0,59,36,
4,0,80,47,
0,0,56,70,
2,2,57,39,
15,6,53,71,
2,2,35,27,
2,0,55,43,
6,2,70,90,
7,2,36,70,
0,4,51,48,
6,0,50,38,
1,0,36,70,
0,4,52,47,
19,2,60,71,
4,0,66,74,
1,0,46,43,
3,2,54,62,
11,0,39,33,
14,0,53,34,
5,2,61,54,
0,0,59,53,
0,0,26,53,
15,4,71,52,
8,12,61,84,
0,0,38,53,
0,0,65,35,
4,4,40,68,
1,0,59,51,
0,0,40,55,
6,8,71,64,
4,4,54,35,
0,2,74,58,
9,6,36,66,
10,0,47,54,
0,0,64,62,
2,0,32,45,
0,2,48,34,
3,2,30,51,
6,6,29,28,
9,2,49,45,
2,2,40,40,
0,4,52,36,
4,0,68,57,
4,0,35,39,
2,0,35,53,
0,0,22,19,
10,4,41,42,
2,2,42,31,
0,2,52,61,
3,0,46,53,
12,0,53,36,
3,14,58,57,
0,2,29,27,
0,10,42,61,
3,2,46,54,
1,0,84,55,
6,6,38,28,
0,0,32,42,
27,2,50,42,
0,0,44,65,
9,4,43,52,
