
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

0,2,42,34,
4,2,60,53,
0,0,88,53,
4,6,61,68,
2,2,62,41,
13,2,42,25,
0,0,31,48,
1,0,50,63,
6,2,53,46,
3,2,87,64,
1,0,52,45,
4,0,54,58,
2,2,41,51,
9,6,9,40,
0,0,43,41,
14,0,54,36,
11,0,66,53,
4,2,55,44,
29,4,44,47,
0,0,58,74,
2,0,68,65,
2,2,81,51,
5,2,46,46,
0,0,63,62,
6,0,43,62,
8,6,46,43,
5,8,41,39,
24,4,58,44,
1,0,25,49,
2,6,53,49,
0,0,40,37,
2,0,60,60,
2,4,60,49,
0,0,17,35,
9,0,18,12,
5,2,39,30,
0,0,69,51,
0,6,47,21,
6,2,76,70,
0,0,46,66,
0,0,58,48,
10,4,75,80,
17,6,27,22,
2,2,51,66,
0,0,61,60,
0,2,56,60,
9,6,51,49,
0,2,56,58,
0,0,56,49,
0,2,32,48,
10,2,34,42,
2,6,51,41,
10,4,45,28,
17,10,51,49,
7,0,40,41,
7,0,48,36,
8,14,43,32,
0,2,49,31,
3,0,44,52,
0,0,75,76,
4,0,37,42,
7,0,70,52,
0,2,98,96,
9,0,48,46,
0,0,58,57,
0,4,61,76,
0,0,76,67,
0,2,47,57,
0,4,55,66,
4,8,54,74,
3,4,57,55,
5,0,63,25,
4,10,42,20,
0,0,50,44,
5,4,51,38,
2,0,46,57,
5,0,58,44,
6,0,55,68,
0,2,37,53,
0,0,48,53,
10,6,57,51,
2,0,27,26,
3,0,32,38,
3,0,25,44,
8,8,62,52,
2,0,41,31,
3,2,59,32,
6,0,52,43,
2,0,68,49,
0,0,30,38,
1,0,40,66,
0,0,59,73,
4,8,45,39,
4,0,62,77,
3,6,46,48,
2,6,64,68,
0,0,67,66,
