
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

80,18,4,83,
4,77,57,42,
68,24,8,80,
47,47,29,57,
41,51,28,53,
35,42,29,71,
29,65,41,38,
23,23,47,47,
0,411,260,0,
3,90,54,46,
40,54,30,49,
19,69,41,37,
28,58,43,45,
39,47,29,53,
3,81,50,27,
29,59,37,47,
67,23,9,82,
73,23,8,79,
5,78,50,32,
40,50,29,55,
26,62,37,44,
24,48,25,66,
39,47,40,60,
19,55,46,38,
52,44,19,58,
45,56,27,53,
71,30,30,74,
30,62,30,42,
37,49,24,58,
51,47,35,54,
36,44,33,66,
30,64,36,39,
3,71,66,34,
49,43,25,61,
44,52,31,50,
30,54,29,54,
40,52,28,52,
31,19,43,54,
19,47,41,56,
22,53,35,65,
34,54,32,52,
23,67,39,38,
27,51,42,58,
19,67,42,40,
22,52,39,61,
67,27,11,76,
73,23,6,79,
50,40,21,65,
18,62,54,46,
8,74,47,37,
13,83,42,35,
39,53,28,51,
54,38,14,64,
45,43,27,59,
20,60,35,50,
37,51,21,55,
11,82,52,26,
4,54,54,45,
72,24,5,78,
2,65,54,46,
53,47,47,53,
14,74,47,32,
41,51,22,53,
48,40,16,66,
70,26,9,76,
22,62,34,46,
37,57,38,46,
23,51,38,62,
8,76,46,32,
74,26,17,74,
10,80,44,33,
83,13,5,89,
54,42,27,60,
48,46,28,57,
22,68,41,37,
48,36,28,72,
41,49,28,56,
67,31,17,70,
5,84,50,27,
53,39,16,65,
62,38,26,62,
22,56,33,55,
71,27,13,74,
87,11,3,90,
17,69,61,38,
73,14,14,94,
0,147,129,0,
6,76,45,33,
65,29,18,74,
21,51,37,63,
19,71,45,34,
33,57,31,48,
40,58,41,43,
73,23,14,79,
41,51,26,54,
113,11,11,116,
8,81,47,31,
