
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

34,58,55,45,
44,54,53,45,
45,53,50,48,
59,39,37,62,
50,50,52,47,
57,47,45,53,
52,50,51,48,
50,48,42,55,
50,48,47,51,
57,51,41,55,
35,59,57,42,
54,46,46,54,
38,56,53,47,
26,70,68,32,
40,60,50,49,
45,57,55,42,
66,38,32,66,
47,51,47,52,
16,74,68,32,
44,58,57,42,
57,45,37,60,
55,45,40,59,
50,52,48,51,
66,40,32,65,
38,58,56,42,
55,53,43,53,
31,63,60,40,
93,17,7,100,
34,66,62,37,
76,30,22,74,
47,49,51,49,
47,49,48,52,
69,45,25,68,
56,46,41,56,
60,44,41,57,
35,63,62,38,
69,31,31,69,
47,53,53,46,
17,79,73,26,
36,60,58,42,
50,52,45,51,
56,36,34,65,
27,59,52,48,
54,44,43,57,
43,57,55,45,
33,59,55,44,
42,50,47,53,
37,61,59,40,
13,81,78,22,
60,48,34,62,
27,71,71,29,
54,42,40,59,
62,42,33,64,
44,50,49,51,
57,47,44,54,
44,50,48,52,
36,56,56,42,
35,57,54,45,
42,52,48,51,
53,45,42,57,
35,55,52,48,
13,73,68,32,
68,34,30,68,
67,33,29,70,
47,53,52,46,
38,56,53,47,
40,56,58,42,
26,62,56,44,
64,36,35,65,
77,29,17,80,
60,42,37,61,
49,47,43,56,
42,56,47,51,
15,73,67,33,
58,42,38,59,
76,28,18,80,
24,64,58,42,
36,54,51,49,
43,57,52,47,
73,35,11,85,
30,68,70,30,
74,34,18,78,
57,45,42,57,
52,46,46,54,
53,49,45,53,
36,58,55,45,
65,39,34,64,
29,61,56,43,
58,42,41,58,
29,67,65,35,
62,40,39,60,
38,64,61,38,
46,50,48,51,
49,55,50,48,
39,57,53,46,
31,71,55,42,
41,53,51,48,
