
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

54,42,42,58,
56,48,42,56,
13,79,77,23,
64,40,29,68,
23,67,60,39,
62,36,32,67,
27,71,64,36,
53,47,39,60,
63,47,33,62,
48,52,52,46,
54,44,46,52,
67,41,29,67,
37,59,59,41,
59,45,38,60,
54,46,42,57,
31,67,66,34,
53,53,42,53,
50,52,50,48,
43,57,56,43,
60,42,37,62,
38,60,58,41,
48,50,49,50,
41,51,50,48,
35,61,58,42,
55,49,47,51,
34,64,59,40,
46,50,49,51,
60,44,38,60,
44,50,48,50,
29,67,59,39,
50,50,50,48,
43,53,51,49,
69,37,28,69,
54,50,42,56,
32,72,62,36,
25,71,65,34,
60,46,38,59,
59,43,38,60,
30,64,58,42,
45,53,49,45,
69,39,26,70,
71,37,25,71,
35,61,60,40,
13,81,80,20,
50,52,49,50,
41,61,56,43,
64,38,33,66,
42,54,48,49,
35,57,58,42,
24,66,61,39,
68,32,29,71,
61,45,36,61,
38,60,53,46,
28,68,64,36,
60,42,36,63,
74,30,22,75,
56,44,41,57,
51,47,47,53,
46,50,44,55,
5,75,65,35,
61,41,31,67,
49,49,48,50,
49,43,40,59,
51,49,48,52,
79,25,20,78,
39,59,55,45,
18,80,79,21,
35,57,53,47,
37,53,52,48,
72,32,20,78,
53,49,42,56,
59,41,36,62,
41,59,58,41,
52,52,45,53,
59,37,32,64,
37,63,63,36,
39,59,51,48,
50,46,46,53,
43,55,51,47,
50,50,51,49,
55,49,45,51,
51,51,49,49,
24,66,60,40,
47,53,52,47,
67,39,27,70,
47,51,47,52,
59,45,36,61,
35,61,61,39,
62,38,35,64,
46,50,49,50,
80,28,6,90,
65,35,30,69,
43,51,50,50,
68,36,26,70,
28,66,61,38,
51,51,50,49,
4,84,75,25,
