
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

19,67,44,40,
55,45,30,55,
67,31,19,70,
89,12,12,87,
48,42,24,63,
55,29,21,79,
77,19,4,83,
17,64,34,46,
73,25,11,76,
26,60,24,47,
16,62,29,49,
4,97,60,21,
29,53,31,56,
6,63,51,33,
50,38,17,66,
19,61,37,49,
24,62,33,45,
57,35,13,69,
45,37,30,70,
74,12,10,95,
37,51,29,55,
33,65,41,36,
54,42,26,60,
1,82,57,25,
31,61,32,43,
41,39,24,71,
76,22,6,79,
80,16,0,86,
51,43,32,60,
501,0,0,501,
13,71,47,37,
90,8,5,93,
13,53,43,56,
26,28,43,55,
75,9,6,99,
93,5,0,96,
88,12,10,88,
54,42,32,60,
3,81,55,24,
19,69,43,32,
61,7,20,77,
79,21,12,79,
37,51,47,53,
0,109,84,2,
25,59,40,45,
76,20,7,82,
61,35,21,67,
127,2,2,127,
65,31,20,71,
89,7,6,95,
13,78,46,33,
34,58,33,46,
4,83,54,26,
55,27,18,82,
61,37,25,64,
108,0,0,111,
83,15,3,86,
91,11,0,88,
68,28,18,72,
30,60,39,45,
10,65,44,53,
63,27,13,78,
57,41,20,60,
7,79,54,28,
30,58,35,48,
48,42,22,63,
44,38,16,71,
13,71,42,37,
33,65,50,37,
49,49,32,52,
32,68,59,32,
31,43,34,66,
1,57,58,39,
53,29,24,80,
30,46,36,64,
28,62,37,43,
76,20,8,82,
63,31,17,72,
38,34,19,80,
26,64,42,42,
22,72,52,31,
19,69,47,34,
14,74,44,32,
12,88,71,10,
16,70,43,37,
22,76,45,37,
39,50,20,61,
69,29,9,72,
31,55,35,46,
4,81,46,29,
19,77,54,25,
46,48,29,55,
71,25,14,75,
28,38,36,52,
44,48,43,56,
48,38,24,69,
42,38,26,72,
