
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

32,50,39,44,
17,68,46,31,
11,75,54,24,
15,57,58,32,
35,47,25,53,
28,62,38,38,
53,27,21,64,
32,38,36,49,
32,38,36,53,
37,48,33,50,
27,47,34,51,
19,43,46,43,
2,72,55,28,
21,55,34,47,
27,65,44,40,
5,95,68,22,
42,34,36,49,
33,47,34,52,
25,57,42,38,
5,77,54,27,
2,78,51,27,
28,60,44,38,
35,31,36,55,
2,112,78,5,
38,40,38,44,
22,60,39,41,
35,37,39,45,
49,31,25,49,
1,84,64,21,
31,53,35,47,
21,59,46,35,
44,22,30,56,
21,53,50,32,
26,50,34,46,
22,44,36,47,
24,60,43,43,
24,54,46,41,
8,58,59,26,
43,23,32,54,
26,46,48,38,
38,38,32,52,
18,67,46,39,
41,47,30,53,
6,78,64,17,
23,57,40,43,
27,37,42,44,
45,35,35,51,
25,51,38,45,
42,32,28,54,
34,50,32,43,
1,76,67,19,
17,68,56,35,
68,10,19,71,
15,67,48,36,
41,33,36,48,
23,45,43,46,
3,76,53,27,
11,69,46,37,
4,78,62,26,
46,34,29,52,
34,30,36,56,
23,49,43,45,
41,41,33,53,
31,47,40,48,
22,68,44,37,
17,61,46,30,
45,31,27,58,
8,72,64,17,
23,43,40,51,
33,49,32,50,
23,53,37,46,
47,33,43,43,
33,35,33,51,
14,65,43,42,
24,58,39,38,
45,21,22,62,
19,67,45,36,
10,72,48,33,
2,72,57,29,
31,51,40,42,
25,43,41,43,
20,54,36,44,
0,80,67,18,
35,43,25,54,
21,51,47,36,
47,27,33,58,
5,91,70,33,
8,54,51,37,
42,36,39,44,
44,34,35,54,
15,49,42,48,
37,47,32,47,
32,38,33,51,
33,53,36,41,
1,74,48,38,
9,65,49,35,
1,81,64,23,
