
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

23,61,39,43,
38,32,33,53,
12,64,40,43,
14,66,45,33,
14,58,42,40,
17,69,42,35,
25,43,38,49,
45,37,25,58,
44,28,27,57,
30,54,32,50,
29,57,37,43,
34,46,33,49,
5,76,63,27,
4,81,56,22,
1,71,50,32,
3,73,55,32,
55,29,35,53,
47,31,37,46,
9,73,56,24,
20,58,41,42,
47,35,39,47,
8,60,61,29,
28,54,33,49,
43,45,31,50,
11,63,40,42,
29,55,42,37,
0,92,59,25,
23,55,42,44,
6,64,59,34,
19,61,43,38,
39,43,29,50,
28,54,43,37,
24,40,50,43,
11,49,50,34,
43,29,32,51,
19,49,47,40,
32,52,33,48,
41,43,42,44,
48,34,24,57,
2,84,68,15,
44,44,43,43,
36,42,29,51,
14,69,48,34,
32,42,38,48,
41,49,32,46,
18,62,36,40,
36,34,33,47,
31,51,42,44,
33,59,36,43,
46,26,27,59,
32,36,37,54,
43,45,34,45,
37,31,35,53,
36,46,37,47,
27,45,41,44,
47,31,25,61,
6,84,66,17,
43,29,29,58,
33,47,32,48,
11,57,41,35,
30,32,34,52,
24,46,46,39,
2,80,66,20,
25,63,38,37,
18,52,45,38,
33,41,38,53,
54,20,26,57,
8,76,61,21,
26,58,39,42,
17,73,48,31,
11,71,50,29,
45,41,26,53,
32,46,37,47,
35,37,29,58,
9,85,60,22,
53,27,33,56,
27,53,38,39,
31,35,37,50,
12,66,48,33,
19,65,46,38,
31,35,40,49,
33,31,33,52,
40,36,46,48,
37,33,37,48,
46,30,28,56,
5,74,56,29,
6,78,66,25,
36,30,31,53,
13,69,38,38,
10,75,54,28,
20,68,44,38,
6,80,54,31,
48,36,33,54,
30,42,37,46,
28,62,46,35,
24,42,42,45,
0,76,56,24,
