
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

79,27,15,81,
27,63,57,43,
42,48,42,57,
72,30,24,74,
40,56,52,48,
62,42,30,68,
56,42,41,58,
38,56,52,48,
31,69,71,29,
57,45,43,55,
21,73,70,30,
47,47,43,56,
46,58,52,45,
46,56,52,46,
26,64,58,41,
56,44,43,55,
22,70,66,34,
55,37,33,66,
51,49,42,55,
39,53,50,49,
75,37,22,72,
35,57,55,45,
35,57,53,47,
38,60,58,42,
45,55,49,48,
45,59,54,43,
26,70,67,32,
29,65,62,37,
45,53,53,46,
49,55,48,50,
56,46,44,54,
45,53,52,47,
42,58,53,44,
30,68,64,35,
34,58,54,46,
53,45,46,54,
53,51,42,56,
53,51,46,51,
51,53,48,50,
30,58,50,49,
63,43,36,61,
33,63,59,41,
33,61,56,43,
69,39,26,70,
40,60,59,40,
59,49,37,59,
57,47,39,59,
60,38,29,69,
65,39,32,64,
29,71,65,34,
38,56,53,47,
61,41,33,64,
52,48,46,53,
18,70,65,34,
64,42,29,68,
31,65,61,39,
48,52,45,50,
41,57,58,41,
31,67,66,34,
23,77,77,23,
59,49,46,50,
58,50,41,55,
63,39,33,65,
71,31,19,79,
68,34,19,79,
55,43,40,59,
90,10,4,96,
57,47,41,57,
72,28,19,80,
61,39,36,62,
36,52,48,52,
27,73,71,29,
59,41,38,59,
28,64,60,40,
43,53,53,46,
45,49,50,50,
72,30,24,75,
46,52,51,49,
40,46,39,58,
42,62,50,47,
51,49,50,49,
45,51,51,49,
84,28,11,83,
51,47,42,57,
31,67,67,33,
15,73,64,36,
53,47,45,53,
37,53,46,53,
34,68,64,35,
29,65,63,37,
69,37,28,69,
27,63,60,40,
57,45,40,57,
62,40,35,61,
52,48,44,56,
44,58,51,48,
48,50,48,52,
