
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

specie1,specie2,specie3,specie4,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,

11,5,5,0,
13,3,11,0,
11,5,5,0,
11,5,5,0,
11,6,2,0,
11,5,5,0,
13,6,2,0,
11,5,5,0,
11,6,2,0,
11,6,2,0,
13,5,5,0,
11,5,5,0,
11,5,5,0,
11,6,2,0,
11,5,5,0,
11,5,5,0,
11,6,2,0,
13,7,0,0,
13,5,5,0,
13,6,2,0,
13,6,2,0,
11,5,5,0,
11,5,5,0,
11,5,5,0,
13,6,2,0,
11,3,11,0,
11,5,5,0,
11,6,2,0,
11,5,5,0,
11,6,2,0,
11,5,5,0,
11,6,2,0,
11,5,5,0,
11,4,8,0,
13,5,5,0,
11,5,5,0,
11,5,5,0,
11,6,2,0,
11,5,5,0,
11,5,5,0,
11,5,5,0,
11,5,5,0,
11,5,5,0,
11,5,5,0,
11,6,2,0,
11,6,2,0,
11,5,5,0,
11,6,2,0,
13,6,2,0,
13,6,2,0,
11,5,5,0,
11,5,5,0,
11,6,2,0,
11,6,2,0,
11,5,5,0,
11,7,0,0,
11,5,5,0,
11,5,5,0,
11,2,14,0,
11,6,2,0,
11,4,8,0,
11,5,5,0,
11,5,5,0,
11,4,8,0,
11,5,5,0,
11,4,8,0,
13,5,5,0,
13,6,2,0,
11,6,2,0,
11,5,5,0,
11,5,5,0,
11,6,2,0,
11,5,5,0,
15,5,5,0,
11,6,2,0,
11,5,5,0,
11,5,5,0,
11,7,0,0,
11,4,8,0,
13,5,5,0,
11,5,5,0,
13,5,5,0,
11,6,2,0,
13,3,11,0,
11,6,2,0,
11,5,5,0,
11,6,2,0,
11,5,5,0,
11,6,2,0,
13,6,2,0,
11,5,5,0,
11,6,2,0,
11,5,5,0,
11,6,2,0,
11,6,2,0,
13,5,5,0,
11,6,2,0,
11,5,5,0,
11,5,5,0,
11,5,5,0,

11,6,2,0,
13,3,11,0,
11,6,2,0,
11,6,2,0,
11,3,11,0,
11,5,5,0,
17,5,5,0,
11,6,2,0,
11,5,5,0,
13,5,5,0,
13,6,2,0,
11,6,2,0,
11,6,2,0,
11,6,2,0,
11,6,2,0,
11,4,8,0,
11,6,2,0,
13,7,0,0,
13,5,5,0,
15,5,5,0,
13,5,5,0,
11,5,5,0,
11,5,5,0,
11,5,5,0,
13,6,2,0,
11,4,8,0,
11,5,5,0,
13,5,5,0,
11,6,2,0,
11,6,2,0,
11,6,2,0,
11,5,5,0,
11,6,2,0,
11,4,8,0,
13,6,2,0,
11,5,5,0,
11,6,2,0,
11,7,0,0,
11,6,2,0,
11,6,2,0,
11,5,5,0,
11,5,5,0,
11,5,5,0,
11,5,5,0,
11,6,2,0,
13,5,5,0,
11,6,2,0,
11,6,2,0,
13,7,0,0,
13,5,5,0,
11,6,2,0,
11,5,5,0,
11,5,5,0,
11,6,2,0,
11,5,5,0,
11,7,0,0,
11,5,5,0,
11,6,2,0,
13,2,14,0,
13,5,5,0,
11,4,8,0,
11,5,5,0,
11,5,5,0,
11,1,17,0,
11,6,2,0,
11,4,8,0,
15,5,5,0,
17,5,5,0,
11,6,2,0,
11,5,5,0,
13,5,5,0,
11,5,5,0,
11,5,5,0,
15,5,5,0,
11,5,5,0,
11,5,5,0,
11,6,2,0,
11,7,0,0,
11,4,8,0,
17,6,2,0,
11,6,2,0,
15,6,2,0,
11,7,0,0,
13,3,11,0,
11,7,0,0,
11,7,0,0,
11,5,5,0,
13,6,2,0,
11,5,5,0,
13,6,2,0,
13,5,5,0,
11,5,5,0,
11,5,5,0,
11,5,5,0,
11,5,5,0,
13,7,0,0,
11,5,5,0,
13,6,2,0,
11,7,0,0,
11,6,2,0,

11,5,5,0,
15,4,8,0,
11,5,5,0,
11,6,2,0,
11,4,8,0,
13,5,5,0,
17,4,8,0,
11,5,5,0,
11,6,2,0,
15,6,2,0,
13,6,2,0,
11,5,5,0,
11,6,2,0,
11,5,5,0,
11,6,2,0,
11,4,8,0,
11,6,2,0,
13,7,0,0,
13,6,2,0,
17,5,5,0,
15,5,5,0,
13,6,2,0,
11,5,5,0,
11,5,5,0,
13,5,5,0,
11,4,8,0,
11,6,2,0,
13,5,5,0,
11,5,5,0,
13,5,5,0,
11,4,8,0,
11,6,2,0,
11,6,2,0,
11,4,8,0,
15,5,5,0,
11,6,2,0,
11,6,2,0,
11,7,0,0,
11,5,5,0,
13,6,2,0,
15,6,2,0,
11,6,2,0,
13,4,8,0,
11,6,2,0,
11,5,5,0,
15,7,0,0,
11,7,0,0,
11,6,2,0,
13,7,0,0,
13,6,2,0,
11,5,5,0,
11,6,2,0,
11,6,2,0,
11,6,2,0,
13,6,2,0,
11,7,0,0,
11,5,5,0,
11,6,2,0,
13,1,17,0,
13,6,2,0,
11,4,8,0,
11,6,2,0,
11,6,2,0,
11,2,14,0,
11,5,5,0,
13,3,11,0,
15,6,2,0,
17,5,5,0,
11,5,5,0,
11,5,5,0,
13,6,2,0,
11,6,2,0,
11,5,5,0,
17,5,5,0,
11,6,2,0,
11,5,5,0,
11,5,5,0,
11,7,0,0,
11,4,8,0,
17,6,2,0,
13,5,5,0,
15,7,0,0,
11,7,0,0,
13,6,2,0,
11,7,0,0,
11,7,0,0,
11,5,5,0,
15,3,11,0,
11,5,5,0,
13,6,2,0,
13,6,2,0,
11,5,5,0,
11,6,2,0,
11,5,5,0,
11,6,2,0,
13,7,0,0,
11,5,5,0,
13,5,5,0,
11,7,0,0,
11,6,2,0,

11,5,5,0,
15,4,8,0,
11,6,2,0,
11,6,2,0,
11,5,5,0,
13,6,2,0,
17,4,8,0,
11,5,5,0,
13,6,2,0,
15,6,2,0,
13,5,5,0,
11,6,2,0,
13,5,5,0,
13,5,5,0,
11,6,2,0,
11,3,11,0,
13,7,0,0,
15,7,0,0,
13,6,2,0,
17,5,5,0,
15,6,2,0,
13,6,2,0,
11,5,5,0,
11,5,5,0,
13,3,11,0,
11,5,5,0,
11,6,2,0,
13,5,5,0,
11,6,2,0,
13,6,2,0,
11,6,2,0,
11,6,2,0,
13,7,0,0,
11,3,11,0,
15,5,5,0,
11,5,5,0,
11,5,5,0,
11,7,0,0,
11,5,5,0,
13,6,2,0,
15,6,2,0,
11,5,5,0,
