
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
10,0,0,0,10,1,1,

specie1,specie2,
20,20,
20,20,
20,20,
20,20,
20,20,
20,20,
20,20,
20,20,
20,20,
20,20,

21,19,
19,21,
21,19,
25,15,
15,25,
19,21,
22,18,
16,24,
22,18,
14,26,

22,18,
17,23,
20,20,
25,15,
18,22,
20,20,
22,18,
15,25,
20,20,
10,30,

23,17,
18,22,
20,20,
22,18,
23,17,
14,26,
23,17,
18,22,
19,21,
11,29,

26,14,
14,26,
20,20,
23,17,
18,22,
19,21,
25,15,
22,18,
17,23,
17,23,

28,12,
14,26,
23,17,
25,15,
16,24,
17,23,
24,16,
26,14,
19,21,
14,26,

28,12,
15,25,
27,13,
29,11,
21,19,
17,23,
22,18,
22,18,
19,21,
14,26,

31,9,
17,23,
28,12,
35,5,
19,21,
21,19,
21,19,
20,20,
20,20,
13,27,

30,10,
18,22,
33,7,
38,2,
14,26,
21,19,
26,14,
19,21,
17,23,
15,25,

27,13,
18,22,
36,4,
43,0,
14,26,
27,13,
26,14,
21,19,
18,22,
14,26,

# Showing cells 0-10 until 9.0503 min
