
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
10,0,0,0,10,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

0,0,69,85,
2,0,22,44,
1,0,50,63,
2,0,57,59,
5,2,52,29,
4,4,51,72,
6,0,42,52,
6,0,26,36,
5,4,46,14,
0,0,54,54,

0,0,70,69,
2,0,19,40,
0,0,35,78,
2,0,84,71,
8,6,47,15,
0,0,39,62,
18,0,44,78,
5,0,51,59,
7,0,47,13,
0,2,39,78,

14,0,52,84,
1,0,10,50,
0,0,39,60,
0,4,75,54,
0,2,45,24,
0,0,25,53,
2,0,45,71,
0,0,43,79,
0,2,63,19,
8,2,52,81,

5,0,66,87,
3,4,4,35,
4,4,12,58,
4,2,74,51,
3,0,37,16,
4,0,64,64,
4,0,42,75,
0,0,84,113,
4,0,71,3,
2,0,51,78,

0,0,76,102,
2,0,10,38,
0,0,12,52,
0,2,55,38,
1,0,52,4,
0,0,57,66,
2,12,59,111,
3,4,75,103,
19,2,75,27,
1,0,59,100,

2,0,42,87,
24,0,21,26,
2,2,4,50,
3,2,50,41,
4,0,45,2,
0,2,65,59,
1,0,81,113,
0,0,90,94,
14,6,74,34,
13,0,37,70,

0,0,73,110,
3,0,15,17,
2,2,13,59,
0,0,23,38,
13,6,51,17,
9,8,45,43,
1,0,76,129,
0,0,94,114,
4,4,53,43,
1,4,29,62,

0,0,74,153,
1,0,31,21,
4,0,11,57,
0,0,30,47,
10,2,61,24,
5,2,54,60,
2,0,62,116,
2,6,85,127,
0,4,54,44,
3,0,25,49,

6,2,112,199,
0,0,25,21,
8,4,0,68,
0,0,48,52,
2,0,83,27,
10,2,67,59,
0,2,49,98,
11,8,78,95,
1,0,28,56,
4,0,27,55,

# Showing cells 0-10 until 9.00203 min
