
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
50,0,0,0,50,1,1,1,1,

specie1,specie2,specie3,specie4,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,

8,4,8,74,
8,7,6,59,
7,4,8,50,
6,4,6,54,
7,7,6,81,
3,8,4,66,
7,6,5,27,
6,6,5,38,
9,3,4,39,
6,3,8,89,
6,5,4,49,
3,5,5,107,
6,7,8,98,
6,7,6,87,
5,5,6,15,
6,9,5,39,
8,5,4,82,
4,7,7,55,
7,6,5,71,
5,5,6,79,
6,10,7,64,
4,7,3,78,
4,4,4,28,
7,8,8,73,
2,6,8,67,
5,9,6,46,
7,6,5,47,
5,11,5,27,
4,6,7,63,
8,6,3,46,
4,8,5,52,
6,6,6,42,
5,7,5,33,
4,4,6,58,
3,8,7,71,
6,5,4,40,
9,5,6,60,
6,3,9,48,
6,4,6,91,
3,6,5,49,
6,6,3,64,
5,6,5,60,
4,7,6,40,
4,5,9,52,
4,4,8,45,
6,8,5,87,
8,6,4,66,
8,6,5,39,
8,4,5,42,
7,6,8,51,

11,4,9,121,
12,8,5,67,
8,10,12,32,
10,3,7,42,
7,7,4,143,
1,9,5,99,
13,4,7,3,
10,4,7,19,
10,4,3,28,
7,4,9,159,
8,5,4,42,
4,6,6,205,
7,6,10,208,
8,7,10,130,
2,2,8,0,
7,11,5,19,
8,7,7,162,
5,11,7,58,
6,6,8,119,
4,7,7,119,
8,15,8,95,
7,7,3,146,
2,7,4,7,
10,8,11,96,
4,8,8,117,
6,11,5,24,
7,6,5,28,
5,11,8,6,
8,7,9,80,
10,6,3,54,
4,11,5,56,
7,10,4,61,
6,10,7,1,
2,6,5,71,
5,5,6,125,
6,5,4,47,
10,5,5,102,
6,7,9,65,
7,4,6,161,
4,6,5,66,
4,6,5,94,
4,7,5,56,
5,9,8,52,
1,7,11,59,
5,3,11,53,
7,12,8,117,
10,4,7,94,
7,6,6,15,
7,6,6,22,
8,8,8,64,

13,4,13,273,
16,10,6,65,
8,10,13,28,
12,4,7,35,
13,7,1,293,
2,12,3,184,
13,7,9,0,
13,5,11,0,
12,5,6,9,
9,2,11,375,
8,4,8,57,
6,10,6,462,
7,6,12,449,
11,5,11,253,
1,1,10,0,
7,13,9,0,
10,8,6,371,
8,10,12,90,
7,8,9,282,
4,7,7,224,
8,15,9,278,
8,13,5,299,
5,8,6,0,
10,8,10,190,
5,7,9,227,
8,14,5,0,
7,9,6,4,
6,10,12,0,
6,9,9,119,
11,8,8,41,
4,9,4,77,
7,10,7,109,
7,10,9,0,
5,5,8,145,
8,4,7,308,
8,6,5,70,
10,4,6,135,
6,6,9,89,
8,4,5,324,
7,7,7,101,
8,8,9,163,
5,9,7,73,
6,12,9,62,
0,11,12,100,
6,6,12,24,
6,14,8,235,
9,4,6,196,
6,5,9,0,
8,7,8,3,
11,6,9,109,

14,3,13,653,
14,11,7,82,
9,10,14,20,
14,5,9,6,
12,8,4,692,
6,16,6,400,
14,9,5,0,
16,6,16,0,
11,6,5,0,
7,0,13,808,
7,4,9,74,
10,12,9,1122,
10,10,11,1173,
9,5,10,667,
5,6,11,0,
8,16,12,0,
10,9,9,976,
8,8,14,123,
8,10,12,662,
6,5,11,559,
9,18,11,662,
5,16,7,774,
4,12,11,0,
10,13,15,497,
7,8,9,481,
8,12,8,0,
6,12,6,0,
8,9,11,0,
9,9,12,244,
12,13,9,26,
8,10,3,147,
6,9,10,222,
7,12,14,0,
9,6,9,253,
10,6,5,702,
7,7,7,148,
8,5,6,238,
11,7,11,190,
6,5,5,784,
8,9,11,193,
10,10,9,396,
6,8,9,133,
8,12,12,86,
2,16,11,219,
6,6,12,0,
7,19,7,545,
9,5,6,448,
6,7,10,0,
9,10,8,0,
12,10,14,189,

16,3,14,1699,
12,11,8,148,
7,11,14,0,
20,5,12,0,
11,10,5,1790,
7,18,7,1009,
18,13,4,0,
16,7,18,0,
11,7,6,0,
9,1,13,2270,
8,5,8,141,
12,15,11,2935,
10,11,11,3086,
8,6,14,1805,
10,6,11,0,
10,16,11,0,
10,6,10,2464,
9,6,17,259,
9,13,15,1709,
4,7,10,1475,
8,17,11,1773,
6,16,7,2070,
5,14,9,0,
12,17,18,1241,
6,9,10,1284,
9,15,8,0,
6,12,6,0,
9,11,11,0,
8,8,12,573,
15,14,10,0,
11,12,1,287,
7,7,8,586,
6,13,14,0,
9,3,9,561,
12,7,5,1741,
9,7,6,341,
8,8,6,559,
10,8,13,484,
8,7,9,2109,
9,9,10,387,
8,13,10,1029,
6,8,13,264,
11,11,13,190,
1,21,10,556,
9,7,12,0,
9,19,9,1372,
10,7,8,1074,
9,11,12,0,
9,10,14,0,
13,14,14,474,

15,3,17,4397,
13,12,10,327,
8,15,16,0,
22,5,14,0,
10,7,7,4631,
8,19,7,2628,
19,15,7,0,
17,8,18,0,
11,7,9,0,
10,3,16,6176,
9,6,10,326,
13,16,10,7774,
11,15,12,8338,
10,9,16,4983,
10,9,12,0,
13,19,11,0,
10,10,12,6492,
10,6,18,608,
8,11,15,4705,
6,5,8,3930,
10,17,13,4650,
6,20,11,5621,
2,17,12,0,
15,17,20,3203,
10,7,13,3406,
10,21,6,0,
7,14,5,0,
9,12,10,0,
7,9,13,1538,
16,18,11,0,
14,13,0,640,
7,8,11,1553,
5,13,15,0,
8,1,10,1370,
12,9,8,4809,
13,9,6,900,
7,10,7,1380,
10,9,15,1202,
10,8,11,5629,
11,12,12,944,
10,15,11,2654,
8,9,13,706,
10,10,15,446,
2,20,10,1445,
10,7,11,0,
9,21,9,3678,
10,9,8,2801,
9,13,13,0,
13,11,18,0,
15,17,21,1187,

16,10,18,11916,
14,15,12,743,
9,18,18,0,
21,2,14,0,
12,12,8,12270,
11,19,11,7247,
22,16,6,0,
18,11,18,0,
11,5,9,0,
12,4,15,16767,
10,10,9,752,
15,17,12,21294,
9,16,10,22610,
12,12,20,13302,
9,13,14,0,
14,22,15,0,
15,13,15,17803,
11,6,19,1676,
11,12,15,12649,
7,7,10,10797,
12,16,17,12486,
6,21,10,15384,
2,19,10,0,
13,19,17,8639,
9,7,13,9329,
12,21,6,0,
8,15,6,0,
7,16,10,0,
7,10,11,4148,
18,18,8,0,
17,14,3,1672,
10,10,10,4254,
4,19,16,0,
9,2,10,3715,
14,9,12,13014,
18,7,7,2317,
8,9,9,3733,
12,10,15,3274,
12,10,13,15342,
9,15,13,2466,
13,19,12,7122,
9,10,14,1801,
12,12,12,1082,
5,23,9,3911,
12,9,16,0,
11,22,11,10071,
12,9,7,7676,
10,15,13,0,
15,11,17,0,
13,15,22,3199,

18,14,18,32536,
15,15,13,1900,
10,21,23,0,
23,2,14,0,
14,11,10,33039,
12,20,13,19444,
22,18,10,0,
18,10,20,0,
11,8,10,0,
16,3,15,45234,
12,12,9,1946,
16,16,12,57351,
11,16,10,61343,
13,12,25,36170,
12,14,18,0,
14,24,15,0,
16,12,14,49072,
13,9,16,4499,
13,14,18,33948,
7,9,9,29191,
11,18,17,33379,
9,22,9,41996,
0,20,10,0,
14,19,19,23484,
8,8,12,25121,
13,21,4,0,
9,19,8,0,
9,18,14,0,
5,9,11,11062,
20,20,8,0,
18,13,6,4483,
9,11,9,11695,
3,18,18,0,
7,1,12,10189,
13,9,12,35082,
23,7,5,6070,
8,11,8,10226,
8,10,16,8889,
13,12,19,41941,
9,16,14,6533,
14,21,12,19523,
10,10,14,4878,
12,11,14,2811,
4,25,8,10680,
14,10,16,0,
11,22,11,27515,
12,11,7,20618,
10,14,15,0,
18,11,17,0,
16,17,21,8457,

19,15,19,88817,
18,13,18,5202,
12,21,24,0,
25,3,16,0,
15,14,12,89265,
12,21,12,52857,
28,17,11,0,
20,11,22,0,
12,8,13,0,
17,4,19,122493,
17,14,10,5388,
16,18,14,156257,
14,19,9,167165,
14,12,25,97770,
11,15,19,0,
14,28,15,0,
17,9,14,133319,
13,12,16,12168,
16,18,22,91968,
8,13,11,79062,
12,22,17,90467,
10,23,12,114187,
0,21,11,0,
15,21,17,63160,
8,9,13,68581,
12,21,3,0,
11,19,9,0,
10,22,16,0,
9,10,11,29928,
22,22,8,0,
20,14,8,12228,
10,10,12,31595,
2,22,21,0,
5,2,14,27667,
16,7,16,95293,
25,9,6,16566,
11,12,11,27229,
8,12,15,24379,
13,12,19,114311,
12,18,16,17832,
16,25,14,52680,
