
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
10,0,0,0,10,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

206,202,64,62,
159,173,75,82,
161,201,58,78,
144,178,42,59,
190,194,34,36,
185,191,35,38,
151,141,53,48,
117,205,8,52,
195,145,57,32,
200,146,90,63,

281,249,85,69,
308,298,77,72,
208,268,44,74,
174,222,31,55,
329,273,23,0,
295,263,57,41,
270,210,35,5,
209,309,4,41,
297,247,52,27,
347,247,115,65,

359,303,86,58,
356,392,51,69,
275,357,59,100,
270,326,39,67,
441,345,35,3,
425,353,73,37,
387,323,31,5,
276,384,3,33,
380,306,57,20,
422,330,108,62,

461,367,103,56,
405,465,49,79,
343,427,48,90,
334,440,19,72,
523,423,8,1,
561,437,72,10,
509,427,50,24,
347,419,19,23,
448,390,58,29,
506,418,113,69,

541,465,110,72,
490,564,61,98,
456,512,64,92,
379,491,20,76,
610,512,16,10,
612,536,49,11,
604,536,55,36,
460,532,15,19,
610,524,60,17,
633,557,112,74,

599,527,123,87,
589,647,56,85,
521,569,61,85,
483,569,39,82,
690,580,20,14,
745,645,55,7,
694,604,60,30,
523,593,8,11,
740,658,53,13,
708,624,96,54,

705,653,121,95,
665,739,61,98,
573,661,41,85,
508,604,44,92,
817,733,11,19,
862,746,54,1,
776,700,50,27,
664,744,21,29,
836,722,50,1,
814,762,99,73,

821,787,107,90,
754,834,57,97,
682,762,32,72,
582,668,62,105,
911,803,29,25,
1012,922,34,1,
880,828,71,60,
812,882,36,39,
996,842,60,3,
898,844,96,69,

915,887,114,100,
898,958,49,79,
803,863,11,41,
654,754,55,105,
1018,914,20,18,
1169,1077,22,4,
958,908,58,48,
912,970,33,30,
1128,992,53,14,
920,866,89,62,

# Showing cells 0-10 until 9.00199 min
