
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,1,1,

specie1,specie2,specie3,specie4,specie5,specie6,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,

4,23,0,1,645,1025,
7,0,20,3,589,987,
5,8,4,3,626,964,
0,6,7,17,622,979,
4,16,7,12,639,995,
5,6,8,9,643,967,
6,0,13,2,599,1028,
4,11,13,11,563,960,
4,2,8,8,624,1024,
3,17,4,11,624,1015,
9,9,0,37,669,957,
3,2,17,22,652,975,
2,0,3,16,607,988,
2,0,6,0,605,960,
4,1,12,28,581,1036,
2,4,4,0,625,968,
5,6,21,4,609,956,
6,28,5,8,612,978,
6,3,2,25,602,995,
5,0,23,22,608,970,
2,3,1,19,620,940,
4,5,7,15,596,1030,
6,7,6,8,637,994,
5,2,5,4,590,1028,
0,5,0,1,624,1029,
4,5,9,4,581,974,
4,10,8,4,627,1013,
3,16,3,0,606,1010,
4,13,16,2,642,1011,
5,1,1,2,632,937,
4,27,2,1,623,1037,
5,0,11,5,598,1010,
3,12,13,7,652,967,
3,1,4,19,635,971,
5,0,7,35,685,1037,
6,7,7,16,636,1007,
3,22,0,1,616,995,
5,4,23,6,611,977,
3,3,12,6,611,1061,
3,0,6,21,573,1032,
5,1,2,27,581,991,
0,5,1,14,662,940,
6,2,9,26,612,961,
6,3,3,1,600,990,
5,1,3,0,628,934,
3,3,11,6,613,1004,
5,0,9,3,638,957,
6,0,20,7,648,1020,
3,1,8,1,610,1036,
2,4,3,6,627,1009,
6,5,12,15,560,1070,
4,12,0,0,628,1000,
4,22,3,32,614,1044,
5,2,11,2,612,1040,
4,20,4,35,572,1012,
5,9,7,1,584,1033,
7,11,5,2,615,1015,
3,8,5,6,604,955,
6,4,21,4,641,1009,
4,10,7,0,575,997,
4,7,1,10,634,1010,
5,0,8,12,634,943,
2,7,5,11,636,1008,
6,2,0,7,637,1056,
2,2,10,12,628,974,
2,7,1,5,577,990,
4,10,5,21,620,912,
6,2,3,6,635,959,
0,32,4,11,612,936,
6,10,3,14,614,1026,
1,3,0,1,606,1037,
4,8,7,17,695,1045,
4,0,16,30,622,984,
0,0,23,17,624,1041,
5,1,9,0,609,949,
3,0,0,11,624,973,
4,6,1,23,600,976,
5,11,1,25,653,984,
6,1,7,15,591,976,
4,0,0,9,576,929,
0,19,0,12,648,971,
1,8,10,7,578,1025,
5,0,15,16,600,969,
1,1,0,13,590,1026,
5,15,3,6,596,979,
4,2,6,12,597,972,
7,1,1,9,611,966,
6,4,3,5,617,977,
5,19,7,2,618,984,
6,5,1,3,598,946,
5,14,8,18,612,934,
5,3,3,8,610,1016,
4,1,2,11,656,1003,
6,3,8,0,628,986,
7,16,18,8,658,987,
4,4,3,2,627,946,
2,5,8,9,597,1002,
8,1,13,3,645,1011,
0,4,1,4,612,1033,
5,21,0,10,617,1035,

9,9,0,33,1241,1991,
4,8,3,1,1210,1964,
0,6,3,43,1249,1942,
1,13,2,2,1224,1960,
4,38,1,21,1251,1983,
5,21,4,10,1257,1956,
5,5,16,23,1194,1995,
0,9,1,45,1132,1955,
4,3,7,2,1270,2024,
0,23,1,6,1253,1974,
8,2,12,27,1230,1911,
4,13,25,7,1260,1969,
1,7,2,6,1261,2005,
0,6,4,0,1216,1899,
7,2,3,7,1193,2004,
0,4,18,0,1239,1991,
4,19,10,10,1207,1943,
3,47,0,8,1213,1986,
7,11,0,2,1184,1933,
5,2,22,30,1209,1954,
1,3,11,11,1226,1895,
0,5,8,22,1203,2083,
7,6,5,11,1300,1976,
3,7,3,20,1215,2002,
1,4,18,10,1231,2029,
2,8,11,3,1219,2002,
1,2,0,7,1260,1978,
2,12,7,3,1205,2010,
5,15,6,20,1244,2047,
4,1,8,3,1241,1930,
1,25,6,9,1302,2033,
5,1,10,8,1198,1998,
0,3,0,27,1254,1932,
5,6,5,14,1298,1947,
6,4,1,20,1276,2026,
7,26,3,43,1258,1943,
3,16,4,22,1215,2007,
3,8,39,30,1200,2018,
3,1,2,2,1207,2087,
4,10,2,16,1158,2026,
6,9,3,12,1225,1972,
0,4,3,3,1223,1938,
5,0,1,1,1204,1950,
2,4,4,18,1187,1952,
3,8,1,31,1272,1853,
0,11,8,29,1225,2031,
1,4,26,13,1275,1965,
7,2,12,1,1257,1991,
0,4,1,2,1248,2001,
0,9,11,4,1260,1989,
2,5,6,24,1156,2048,
1,0,23,24,1248,2002,
3,38,3,39,1215,2042,
2,3,0,4,1205,2047,
4,12,1,59,1193,2026,
6,8,4,41,1143,2055,
11,15,5,10,1175,2010,
1,2,2,14,1201,1911,
2,6,7,12,1267,2010,
0,12,4,25,1171,1980,
3,5,0,2,1256,1994,
2,3,20,8,1242,1940,
2,2,32,14,1214,2009,
4,8,10,4,1217,2071,
0,2,2,12,1222,1985,
0,8,7,7,1211,2021,
3,37,3,25,1291,1913,
6,0,9,0,1265,1899,
0,32,3,51,1180,1893,
5,10,1,1,1225,2004,
0,5,8,14,1141,2040,
1,28,2,10,1317,2058,
2,12,31,12,1221,1977,
0,12,16,3,1244,2032,
3,1,5,13,1279,1945,
2,3,9,3,1273,1987,
2,14,17,24,1242,1995,
5,25,15,15,1245,1950,
7,6,32,26,1226,1989,
4,6,1,27,1190,1890,
0,6,1,21,1259,1968,
0,1,6,4,1189,1995,
5,0,32,40,1200,1996,
0,5,1,37,1182,2040,
4,9,0,7,1202,1985,
4,7,1,8,1201,1960,
8,9,1,4,1181,1981,
3,5,1,6,1230,1955,
4,8,2,11,1241,1974,
5,1,0,31,1236,1932,
3,4,23,36,1237,1992,
4,2,4,9,1219,2015,
5,2,10,18,1224,1993,
4,2,1,4,1252,1961,
7,1,21,13,1278,1979,
0,6,2,2,1238,1931,
0,0,19,28,1204,1991,
9,1,0,31,1228,1999,
0,1,4,5,1188,1982,
5,7,3,25,1229,2005,

9,4,0,39,1796,2949,
3,13,35,1,1820,2950,
0,1,5,43,1856,2971,
0,38,2,3,1863,2931,
3,42,2,21,1907,2944,
2,6,2,28,1865,2904,
4,7,8,22,1820,2975,
0,24,0,47,1789,2898,
1,2,12,15,1870,3021,
0,10,6,1,1853,2948,
6,1,6,4,1849,2871,
2,0,0,0,1884,2965,
4,0,1,3,1891,2961,
1,8,4,2,1816,2824,
5,4,2,2,1766,2966,
1,18,10,2,1832,2959,
1,15,11,9,1816,2962,
2,53,11,1,1823,2997,
5,8,2,13,1812,2895,
5,4,21,51,1797,2942,
2,14,13,20,1861,2917,
0,16,9,49,1808,3054,
6,14,3,14,1914,2926,
1,4,3,13,1804,2922,
4,7,10,6,1840,3020,
2,1,16,1,1839,2965,
0,3,11,13,1855,2963,
2,8,7,10,1859,3029,
5,7,1,11,1884,3061,
4,0,13,4,1881,2972,
0,17,0,5,1928,3022,
6,1,2,31,1836,3030,
0,1,5,41,1846,2968,
5,0,17,9,1920,2874,
4,16,6,7,1914,2968,
5,19,2,41,1852,2946,
4,11,3,11,1822,2921,
1,1,30,57,1825,3045,
1,14,3,19,1785,3157,
3,6,8,8,1809,3088,
6,7,7,19,1807,2939,
0,5,7,13,1786,2930,
3,9,6,11,1787,2932,
1,4,2,10,1833,2964,
2,2,23,43,1880,2864,
2,9,22,22,1861,3064,
0,8,22,5,1917,2946,
8,2,1,22,1843,2946,
2,7,4,4,1841,2995,
0,11,13,1,1912,2962,
0,0,6,30,1766,3109,
1,16,2,11,1841,2967,
2,32,4,17,1851,3034,
1,1,14,3,1805,3001,
3,19,17,62,1784,3084,
6,8,9,73,1771,3043,
14,16,0,0,1817,2973,
0,10,3,32,1780,2884,
0,4,3,24,1856,3004,
0,13,6,7,1802,2994,
1,2,2,3,1864,2956,
0,7,20,9,1863,2941,
3,24,2,4,1810,3047,
4,9,3,20,1804,3060,
1,6,11,9,1855,2971,
1,11,2,29,1823,2981,
2,33,2,4,1879,2945,
6,13,7,5,1898,2860,
2,38,2,38,1769,2889,
6,13,2,24,1833,2992,
0,0,6,15,1734,3046,
0,20,2,8,1882,3086,
0,14,26,9,1856,2960,
1,10,7,9,1871,2981,
1,0,6,16,1900,2947,
2,6,1,4,1891,2949,
0,4,4,31,1861,2999,
2,18,7,1,1864,2895,
5,6,37,10,1806,3032,
2,1,0,13,1812,2914,
0,12,13,23,1874,2966,
1,2,1,2,1808,2956,
5,0,11,10,1818,2986,
0,1,0,29,1809,3059,
2,21,3,2,1811,2907,
2,1,9,23,1816,2963,
8,8,3,3,1789,2950,
0,5,4,5,1841,2958,
3,26,12,3,1840,2994,
2,0,2,15,1845,2891,
2,1,33,3,1877,3046,
7,10,14,2,1816,2999,
3,6,0,1,1772,2955,
4,6,12,5,1857,2957,
6,0,0,15,1894,2941,
0,0,6,1,1852,2968,
0,0,22,20,1818,3041,
7,13,23,57,1829,2981,
0,1,9,18,1784,3007,
3,2,14,17,1822,2962,

9,3,4,61,2435,3942,
1,2,32,29,2462,3965,
0,7,7,28,2431,3969,
0,21,2,4,2451,3916,
2,44,8,24,2542,3922,
4,4,2,52,2461,3876,
3,12,1,15,2445,3929,
0,19,1,48,2385,3834,
2,5,6,11,2442,4007,
1,2,0,4,2454,3909,
6,14,19,11,2478,3817,
3,2,7,16,2479,3994,
4,15,17,23,2524,3928,
0,0,7,11,2408,3778,
6,16,0,15,2397,3922,
0,8,11,6,2464,3949,
0,1,12,1,2399,3921,
1,42,15,1,2411,4034,
5,9,13,21,2384,3848,
2,4,6,35,2415,3911,
1,22,1,2,2492,3905,
1,3,1,64,2476,4077,
3,15,21,8,2503,3889,
1,1,11,59,2416,3961,
0,2,0,6,2417,4000,
2,3,18,14,2461,3965,
0,3,0,19,2443,4006,
1,14,11,10,2469,4024,
4,8,8,14,2478,4069,
5,6,3,3,2510,3944,
0,9,14,24,2515,4016,
6,5,10,33,2470,3999,
0,2,0,58,2428,3935,
3,6,3,6,2519,3865,
1,13,4,12,2477,3949,
4,28,16,29,2463,3884,
3,1,7,28,2418,3941,
0,9,20,60,2461,4050,
1,11,7,4,2398,4166,
0,6,10,9,2402,4056,
7,5,21,27,2403,3938,
0,1,1,10,2375,3917,
4,10,0,11,2346,3930,
0,0,0,33,2496,3979,
1,10,21,28,2452,3852,
4,3,32,33,2460,4075,
1,9,17,7,2522,3910,
6,0,7,11,2465,3882,
1,7,1,8,2441,4021,
0,15,14,19,2470,3959,
0,9,19,4,2331,4107,
3,7,1,8,2447,3949,
2,35,6,4,2427,4011,
0,14,4,6,2385,3999,
3,4,8,84,2380,4098,
7,9,7,81,2380,4006,
16,12,0,7,2447,3951,
0,9,4,23,2391,3864,
2,1,2,14,2484,4005,
0,2,0,46,2396,3956,
1,7,0,19,2466,3925,
1,4,14,5,2493,3908,
5,5,0,5,2399,4054,
2,6,2,3,2403,4069,
0,0,6,3,2501,3971,
2,15,7,24,2393,3956,
0,21,16,14,2452,3927,
3,0,0,2,2525,3841,
3,31,7,32,2357,3932,
6,15,14,4,2488,3992,
2,0,28,1,2335,4044,
0,12,8,10,2521,4093,
0,12,5,3,2480,3950,
1,22,6,13,2507,4002,
0,10,9,1,2517,3924,
0,11,4,7,2504,3904,
0,1,0,26,2512,4051,
1,18,17,5,2460,3928,
4,3,19,12,2396,4059,
0,4,1,32,2408,3880,
1,8,0,14,2497,3937,
0,14,7,8,2455,4029,
4,10,12,15,2410,3951,
0,1,5,33,2379,4040,
1,10,4,23,2415,3902,
0,1,19,3,2376,3928,
8,4,15,1,2413,3905,
0,1,11,14,2462,3977,
2,17,1,13,2455,3965,
3,0,1,13,2449,3931,
2,16,16,29,2471,4023,
4,4,6,33,2398,4039,
2,17,6,23,2389,3981,
0,2,4,10,2456,3991,
3,9,5,28,2493,3953,
1,3,2,11,2483,3961,
2,3,2,7,2456,3976,
7,3,2,45,2472,3966,
1,1,22,17,2363,3920,
5,13,14,22,2391,3958,

9,13,12,45,3047,4919,
0,6,22,33,3081,4975,
3,4,3,40,3039,5003,
0,37,11,7,3073,4945,
2,30,4,28,3196,4910,
3,2,1,29,3020,4857,
1,15,4,12,3069,4919,
0,12,0,68,2964,4842,
2,0,1,14,3031,4996,
1,8,8,12,3090,4902,
6,17,6,2,3111,4801,
3,16,3,5,3106,4957,
2,9,0,27,3125,4884,
0,13,4,11,3003,4823,
7,2,0,20,3030,4920,
0,0,13,35,3080,4898,
0,18,1,16,3017,4917,
0,46,36,2,3031,5018,
4,10,4,25,2970,4886,
0,1,39,28,3037,4901,
0,33,3,1,3083,4892,
0,8,18,77,3096,5121,
1,8,5,22,3059,4903,
1,15,7,52,3068,4978,
0,0,7,27,3045,5031,
0,8,6,9,3055,4931,
1,9,0,8,3054,5039,
0,6,9,13,3143,4987,
1,17,11,4,3067,5042,
2,9,5,0,3125,4958,
1,16,2,6,3131,5005,
3,2,7,12,3074,4969,
1,10,11,37,3026,4921,
1,3,6,0,3115,4825,
0,1,3,25,3032,4971,
3,12,4,16,3080,4864,
4,8,13,7,3016,4961,
3,9,8,64,3108,5035,
0,5,6,0,3032,5129,
0,12,2,8,3042,5024,
6,1,22,31,3026,4898,
1,0,4,30,2996,4882,
3,2,16,3,2945,4904,
0,3,18,3,3110,4946,
1,11,12,25,3061,4816,
3,4,12,9,3118,5045,
1,2,8,15,3142,4932,
7,2,4,11,3075,4872,
1,4,13,20,3047,5044,
2,5,1,0,3067,5062,
1,6,0,5,2951,5080,
0,1,28,23,3020,4959,
0,40,13,7,2983,4989,
1,6,3,23,2959,4944,
1,12,0,90,2957,5127,
5,9,10,70,2950,5047,
15,7,12,14,3052,4931,
2,16,1,37,3007,4841,
2,2,5,9,3086,4998,
0,5,13,45,3023,4908,
0,3,2,13,3036,4956,
0,5,18,6,3116,4900,
0,14,4,1,3057,5035,
1,0,2,5,3025,5067,
0,18,21,5,3105,4902,
2,4,1,14,3025,4893,
0,31,1,14,3056,4983,
2,7,3,19,3142,4796,
3,44,2,55,2995,4919,
5,0,1,29,3101,4995,
2,2,19,3,2893,5070,
0,4,5,19,3138,5048,
1,4,2,7,3097,4969,
0,27,10,3,3066,5007,
1,6,0,1,3098,4949,
0,15,1,2,3107,4876,
2,3,8,30,3145,5025,
1,3,19,0,3056,4897,
4,2,7,22,3014,5045,
1,13,9,31,3030,4904,
0,2,4,31,3091,4938,
0,1,9,8,3081,4972,
0,1,0,31,3043,4913,
0,7,5,9,2982,4989,
0,5,3,11,3048,4931,
0,1,0,0,2968,4907,
6,6,4,27,3031,4925,
0,1,2,19,3134,5020,
0,2,0,1,3109,4913,
5,1,14,8,3054,4874,
2,19,0,7,3064,5021,
3,3,9,14,3010,5007,
2,11,1,10,3002,4957,
1,4,17,23,3058,4974,
3,6,7,19,3107,4940,
0,3,1,5,3037,4938,
2,13,14,18,3056,4958,
9,1,3,10,3082,5003,
0,4,13,3,2982,4895,
3,10,19,4,3004,4959,

6,2,9,72,3657,5922,
2,2,3,52,3671,5922,
0,0,10,38,3628,5954,
0,22,8,21,3665,5972,
1,21,0,34,3795,5842,
4,9,2,18,3667,5887,
0,23,13,8,3653,5896,
3,17,6,62,3587,5815,
5,7,9,20,3634,5970,
2,5,1,17,3739,5892,
5,6,3,14,3731,5781,
0,6,13,6,3720,5963,
0,16,11,0,3750,5879,
0,9,4,37,3617,5781,
7,12,0,44,3661,5918,
1,4,2,28,3691,5827,
0,24,5,10,3569,5921,
0,49,26,4,3682,5945,
1,2,9,34,3572,5909,
1,1,22,2,3633,5861,
