
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
10,0,0,0,10,1,1,1,1,

specie1,specie2,specie3,specie4,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,

5,4,6,7,
5,9,10,2,
5,4,6,7,
5,5,7,3,
5,3,8,8,
6,5,6,3,
6,4,4,8,
6,7,6,4,
6,5,4,5,
5,7,8,3,

5,6,9,5,
6,9,9,2,
5,7,11,7,
5,3,7,9,
5,5,10,7,
5,5,10,7,
6,6,6,7,
6,11,10,2,
6,5,4,5,
6,6,10,3,

5,7,11,7,
5,9,14,5,
5,7,11,7,
6,3,6,9,
5,4,11,9,
5,4,10,10,
5,8,9,6,
5,13,13,1,
5,7,7,4,
6,6,10,3,

5,5,12,12,
5,11,16,4,
6,7,11,6,
6,5,8,8,
6,3,10,12,
6,4,9,10,
6,9,11,7,
5,12,14,3,
5,6,7,7,
5,7,14,4,

6,4,11,15,
6,11,15,4,
5,9,15,4,
6,7,10,7,
6,5,12,11,
6,6,11,9,
6,9,11,7,
5,15,20,2,
6,3,7,15,
5,7,15,3,

5,8,16,13,
5,13,18,3,
5,11,17,3,
6,7,10,7,
6,7,14,10,
6,8,13,8,
6,9,11,7,
5,15,21,1,
5,3,11,19,
6,7,14,3,

5,8,20,16,
6,13,18,2,
5,10,17,6,
5,7,13,12,
6,7,14,10,
6,8,13,8,
6,9,11,7,
5,16,24,2,
5,3,13,17,
5,9,17,2,

6,8,19,16,
5,15,21,1,
5,9,19,7,
6,5,12,18,
6,7,14,10,
6,8,13,8,
6,9,13,12,
6,18,25,1,
5,5,15,16,
5,8,17,5,

5,9,23,17,
5,14,23,2,
5,9,20,6,
5,7,15,17,
5,9,19,7,
5,10,17,6,
6,9,13,12,
6,18,25,1,
5,5,16,15,
5,7,19,6,

# Showing cells 0-10 until 9.43915 min
