
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
10,0,0,0,10,1,1,

specie1,specie2,
20,20,
20,20,
20,20,
20,20,
20,20,
20,20,
20,20,
20,20,
20,20,
20,20,

18,22,
18,22,
23,17,
23,17,
21,19,
18,22,
19,21,
21,19,
18,22,
20,20,

15,25,
20,20,
25,15,
23,17,
19,21,
21,19,
22,18,
26,14,
16,24,
19,21,

17,23,
20,20,
27,13,
23,17,
24,16,
19,21,
27,13,
28,12,
12,28,
19,21,

12,28,
22,18,
25,15,
23,17,
24,16,
16,24,
25,15,
30,10,
12,28,
22,18,

8,32,
14,26,
20,20,
25,15,
26,14,
14,26,
23,17,
25,15,
17,23,
19,21,

5,35,
20,20,
14,26,
29,11,
25,15,
18,22,
20,20,
23,17,
21,19,
14,26,

5,35,
19,21,
14,26,
29,11,
23,17,
19,21,
24,16,
23,17,
25,15,
15,25,

10,30,
16,24,
15,25,
27,13,
23,17,
16,24,
23,17,
26,14,
29,11,
17,23,

11,29,
16,24,
16,24,
24,16,
26,14,
21,19,
27,13,
26,14,
28,12,
19,21,

# Showing cells 0-10 until 9.07834 min
