
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
10,0,0,0,10,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

3,2,63,32,
4,4,65,64,
2,0,60,48,
1,0,41,46,
6,4,59,35,
5,6,25,49,
0,2,45,60,
0,2,81,77,
4,6,61,61,
22,0,40,26,

6,2,54,27,
0,0,69,39,
0,0,65,57,
3,4,37,35,
1,0,72,43,
2,0,29,43,
2,2,64,71,
2,2,102,83,
8,2,83,93,
5,4,44,39,

3,2,36,7,
0,2,68,33,
8,6,54,40,
5,6,48,33,
0,0,91,48,
3,0,14,32,
0,0,62,79,
7,4,121,105,
1,2,98,111,
22,0,35,33,

0,2,26,0,
8,0,42,25,
0,0,53,71,
1,0,35,29,
0,4,107,54,
3,4,7,39,
2,0,57,94,
15,0,120,134,
0,0,102,117,
0,6,17,22,

0,0,31,10,
4,0,36,26,
0,0,66,84,
0,0,46,37,
6,0,77,33,
0,0,8,39,
0,0,33,89,
3,2,135,146,
0,2,86,102,
0,4,20,30,

2,2,36,13,
1,0,30,16,
0,4,39,94,
8,10,43,26,
3,4,51,3,
0,8,2,42,
15,2,22,38,
3,4,76,128,
2,0,68,93,
1,0,38,27,

14,6,62,19,
0,2,18,3,
1,2,70,120,
0,2,42,20,
9,2,36,8,
2,2,1,46,
2,0,19,28,
2,0,64,136,
10,2,80,62,
2,0,36,21,

3,0,47,2,
11,4,12,9,
3,0,82,155,
3,0,43,21,
0,0,47,23,
8,0,3,41,
0,2,5,20,
4,0,58,132,
0,0,74,48,
1,6,31,14,

0,0,40,7,
11,0,18,3,
5,0,92,169,
2,0,34,26,
1,4,30,17,
7,6,0,24,
0,0,10,12,
2,4,56,136,
4,2,66,61,
7,0,41,1,

# Showing cells 0-10 until 9.0011 min
