
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
10,0,0,0,10,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

60,44,38,60,
25,65,60,40,
63,41,34,63,
33,61,57,42,
70,36,18,76,
31,63,62,38,
33,61,56,43,
69,35,21,77,
38,56,55,45,
52,50,49,50,

48,56,46,50,
27,55,51,48,
25,67,57,40,
18,64,54,45,
74,38,19,72,
53,45,43,54,
48,48,47,51,
80,30,7,90,
63,39,34,61,
29,69,62,36,

53,55,47,47,
4,76,71,28,
24,66,54,43,
18,62,57,38,
82,30,14,77,
68,30,25,70,
51,51,42,52,
59,55,43,52,
33,63,57,38,
51,51,47,49,

64,36,32,62,
47,47,42,49,
21,65,61,36,
39,43,38,53,
57,57,45,45,
60,44,34,58,
53,43,39,55,
35,75,62,33,
13,77,68,27,
47,51,46,48,

47,47,41,53,
30,58,52,39,
10,74,69,28,
38,44,37,52,
62,48,35,55,
44,54,46,46,
35,61,50,41,
43,59,46,49,
8,70,59,36,
55,41,34,58,

43,53,52,41,
30,50,45,45,
30,52,48,49,
44,48,39,45,
83,27,9,81,
41,49,40,52,
20,72,59,32,
42,62,49,42,
18,63,48,47,
37,55,46,46,

49,45,43,49,
59,29,22,62,
29,53,52,42,
37,51,44,38,
40,62,44,46,
17,69,56,34,
29,57,43,48,
42,58,51,40,
13,62,50,45,
34,52,40,52,

9,75,61,31,
40,46,40,44,
8,60,52,42,
43,41,34,48,
17,79,60,30,
12,74,57,33,
38,52,45,42,
49,45,39,52,
5,76,61,34,
57,39,31,56,

15,64,51,41,
25,53,45,37,
6,59,49,45,
13,75,63,17,
31,61,44,46,
7,97,76,14,
33,45,42,45,
48,50,41,48,
40,41,37,55,
56,38,27,59,

# Showing cells 0-10 until 9.00331 min
