
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
10,0,0,0,10,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

189,119,69,34,
132,92,54,34,
148,90,69,40,
155,111,78,56,
144,122,46,35,
128,156,41,55,
192,168,39,27,
176,148,58,44,
129,123,59,56,
127,105,71,60,

322,242,70,30,
203,199,39,37,
287,203,89,47,
235,205,78,63,
196,206,54,59,
275,249,42,29,
324,336,33,39,
258,230,58,44,
210,214,68,70,
233,195,83,64,

378,332,52,29,
275,255,44,34,
343,241,79,28,
316,276,75,55,
293,251,93,72,
328,274,40,13,
399,371,37,23,
361,327,49,32,
303,305,66,67,
321,281,88,68,

468,418,60,35,
318,296,48,37,
393,291,67,16,
378,336,66,45,
323,267,94,66,
385,295,36,1,
503,427,25,0,
412,358,55,28,
334,342,69,73,
366,328,86,67,

537,493,62,40,
376,348,47,33,
432,356,49,11,
414,390,60,48,
363,313,97,72,
459,391,13,2,
535,447,39,19,
485,435,50,25,
403,399,71,69,
413,389,92,80,

586,534,56,30,
407,365,37,16,
521,429,65,19,
479,463,65,57,
408,330,97,58,
547,455,19,5,
596,508,30,10,
563,491,57,21,
374,416,55,76,
444,422,94,83,

652,584,60,26,
450,422,36,22,
578,500,62,23,
493,475,61,52,
429,373,89,61,
610,524,12,3,
623,571,12,10,
625,559,52,19,
409,477,46,80,
501,429,104,68,

715,673,60,39,
488,456,40,24,
648,574,63,26,
534,528,54,51,
467,429,73,54,
639,543,20,10,
673,639,6,13,
691,611,47,7,
453,505,63,89,
563,461,116,65,

749,679,76,41,
526,472,53,26,
699,653,41,18,
564,550,60,53,
492,454,53,34,
720,592,22,0,
720,664,17,13,
725,647,49,15,
491,531,73,93,
616,550,100,67,

# Showing cells 0-10 until 9.0039 min
