
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,1,1,

specie1,specie2,specie3,specie4,specie5,specie6,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,

1,0,4,5,617,961,
5,14,7,17,613,957,
3,5,8,29,616,969,
3,0,12,28,633,954,
3,1,16,20,615,992,
5,0,0,12,620,973,
1,6,1,9,608,936,
8,10,12,14,633,1010,
4,15,2,7,604,1007,
4,6,3,4,631,1018,
4,0,17,5,596,1076,
5,0,5,4,620,1033,
1,4,2,24,598,940,
2,4,4,7,594,1012,
2,12,15,15,619,993,
4,5,4,0,572,934,
4,6,14,10,613,1027,
8,11,18,1,615,962,
1,8,2,0,656,1034,
4,4,1,48,650,960,
5,2,6,2,612,992,
4,8,1,0,611,966,
2,0,1,15,633,987,
3,9,1,5,603,997,
3,1,4,10,632,995,
2,7,6,9,655,1021,
2,11,1,1,582,970,
3,13,1,11,580,957,
4,10,2,7,575,1057,
3,1,1,8,635,943,
5,3,5,4,636,1024,
2,12,10,10,602,1018,
4,5,6,2,593,1017,
5,2,6,14,660,1038,
3,12,3,15,605,991,
4,12,13,9,582,1039,
2,11,0,4,611,985,
5,3,5,0,607,1024,
0,0,1,7,656,1008,
4,6,7,20,633,977,
4,2,0,1,623,988,
3,5,9,14,636,986,
5,5,15,13,631,938,
6,14,5,1,594,971,
1,6,2,16,619,1005,
5,3,10,8,649,999,
5,10,1,18,631,990,
6,2,9,21,647,1051,
2,2,8,21,638,987,
5,2,3,14,615,1001,
5,8,6,14,632,989,
3,4,1,6,638,972,
4,2,6,8,640,1022,
3,16,15,3,618,1036,
5,5,0,5,594,1014,
3,0,5,15,635,937,
4,4,0,2,582,991,
2,1,18,15,603,940,
4,5,5,11,577,1016,
7,6,10,13,620,1018,
0,3,5,45,558,994,
4,16,1,4,588,998,
5,16,7,2,583,1002,
3,1,3,37,616,966,
5,0,12,13,615,990,
4,1,4,7,620,1053,
3,10,6,6,633,1035,
3,1,6,10,619,1012,
7,0,0,3,635,985,
6,6,0,4,651,1039,
5,6,12,0,617,949,
3,0,0,2,655,1044,
6,2,17,2,649,985,
6,1,4,21,666,1057,
5,5,20,10,659,993,
4,9,3,15,624,975,
1,2,5,9,610,969,
3,8,10,9,603,995,
4,5,9,26,602,978,
5,2,5,4,564,1032,
6,1,5,13,593,1023,
5,1,1,8,587,968,
3,0,4,19,604,1004,
3,1,5,5,641,1027,
2,18,8,4,607,949,
3,5,0,18,646,1018,
2,7,3,11,610,1043,
3,3,3,14,619,1001,
1,5,0,7,602,1002,
2,12,15,11,638,994,
4,3,11,5,572,932,
3,4,0,15,573,950,
3,11,3,25,654,927,
4,0,5,2,673,961,
3,10,21,21,630,1014,
0,4,11,20,589,944,
1,7,2,19,609,972,
5,7,2,30,558,971,
2,0,2,0,616,995,
5,8,3,5,586,1020,

0,8,3,10,1246,1963,
2,8,0,2,1211,1931,
3,8,2,28,1263,1925,
3,16,0,2,1196,1987,
4,4,23,15,1253,1997,
5,1,0,16,1243,1973,
0,3,8,23,1225,1958,
9,10,40,15,1229,2025,
6,17,1,15,1212,2019,
2,5,1,13,1223,2022,
4,4,4,16,1208,2055,
6,2,5,1,1274,2066,
0,11,7,2,1219,1947,
2,1,6,25,1241,2030,
3,11,8,19,1264,1904,
4,0,4,0,1191,1908,
2,6,12,0,1234,2078,
4,5,11,9,1225,2035,
0,10,8,12,1259,2039,
1,17,3,19,1351,1936,
2,5,22,4,1217,1959,
1,13,3,8,1238,1949,
1,9,4,21,1253,1989,
7,10,13,3,1202,2045,
0,1,1,5,1243,2005,
4,15,5,11,1248,2000,
2,0,4,2,1186,1976,
2,9,4,12,1225,1975,
5,4,0,1,1186,1980,
3,11,13,9,1259,1923,
6,3,6,3,1248,1999,
0,19,0,26,1235,2021,
4,8,0,10,1198,1994,
2,8,9,8,1284,2048,
3,22,5,25,1256,1988,
5,24,15,3,1161,1995,
0,15,4,22,1243,1967,
3,1,3,11,1224,2060,
0,1,0,0,1294,1992,
1,12,10,7,1221,1961,
4,3,12,4,1228,1964,
4,22,6,0,1244,2024,
7,4,1,15,1208,1884,
3,3,3,0,1216,1939,
2,4,18,1,1206,2018,
4,3,2,0,1282,1953,
5,5,3,9,1217,1977,
6,5,11,39,1273,2091,
0,9,6,33,1248,2007,
3,5,12,4,1241,1980,
7,5,12,20,1206,1939,
2,10,18,14,1259,1947,
0,1,0,3,1260,2023,
1,9,21,3,1261,2065,
2,8,7,25,1173,2014,
1,0,0,16,1219,1907,
3,3,12,43,1166,2012,
2,5,0,2,1216,1891,
0,3,1,2,1193,2016,
4,0,6,3,1244,2060,
0,6,22,35,1176,1993,
5,24,0,12,1183,1954,
4,22,2,1,1182,1974,
2,4,4,43,1184,1923,
5,11,3,9,1228,2016,
5,6,6,9,1244,2054,
4,5,1,1,1206,2000,
0,3,4,20,1270,1976,
8,3,1,8,1200,1957,
6,6,0,0,1340,2079,
1,1,4,9,1230,1942,
2,6,3,7,1254,2038,
6,17,0,1,1280,1980,
7,13,11,36,1310,2010,
5,9,6,30,1282,2026,
4,4,1,40,1211,1971,
0,0,2,8,1216,1981,
0,9,0,5,1209,2016,
0,2,3,5,1258,2012,
3,1,9,11,1149,2060,
4,0,16,2,1202,2034,
6,5,3,2,1174,2038,
1,7,0,43,1240,2012,
2,14,15,2,1236,2010,
1,12,1,43,1210,1943,
4,0,4,0,1266,1950,
2,3,0,41,1218,1990,
1,6,7,23,1245,2011,
0,12,18,12,1193,1982,
0,19,4,4,1260,1954,
4,2,1,10,1187,1896,
3,1,5,27,1166,1947,
1,4,2,24,1235,1915,
2,2,12,13,1304,1990,
2,4,7,12,1298,2078,
1,0,26,18,1218,1928,
0,13,1,0,1213,1933,
5,14,3,16,1202,1976,
0,2,2,16,1220,2000,
4,16,2,23,1182,2052,

1,0,14,6,1878,2963,
0,1,3,8,1798,3043,
2,10,8,20,1925,2924,
0,4,0,26,1830,2987,
5,6,24,9,1894,2931,
5,10,4,0,1896,2960,
1,6,5,37,1865,2984,
10,6,27,16,1850,3024,
4,4,0,1,1780,3009,
0,9,1,15,1810,2987,
3,0,10,34,1789,3021,
9,10,9,5,1846,3082,
0,24,2,13,1848,2941,
0,0,1,12,1823,2996,
2,12,17,12,1890,2871,
2,1,3,17,1763,2893,
0,3,15,3,1837,3125,
2,7,0,42,1837,3014,
0,0,1,10,1927,3058,
0,1,1,10,1944,2916,
0,21,8,10,1823,2992,
1,6,3,2,1846,2976,
2,0,14,37,1819,2923,
9,0,2,11,1820,3053,
0,8,3,3,1853,3032,
1,26,8,2,1842,2990,
2,2,6,5,1790,2963,
4,20,7,3,1839,2964,
4,1,9,0,1788,2992,
3,10,9,38,1925,2951,
5,5,9,19,1839,3003,
1,16,7,18,1868,3036,
1,21,9,9,1830,2953,
1,1,2,6,1900,3007,
1,0,1,65,1865,2968,
5,31,6,18,1785,3001,
1,4,3,27,1866,2899,
2,6,16,32,1790,3048,
0,0,11,31,1971,2991,
1,14,2,2,1833,2935,
1,4,18,15,1818,2941,
1,14,6,11,1867,2995,
7,6,2,6,1851,2856,
1,7,2,24,1857,2939,
3,10,16,3,1824,3002,
4,10,23,8,1886,2940,
2,1,2,1,1841,2953,
6,6,8,44,1906,3038,
0,3,1,31,1882,3028,
3,4,15,19,1884,2992,
7,1,5,10,1800,2940,
0,9,42,11,1868,2968,
0,3,0,3,1841,3040,
1,25,2,41,1878,3071,
3,3,5,25,1772,3011,
0,12,13,20,1822,2921,
0,7,13,60,1775,2966,
2,0,2,3,1844,2853,
0,2,8,3,1849,2976,
6,4,14,12,1833,3076,
0,8,27,30,1788,2986,
8,22,3,10,1799,2920,
4,17,5,5,1835,2910,
0,15,11,53,1765,2975,
3,19,2,18,1886,3019,
2,15,8,1,1879,3082,
2,21,3,6,1820,2997,
0,3,12,18,1875,3006,
8,2,0,28,1816,2989,
5,8,10,8,1958,3126,
2,8,4,1,1840,2900,
2,8,6,39,1850,3006,
4,32,3,4,1868,2981,
4,18,12,37,1933,3031,
0,6,2,18,1897,3025,
6,7,6,37,1803,2946,
0,14,1,18,1791,3018,
0,1,5,0,1800,3008,
0,14,13,18,1886,2998,
4,3,8,33,1778,3053,
4,15,3,7,1814,3107,
8,8,4,3,1769,3032,
2,2,0,29,1865,2998,
2,16,0,8,1849,3005,
0,2,0,49,1830,2929,
3,3,9,17,1865,2981,
3,3,6,42,1857,2980,
0,2,1,16,1865,2960,
0,0,14,10,1818,2968,
0,19,0,13,1869,2924,
2,8,1,9,1749,2908,
0,10,0,18,1767,3009,
0,0,7,7,1849,2854,
0,1,43,32,1952,2954,
0,14,0,2,1894,3029,
0,4,13,10,1792,2866,
0,13,2,2,1860,2887,
4,11,0,17,1816,3003,
1,2,2,14,1855,2989,
2,27,8,34,1808,3011,

0,11,12,12,2488,3930,
2,0,11,5,2402,4045,
0,9,5,7,2578,3887,
2,8,11,14,2442,3928,
3,0,4,9,2544,3943,
3,7,8,10,2494,4047,
3,2,12,51,2452,3956,
9,0,39,14,2442,4040,
4,16,3,20,2406,3978,
2,14,7,4,2458,3952,
2,5,2,36,2338,3937,
8,10,0,9,2433,4046,
0,6,3,1,2465,3963,
1,2,0,5,2479,4021,
0,7,8,36,2509,3865,
0,1,0,3,2409,3877,
0,4,24,17,2441,4127,
4,6,5,35,2464,4042,
0,0,2,6,2566,4072,
1,4,4,20,2559,3918,
0,28,7,15,2445,3998,
0,4,9,31,2444,3911,
3,0,3,38,2466,3919,
7,3,3,17,2476,3999,
0,0,5,4,2462,4048,
0,19,7,18,2433,3933,
2,2,0,4,2419,3922,
6,20,9,1,2437,3920,
2,0,16,13,2368,4016,
4,7,1,48,2491,3886,
6,18,7,14,2466,4008,
1,10,3,19,2495,4040,
0,3,5,1,2447,3958,
1,7,14,21,2490,4012,
2,12,5,71,2471,3980,
1,14,0,55,2388,4009,
0,1,4,29,2491,3819,
3,0,24,0,2375,4043,
1,6,0,49,2624,3948,
2,20,0,3,2436,3945,
0,0,14,17,2405,3920,
0,7,6,28,2521,4008,
5,13,5,9,2478,3844,
0,1,3,10,2455,3974,
5,2,17,9,2447,4026,
2,4,3,7,2496,3986,
5,5,7,10,2438,3931,
2,1,2,50,2562,4058,
0,16,12,27,2499,4026,
1,6,3,2,2507,4035,
6,9,28,54,2426,3896,
2,7,55,13,2455,3973,
1,8,11,14,2436,3993,
1,0,5,32,2497,4082,
3,3,5,39,2397,3986,
1,9,8,3,2420,3895,
0,7,1,63,2394,3972,
1,6,5,12,2414,3834,
1,2,6,8,2407,3964,
6,21,17,6,2412,4058,
1,6,28,28,2392,3985,
4,12,2,21,2413,3894,
2,3,4,4,2461,3914,
0,24,12,40,2416,3957,
1,19,6,4,2457,3982,
2,3,8,10,2488,4132,
0,18,9,23,2456,3942,
0,2,1,15,2505,3956,
8,6,0,61,2442,3925,
7,9,6,20,2581,4106,
0,0,0,35,2470,3889,
1,1,6,40,2490,3996,
1,5,4,22,2484,3924,
1,17,11,39,2561,4000,
0,0,4,5,2498,4035,
7,2,12,53,2410,3939,
0,9,4,13,2474,3993,
1,1,16,1,2422,4018,
0,18,0,13,2466,4011,
3,1,4,7,2367,4052,
3,21,2,12,2418,4091,
10,8,1,0,2373,4022,
3,1,0,24,2503,3999,
0,21,7,14,2488,3951,
2,0,2,72,2430,3922,
0,11,8,3,2503,3941,
2,17,18,65,2481,4013,
1,16,3,22,2484,3916,
0,3,20,15,2405,4005,
0,6,2,31,2457,3904,
1,10,6,5,2390,3979,
2,31,7,22,2381,4013,
0,1,17,4,2480,3786,
1,2,27,13,2524,3867,
0,24,1,0,2532,4048,
2,6,2,1,2364,3850,
0,7,4,36,2484,3915,
4,19,1,1,2392,4003,
0,25,20,36,2480,4029,
0,11,0,63,2430,3990,

0,0,16,10,3102,4985,
0,4,6,11,3016,5065,
0,22,26,13,3206,4877,
1,2,12,10,3064,4868,
2,6,2,16,3186,4901,
3,17,15,25,3136,5048,
0,2,19,32,3063,4987,
10,4,20,8,3081,5028,
3,24,3,12,3014,4933,
1,22,2,17,3045,4914,
2,3,1,25,2930,4954,
9,9,3,23,3059,5091,
0,0,2,19,3071,4937,
1,1,1,23,3051,4956,
0,1,0,22,3088,4865,
0,3,7,15,2987,4797,
1,2,2,40,3069,5122,
0,6,9,34,3067,5042,
0,2,12,21,3161,5013,
0,9,11,15,3216,4904,
0,41,14,3,3070,4920,
0,9,5,7,3050,4983,
1,14,6,5,3062,4943,
9,4,8,18,3089,4925,
1,12,12,8,3074,5050,
3,27,2,12,3030,4942,
0,5,0,4,3022,4929,
5,23,1,2,3107,4890,
2,0,3,14,2985,5028,
5,7,3,26,3097,4833,
7,18,10,26,3057,5027,
0,3,0,19,3084,5056,
3,0,2,4,3008,4904,
0,12,4,0,3114,4991,
1,11,22,88,3045,5019,
1,8,12,31,2995,4975,
1,5,2,24,3089,4811,
4,9,4,19,3009,5043,
0,1,28,13,3239,4990,
1,16,0,2,3082,4948,
0,2,3,23,2995,4902,
0,1,10,27,3119,4954,
5,8,1,2,3083,4792,
1,2,3,11,3051,4936,
2,10,31,20,3031,5015,
2,4,0,2,3103,5012,
7,0,2,1,3072,4905,
3,0,4,40,3165,5077,
2,14,1,43,3093,5054,
0,20,0,9,3159,5025,
6,16,36,67,3057,4901,
3,11,37,5,3114,4963,
0,3,5,3,3026,4978,
1,10,1,20,3074,5101,
2,1,12,34,3032,4985,
1,21,1,28,3060,4847,
0,20,0,72,2968,4989,
0,4,1,35,3028,4883,
1,12,2,44,3015,4984,
2,24,14,14,3020,5039,
1,5,15,25,2977,4973,
7,1,3,26,3016,4899,
1,10,28,2,3057,4871,
0,16,4,18,3026,4925,
1,14,2,18,3073,4950,
0,12,7,18,3124,5101,
2,0,6,9,3039,4975,
0,2,5,6,3113,4965,
3,5,10,51,2998,4903,
6,6,8,21,3214,5092,
0,3,6,31,3065,4941,
2,4,2,42,3046,4978,
1,6,2,21,3101,4938,
1,10,6,31,3137,4968,
1,0,7,9,3108,4978,
7,10,9,58,3026,4858,
0,11,3,18,3077,5021,
0,16,11,2,3038,5012,
2,27,1,32,3057,4995,
3,0,4,2,2957,5030,
1,35,12,23,3033,5093,
8,14,3,1,2991,5049,
3,10,7,21,3118,5021,
0,25,2,23,3113,4928,
2,21,3,49,3058,4870,
1,14,3,2,3116,4943,
0,5,23,58,3119,5003,
0,26,1,24,3093,4969,
1,12,1,38,3032,5014,
0,17,2,58,3084,4944,
3,34,11,6,3017,4939,
1,33,7,24,3008,5042,
1,9,0,23,3103,4759,
0,15,10,4,3141,4901,
1,10,4,33,3114,5052,
3,9,0,6,2998,4816,
0,10,1,12,3115,4942,
3,10,0,11,2963,4999,
0,21,1,45,3121,5037,
0,9,0,84,3045,4982,

1,2,4,1,3664,5923,
0,0,6,1,3635,6018,
0,14,41,44,3823,5868,
3,9,51,20,3670,5869,
5,1,1,25,3787,5880,
1,12,1,8,3733,6024,
0,4,11,25,3623,6010,
10,12,34,8,3647,6086,
0,19,1,2,3638,5945,
2,15,0,39,3631,5908,
2,10,2,39,3526,5940,
7,20,9,16,3675,6041,
0,0,9,26,3630,5964,
3,5,4,14,3657,5953,
0,3,9,40,3705,5830,
1,9,4,18,3608,5759,
0,0,14,43,3643,6147,
0,6,2,49,3704,6031,
1,4,3,18,3801,6029,
2,4,0,9,3831,5910,
