
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
10,0,0,0,10,1,1,1,1,

specie1,specie2,specie3,specie4,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,

5,5,6,4,
5,7,7,4,
5,5,5,5,
6,7,6,4,
6,5,4,5,
6,5,4,5,
5,5,7,10,
5,5,7,3,
5,4,6,7,
6,5,4,5,

6,4,5,7,
5,4,9,11,
5,4,5,8,
6,7,6,4,
6,7,6,4,
5,7,7,4,
6,5,6,10,
6,4,7,5,
5,3,8,8,
5,9,10,2,

6,4,5,7,
5,4,11,9,
5,1,5,17,
5,9,11,8,
5,8,9,6,
6,7,7,3,
5,5,9,15,
6,6,9,4,
5,3,9,7,
5,9,11,1,

6,4,5,7,
5,4,12,8,
5,0,5,20,
6,8,13,8,
5,10,11,5,
5,9,10,2,
5,6,13,15,
6,6,9,4,
5,7,14,4,
6,9,12,0,

5,5,8,9,
6,4,11,8,
5,0,6,25,
6,8,13,8,
6,10,10,5,
6,9,9,2,
5,8,15,14,
5,8,12,3,
5,9,19,7,
5,10,15,3,

5,5,10,7,
6,4,11,8,
6,0,5,25,
5,8,16,13,
6,10,10,5,
5,11,12,1,
6,8,14,14,
5,10,14,2,
6,8,19,9,
5,10,16,2,

6,3,11,18,
5,6,15,6,
6,2,7,24,
5,10,18,12,
5,12,14,3,
5,14,16,2,
6,10,16,13,
5,9,15,4,
5,9,23,10,
6,14,19,0,

5,5,14,17,
5,6,18,10,
6,4,9,23,
6,8,17,18,
5,16,18,1,
5,12,18,6,
6,14,20,11,
5,8,16,6,
5,7,23,16,
5,16,22,0,

6,4,13,20,
6,6,17,10,
6,4,9,23,
5,9,20,20,
5,16,20,0,
5,11,18,9,
6,16,22,10,
6,8,15,6,
6,6,23,18,
6,15,24,3,

# Showing cells 0-10 until 9.328 min
