
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
10,0,0,0,10,1,1,

specie1,specie2,
20,20,
20,20,
20,20,
20,20,
20,20,
20,20,
20,20,
20,20,
20,20,
20,20,

20,20,
26,14,
22,18,
21,19,
19,21,
21,19,
19,21,
21,19,
15,25,
16,24,

26,14,
24,16,
29,11,
21,19,
24,16,
16,24,
24,16,
15,25,
19,21,
16,24,

28,12,
26,14,
34,6,
16,24,
24,16,
19,21,
22,18,
12,28,
19,21,
16,24,

21,19,
30,10,
29,11,
16,24,
26,14,
21,19,
23,17,
15,25,
22,18,
19,21,

19,21,
23,17,
28,12,
16,24,
24,16,
23,17,
22,18,
15,25,
25,15,
22,18,

21,19,
21,19,
30,10,
10,30,
23,17,
18,22,
22,18,
14,26,
30,10,
23,17,

23,17,
22,18,
29,11,
11,29,
19,21,
16,24,
23,17,
7,33,
27,13,
22,18,

27,13,
17,23,
32,8,
11,29,
21,19,
13,27,
22,18,
3,37,
27,13,
22,18,

29,11,
20,20,
34,6,
9,31,
24,16,
13,27,
21,19,
6,34,
22,18,
21,19,

# Showing cells 0-10 until 9.05026 min
