
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
10,0,0,0,10,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

9,4,30,32,
10,8,28,21,
6,4,33,47,
16,2,51,35,
3,0,65,71,
0,2,44,53,
12,0,50,83,
8,4,24,44,
0,2,66,50,
1,2,58,88,

9,0,58,51,
3,0,20,12,
0,0,41,55,
0,0,54,37,
2,0,31,52,
0,0,51,33,
0,0,29,79,
0,0,17,37,
2,2,64,56,
2,4,35,71,

0,0,65,62,
7,0,14,1,
0,4,50,54,
0,0,57,67,
5,8,50,66,
0,2,40,25,
9,0,29,88,
5,4,22,42,
0,2,61,56,
1,0,22,50,

0,0,64,72,
2,0,18,3,
0,2,24,42,
0,0,46,51,
0,2,68,59,
0,0,30,29,
2,2,36,102,
3,4,15,53,
2,0,62,38,
3,2,33,56,

0,0,56,101,
0,0,33,5,
12,6,37,62,
1,2,47,57,
14,4,69,82,
0,0,25,20,
2,0,58,141,
12,0,18,54,
4,0,89,37,
0,4,54,81,

0,0,43,91,
2,0,28,5,
4,0,23,39,
2,4,71,76,
1,0,91,107,
4,0,21,13,
0,4,60,174,
0,0,38,81,
2,0,97,59,
3,2,61,102,

0,8,29,99,
8,2,38,6,
0,0,25,25,
2,0,56,62,
0,0,98,117,
2,4,12,8,
0,0,67,189,
0,0,34,92,
2,4,91,69,
3,10,52,74,

2,0,29,99,
0,2,45,8,
0,2,31,38,
0,0,74,62,
0,0,106,105,
5,2,3,1,
36,4,64,188,
1,0,27,99,
0,0,92,37,
2,2,53,90,

0,0,32,97,
6,2,27,0,
0,6,23,52,
2,2,85,84,
3,4,91,108,
0,2,7,13,
2,4,46,178,
1,0,6,66,
0,2,63,43,
9,0,38,52,

# Showing cells 0-10 until 9.00145 min
