
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
50,0,0,0,50,1,1,1,1,

specie1,specie2,specie3,specie4,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,

8,5,7,58,
5,8,5,79,
7,5,6,58,
8,6,3,73,
6,6,4,42,
5,4,7,48,
4,7,5,90,
3,5,5,41,
6,5,7,57,
6,4,7,53,
5,4,5,35,
7,5,5,73,
8,7,6,49,
11,4,8,58,
7,10,8,41,
5,6,9,54,
3,6,5,37,
9,5,6,86,
4,5,8,38,
6,8,7,57,
6,7,7,66,
7,9,6,54,
7,7,4,61,
5,8,7,51,
8,5,7,51,
8,7,7,52,
10,8,7,90,
4,8,6,65,
4,7,7,87,
6,8,5,90,
5,5,4,52,
5,4,4,47,
3,6,5,77,
7,5,6,55,
6,7,8,79,
5,7,5,67,
7,6,5,55,
6,8,5,74,
5,5,7,57,
8,7,6,86,
6,5,7,82,
6,6,10,58,
7,5,6,78,
7,6,6,79,
8,6,9,84,
6,7,5,50,
8,5,5,83,
8,6,7,62,
6,6,6,36,
5,5,6,82,

12,2,10,84,
6,10,6,133,
8,8,5,57,
10,5,3,113,
6,10,5,20,
6,6,8,76,
4,7,9,160,
2,8,4,35,
5,5,7,77,
7,5,10,76,
6,7,9,22,
10,6,6,83,
8,8,8,32,
14,10,8,104,
8,11,12,52,
6,8,11,93,
2,8,7,0,
11,6,8,140,
5,8,12,12,
6,10,9,116,
8,8,9,103,
7,11,7,75,
8,8,4,103,
6,7,10,69,
10,6,11,83,
7,3,9,47,
9,9,10,167,
4,8,7,118,
7,8,10,125,
6,10,6,155,
6,7,8,59,
6,6,0,35,
5,9,7,147,
10,1,6,67,
6,8,10,153,
4,10,7,85,
9,8,5,75,
7,10,8,98,
5,6,5,89,
8,12,9,179,
5,4,8,142,
8,4,10,77,
9,5,4,159,
10,9,5,100,
10,8,9,117,
7,12,8,91,
8,5,9,152,
9,5,9,82,
5,8,9,13,
10,6,5,124,

13,5,15,171,
5,10,6,337,
7,9,5,95,
11,4,4,206,
6,13,4,0,
7,6,9,111,
5,7,13,390,
3,8,4,0,
5,7,8,154,
10,3,11,107,
6,8,13,0,
11,7,8,102,
10,7,8,16,
13,9,10,180,
10,17,13,53,
6,12,12,183,
6,10,8,0,
9,6,6,300,
6,8,12,0,
6,13,9,244,
9,9,10,228,
9,13,7,84,
10,8,5,203,
8,8,10,106,
12,6,14,137,
9,5,11,57,
7,9,11,387,
7,9,8,248,
9,7,11,255,
7,11,4,365,
9,8,8,109,
7,7,2,15,
4,12,7,343,
9,3,7,101,
8,10,12,395,
6,14,8,158,
14,9,4,116,
9,11,6,181,
2,5,5,159,
8,10,12,412,
5,6,10,321,
7,2,10,157,
7,6,3,344,
10,11,7,176,
12,9,10,230,
8,14,10,176,
9,8,8,311,
10,8,11,163,
5,6,13,0,
13,7,7,273,

9,4,19,435,
4,9,5,828,
7,12,7,185,
10,4,7,559,
6,15,3,0,
10,7,9,245,
3,8,12,983,
2,8,4,0,
6,10,5,338,
11,6,11,221,
6,9,16,0,
15,8,9,208,
14,7,7,0,
14,11,9,428,
10,19,12,65,
5,15,12,435,
9,10,9,0,
10,10,9,775,
8,9,12,0,
12,15,9,588,
10,13,14,492,
12,16,7,188,
12,9,4,417,
9,10,12,212,
11,10,15,288,
7,6,11,69,
9,9,13,994,
6,9,6,566,
11,8,10,593,
9,16,4,898,
12,10,12,229,
12,7,6,0,
4,13,6,763,
11,6,7,196,
7,12,13,1025,
11,14,12,372,
12,10,6,238,
11,11,8,409,
5,7,7,331,
8,10,16,1096,
6,7,13,781,
12,5,12,333,
8,7,3,841,
11,12,8,417,
11,11,10,560,
10,13,10,376,
12,9,7,730,
12,7,11,386,
7,8,20,0,
12,8,10,665,

13,6,18,1150,
6,12,6,2200,
9,13,8,413,
11,6,13,1474,
8,13,8,0,
13,10,11,622,
5,8,11,2637,
3,7,4,0,
6,10,5,760,
11,7,13,587,
6,11,19,0,
13,9,9,469,
14,10,9,0,
15,11,10,1115,
9,21,14,125,
8,16,14,1096,
10,12,9,0,
10,11,9,1976,
7,10,11,0,
12,20,10,1490,
10,13,18,1281,
15,16,8,418,
12,10,4,1115,
11,12,13,540,
13,9,14,690,
6,8,14,86,
10,10,12,2629,
8,10,7,1369,
12,8,10,1503,
9,16,5,2299,
16,9,14,592,
14,8,4,0,
5,11,9,1961,
8,8,6,445,
5,12,18,2766,
16,16,15,925,
13,12,8,589,
15,13,12,1049,
5,7,10,796,
10,12,16,2967,
5,5,14,2084,
14,4,14,823,
10,8,3,2244,
13,13,11,956,
13,12,12,1476,
11,16,11,977,
11,15,11,1850,
12,7,10,991,
7,8,19,0,
14,8,11,1733,

12,6,20,2986,
11,15,7,5732,
9,15,9,1057,
13,9,16,4047,
9,15,9,0,
14,10,10,1577,
5,11,14,7172,
7,9,6,0,
7,10,6,1971,
12,9,14,1488,
9,16,19,0,
14,9,11,1168,
14,11,10,0,
13,12,12,3001,
8,22,13,289,
8,17,18,2978,
14,14,13,0,
15,16,9,5279,
9,12,13,0,
12,22,10,3901,
10,14,16,3352,
15,17,10,1101,
10,7,4,2874,
11,13,15,1529,
16,8,18,1760,
10,8,15,166,
10,11,16,6971,
10,10,13,3738,
11,7,11,3889,
11,17,5,6180,
18,10,15,1507,
18,10,5,0,
5,10,10,5269,
7,7,7,1144,
6,14,15,7433,
17,22,15,2399,
18,14,11,1436,
15,14,13,2858,
6,7,12,2107,
11,13,18,8222,
6,6,19,5688,
13,8,13,2121,
12,7,3,5925,
15,13,13,2554,
12,11,13,4070,
13,18,11,2683,
11,15,11,5046,
13,8,11,2661,
10,10,19,0,
17,7,12,4692,

14,7,21,8102,
12,19,11,15378,
10,17,8,2834,
11,10,17,10972,
11,15,9,0,
15,14,9,4246,
10,12,16,19430,
6,11,7,0,
8,8,4,5187,
13,11,15,3993,
10,18,21,0,
15,13,8,2987,
17,10,10,0,
14,17,10,7983,
9,24,17,707,
9,21,19,8047,
16,18,15,0,
16,17,11,14570,
8,14,14,0,
13,24,11,10497,
7,16,15,9234,
15,17,11,2942,
13,9,5,7568,
10,17,15,3915,
15,7,19,4684,
10,7,15,318,
11,12,14,18959,
11,10,18,9896,
12,8,12,10618,
13,21,6,16589,
17,8,14,4211,
23,12,0,0,
4,10,10,14753,
8,7,7,3050,
5,19,16,20126,
16,23,15,6419,
19,14,10,3858,
17,15,16,7654,
9,7,11,5505,
12,11,23,22276,
7,7,20,15242,
11,11,15,5624,
13,8,3,16041,
16,16,13,6807,
17,11,14,11248,
15,19,13,7157,
10,17,10,13505,
14,7,9,7203,
13,12,21,0,
19,10,11,13099,

13,7,25,21691,
13,22,12,41621,
14,18,7,7518,
11,10,20,29870,
12,16,9,0,
15,13,11,11697,
10,13,20,52658,
5,13,5,0,
14,11,4,13950,
13,10,15,10806,
10,20,24,0,
15,14,10,7925,
18,11,11,0,
16,18,12,21312,
11,23,20,1830,
14,20,19,21775,
17,19,16,0,
16,21,12,39507,
8,14,15,0,
13,23,12,28298,
7,17,20,24942,
16,18,12,7951,
16,13,7,20347,
9,18,16,10396,
18,13,18,12722,
12,8,15,822,
10,14,14,51694,
11,12,19,26867,
13,10,11,28994,
16,23,5,45013,
16,8,18,11217,
21,13,3,0,
4,11,9,40134,
10,10,9,8106,
7,15,16,54741,
14,26,14,17616,
18,12,10,10226,
19,15,18,20906,
8,8,10,14841,
13,13,23,60865,
7,7,22,41325,
14,12,20,15196,
13,14,8,43209,
19,16,14,18404,
14,13,15,30691,
16,16,14,19527,
11,19,8,36525,
17,11,10,19242,
13,11,21,0,
20,12,14,36223,

11,6,27,58675,
17,23,13,112852,
12,19,8,20447,
10,11,20,80920,
14,16,10,0,
20,14,10,31874,
11,17,22,142713,
3,12,10,0,
15,12,4,37797,
15,10,17,29019,
11,22,24,0,
15,12,11,21547,
20,12,14,0,
17,21,13,58068,
13,27,22,4853,
17,23,18,59202,
20,21,17,0,
16,22,13,107801,
8,19,13,0,
17,24,13,76469,
10,17,22,67825,
19,17,13,21337,
16,15,5,55498,
10,19,22,28082,
19,12,20,34399,
16,7,15,2112,
13,17,14,140577,
12,14,20,72990,
15,10,13,78899,
18,23,7,121603,
20,11,20,30318,
21,14,5,0,
6,15,11,109085,
11,12,10,22115,
5,14,17,148784,
16,27,14,47949,
17,15,11,27583,
22,17,19,57023,
