
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
10,0,0,0,10,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

489,296,430,2,
519,216,457,1,
590,123,446,22,
482,254,364,4,
497,242,463,3,
509,194,407,3,
564,270,327,3,
512,273,356,12,
544,293,409,2,
553,428,368,14,

969,488,821,0,
965,413,848,12,
1019,355,750,1,
962,422,778,3,
975,407,815,10,
929,482,688,2,
1087,538,662,1,
1010,474,767,1,
1044,510,791,2,
1029,621,783,3,

1489,653,1203,1,
1373,668,1207,0,
1579,505,1077,25,
1414,574,1170,2,
1474,637,1183,4,
1438,732,1075,0,
1596,811,962,22,
1477,641,1155,6,
1467,733,1157,0,
1524,868,1185,4,

1960,931,1556,14,
1769,928,1583,0,
1994,780,1407,1,
1899,766,1506,13,
1909,890,1581,0,
1879,971,1404,4,
2071,1052,1335,1,
2019,834,1543,2,
1850,929,1493,13,
1950,1105,1553,2,

2481,1157,1973,0,
2304,1075,1991,1,
2474,966,1683,5,
2353,996,1843,10,
2313,1027,1895,27,
2378,1078,1809,10,
2603,1136,1755,5,
2584,883,1941,6,
2361,1119,1919,14,
2455,1350,1924,1,

2989,1291,2303,13,
2812,1221,2378,0,
2950,1207,2033,7,
2918,1166,2267,10,
2807,1170,2275,10,
2896,1256,2254,0,
3163,1246,2143,0,
3069,1086,2327,8,
2805,1332,2277,2,
2949,1550,2358,3,

3434,1587,2622,0,
3287,1461,2789,1,
3381,1545,2382,7,
3371,1447,2649,0,
3385,1350,2624,11,
3393,1478,2621,10,
3712,1375,2512,26,
3559,1290,2645,0,
3353,1524,2667,1,
3522,1792,2713,17,

3948,1688,3018,15,
3715,1612,3137,1,
3837,1835,2727,1,
3899,1592,3124,2,
3931,1549,3036,11,
3872,1786,2948,2,
4150,1549,2834,7,
4120,1488,3033,6,
3790,1825,2988,12,
4016,1998,3015,32,

4428,1889,3373,5,
4229,1794,3520,4,
4318,2036,3110,10,
4385,1924,3393,6,
4357,1731,3415,37,
4345,2012,3297,1,
4544,1838,3209,1,
4564,1652,3430,1,
4256,2021,3313,21,
4523,2208,3402,19,

# Showing cells 0-10 until 9.0006 min
