
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
10,0,0,0,10,1,1,

specie1,specie2,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,

98,2,
96,4,
93,7,
92,8,
96,4,
99,1,
95,5,
96,4,
97,3,
96,4,

92,8,
90,10,
92,8,
85,15,
87,13,
94,6,
94,6,
92,8,
92,8,
94,6,

89,11,
87,13,
84,16,
79,21,
80,20,
89,11,
91,9,
84,16,
87,13,
88,12,

88,12,
81,19,
76,24,
71,29,
78,22,
84,16,
86,14,
83,17,
84,16,
85,15,

84,16,
78,22,
72,28,
64,36,
76,24,
79,21,
79,21,
82,18,
80,20,
79,21,

78,22,
77,23,
68,32,
62,38,
70,30,
74,26,
73,27,
77,23,
75,25,
76,24,

77,23,
72,28,
61,39,
60,40,
63,37,
72,28,
69,31,
76,24,
71,29,
72,28,

69,31,
67,33,
58,42,
54,46,
61,39,
71,29,
65,35,
72,28,
70,30,
64,36,

65,35,
62,38,
50,50,
50,50,
55,45,
65,35,
62,38,
69,31,
64,36,
58,42,

# Showing cells 0-10 until 9.1849 min
