
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
10,0,0,0,10,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

0,0,64,50,
0,0,78,53,
3,2,38,46,
2,0,46,49,
10,8,33,41,
4,6,27,35,
2,4,36,11,
0,0,68,52,
0,4,52,51,
1,0,38,34,

6,4,19,30,
0,0,56,24,
4,0,32,31,
0,0,58,56,
0,0,24,54,
4,0,27,28,
2,0,31,13,
0,4,90,64,
0,8,29,33,
2,0,66,45,

0,2,47,51,
16,4,52,1,
7,2,28,30,
4,6,43,41,
4,2,19,69,
4,0,37,35,
1,2,35,36,
2,6,87,96,
4,2,41,47,
0,0,65,67,

0,0,68,54,
0,0,49,13,
27,4,21,2,
2,0,62,76,
0,0,16,75,
1,2,24,35,
0,2,38,42,
3,6,90,87,
0,0,33,32,
0,0,58,78,

0,0,105,88,
2,6,48,18,
2,0,27,10,
2,2,56,62,
0,0,25,80,
0,0,25,35,
0,2,59,58,
0,0,79,83,
12,0,20,25,
6,6,37,55,

10,2,108,87,
2,0,75,22,
4,6,39,10,
0,2,42,67,
3,2,37,76,
0,2,58,63,
9,0,71,50,
2,0,58,70,
6,0,22,21,
2,0,51,60,

0,4,79,86,
0,0,66,5,
3,0,37,8,
2,2,47,63,
2,0,51,81,
4,0,56,54,
2,2,79,68,
1,0,81,71,
0,0,22,36,
0,2,60,55,

4,2,92,88,
8,2,67,15,
10,0,32,17,
1,2,44,74,
2,0,56,76,
0,0,59,56,
0,0,120,87,
0,0,102,80,
1,0,32,29,
0,0,61,60,

18,2,109,76,
2,4,59,20,
0,0,44,30,
0,0,19,59,
0,0,53,68,
40,0,64,69,
0,4,124,63,
4,0,97,84,
0,0,24,28,
5,2,68,57,

# Showing cells 0-10 until 9.00142 min
