
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
50,0,0,0,50,1,1,1,1,

specie1,specie2,specie3,specie4,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,

6,5,8,69,
5,4,6,59,
9,2,8,59,
8,4,7,80,
7,11,6,85,
7,8,7,15,
5,4,7,27,
6,7,8,26,
8,9,7,77,
7,4,7,75,
10,5,6,75,
7,9,3,67,
6,7,5,94,
7,7,7,60,
5,6,6,36,
7,5,6,29,
6,4,6,73,
7,6,5,81,
5,6,4,26,
8,4,4,60,
5,6,4,48,
8,3,7,50,
7,4,7,23,
4,6,5,55,
7,5,7,54,
6,5,7,57,
5,6,3,34,
3,6,5,37,
7,6,5,37,
7,5,3,58,
6,4,6,41,
6,11,7,80,
4,6,8,67,
7,5,6,63,
4,5,5,54,
7,6,6,41,
5,6,5,64,
5,6,4,49,
4,7,5,61,
4,4,7,93,
7,6,5,68,
7,5,4,69,
4,7,4,80,
5,7,8,37,
7,7,5,37,
6,5,9,10,
7,6,5,88,
8,6,10,94,
8,4,5,50,
7,8,4,61,

6,4,8,101,
7,8,4,85,
11,3,8,91,
12,7,9,164,
6,15,6,118,
7,8,10,0,
7,5,8,4,
10,12,7,2,
8,11,7,112,
10,5,9,138,
12,8,8,129,
9,9,3,71,
7,7,8,171,
10,7,8,85,
5,5,9,28,
9,6,10,0,
8,2,9,108,
8,5,5,114,
9,4,6,16,
13,2,6,83,
5,5,6,71,
7,1,9,80,
6,5,9,0,
3,10,7,51,
8,7,12,72,
7,7,6,85,
4,9,9,0,
4,6,2,53,
7,6,5,0,
5,7,4,91,
8,6,9,14,
8,12,11,148,
3,4,6,119,
6,5,9,76,
3,4,7,89,
6,7,8,45,
6,7,6,108,
3,5,5,66,
4,7,5,75,
7,5,8,171,
5,7,7,157,
11,9,3,111,
7,8,4,116,
7,8,8,3,
11,7,4,31,
8,5,10,0,
9,5,5,150,
8,5,12,167,
10,4,6,61,
9,10,10,74,

6,4,9,169,
5,9,4,163,
11,3,10,139,
13,6,9,359,
8,17,7,223,
9,7,8,0,
5,6,9,0,
11,14,3,0,
9,13,5,210,
14,7,11,315,
10,10,9,283,
10,11,7,115,
12,7,9,436,
12,5,11,140,
8,7,13,14,
13,7,10,0,
8,6,8,241,
11,6,5,258,
14,3,7,0,
14,6,12,132,
8,5,7,151,
9,1,9,184,
7,7,7,0,
5,12,5,78,
6,14,12,95,
9,8,3,167,
6,13,11,0,
4,6,3,96,
6,11,6,0,
5,7,4,166,
8,7,13,0,
10,13,13,318,
3,4,5,304,
5,7,10,132,
2,6,11,184,
7,7,12,33,
6,11,4,217,
3,5,7,108,
5,12,6,144,
10,6,11,387,
4,9,9,332,
12,11,1,221,
9,9,7,175,
11,9,9,0,
11,8,6,7,
11,6,10,0,
10,5,6,362,
11,6,12,408,
13,4,9,99,
13,13,13,116,

7,4,7,432,
6,9,3,323,
12,4,11,261,
13,8,12,867,
11,18,7,544,
8,9,12,0,
7,5,8,0,
11,17,3,0,
9,14,9,480,
13,6,12,765,
11,14,10,648,
13,14,6,258,
11,8,10,1108,
13,10,13,321,
8,9,13,0,
16,8,10,0,
11,6,7,566,
12,5,7,592,
12,2,5,0,
15,7,16,281,
8,3,9,355,
11,4,7,374,
10,6,7,0,
7,11,9,126,
6,10,13,191,
8,6,3,379,
4,15,11,0,
5,9,5,180,
8,11,5,0,
7,8,5,338,
9,5,14,0,
11,15,13,806,
5,7,5,758,
6,8,13,282,
5,7,14,381,
10,9,11,0,
8,11,5,547,
7,7,11,179,
4,14,8,287,
12,8,15,1054,
5,10,11,869,
11,13,0,493,
9,10,9,396,
14,5,9,0,
12,7,8,0,
12,9,10,0,
10,5,6,842,
10,7,11,1015,
11,4,14,184,
14,12,14,248,

5,9,9,1080,
8,9,4,763,
14,5,12,576,
14,8,14,2295,
13,22,8,1325,
9,11,13,0,
9,7,12,0,
10,19,5,0,
10,16,10,1231,
16,3,13,1960,
12,18,10,1611,
13,17,8,619,
13,9,12,3024,
13,11,18,780,
9,10,14,0,
17,8,13,0,
13,9,7,1431,
13,4,10,1587,
12,2,5,0,
16,7,18,650,
11,0,11,851,
13,2,9,968,
11,6,8,0,
6,14,7,315,
5,11,13,448,
8,7,5,909,
5,13,12,0,
7,9,5,449,
12,11,6,0,
9,8,4,833,
12,4,15,0,
10,16,13,2203,
4,8,7,2018,
9,10,15,665,
7,8,15,957,
10,9,16,0,
7,16,8,1331,
9,9,12,419,
4,15,7,755,
13,11,18,2810,
7,12,13,2291,
11,15,0,1214,
10,10,10,1031,
17,6,10,0,
16,9,12,0,
13,9,10,0,
9,4,10,2233,
12,8,11,2720,
15,5,14,425,
14,15,16,601,

6,12,10,2866,
8,9,8,1999,
13,6,14,1418,
14,9,13,6240,
14,24,7,3459,
12,11,13,0,
10,8,13,0,
9,19,6,0,
12,16,10,3391,
16,2,13,5315,
13,20,12,4427,
15,16,12,1544,
13,11,12,8085,
11,11,20,1914,
10,14,16,0,
17,9,13,0,
12,11,7,3826,
14,4,12,4311,
10,2,6,0,
18,8,18,1619,
14,0,11,2301,
14,7,11,2425,
12,5,9,0,
4,18,8,750,
5,9,15,1074,
7,5,6,2374,
4,10,12,0,
6,17,8,1205,
11,11,10,0,
10,12,4,2223,
18,3,15,0,
13,15,16,5959,
4,10,11,5485,
11,10,15,1728,
9,7,18,2526,
8,8,17,0,
7,17,6,3484,
8,9,15,1067,
5,15,4,1807,
15,13,21,7635,
10,12,12,6310,
10,13,4,3237,
11,9,12,2662,
21,5,11,0,
19,9,13,0,
14,9,11,0,
8,6,10,5890,
9,9,11,7229,
16,6,16,1017,
12,15,18,1529,

9,13,12,7654,
8,9,11,5489,
15,6,15,3775,
13,8,14,17009,
18,23,7,9175,
16,13,12,0,
11,10,15,0,
9,23,7,0,
10,17,9,9201,
15,5,14,14520,
12,21,12,11936,
14,20,12,4038,
12,11,14,22317,
12,13,22,5011,
8,15,16,0,
21,9,14,0,
12,14,6,10399,
13,4,14,11635,
9,2,8,0,
20,11,17,4315,
16,1,10,6064,
22,11,11,6489,
12,5,10,0,
4,17,7,1955,
3,11,11,2975,
9,7,6,6333,
6,11,11,0,
8,21,9,2963,
11,13,12,0,
9,13,3,5977,
15,4,19,0,
13,16,15,16112,
3,10,13,15064,
12,8,14,4642,
8,10,20,6824,
12,10,18,0,
9,17,5,9351,
8,9,17,2770,
3,18,5,4904,
18,15,24,20625,
10,12,11,17183,
9,13,8,8699,
10,11,12,7048,
21,6,12,0,
19,12,13,0,
13,10,11,0,
9,6,9,15973,
11,8,9,19338,
15,9,15,2564,
16,16,21,4105,

12,14,13,20871,
11,11,11,14699,
17,8,14,10349,
13,9,18,46594,
16,24,8,24932,
18,13,13,0,
16,10,19,0,
11,25,7,0,
11,20,8,24945,
19,6,13,39512,
12,22,14,31539,
15,23,11,10844,
12,12,13,60651,
12,12,24,13649,
6,16,17,0,
22,7,14,0,
17,17,4,28156,
13,4,15,31695,
9,0,6,0,
23,12,19,11545,
16,3,11,16583,
23,13,15,17388,
9,3,11,0,
5,17,12,5147,
2,14,10,8000,
12,7,8,17365,
6,11,12,0,
11,23,9,7765,
12,13,11,0,
9,15,4,16101,
17,5,22,0,
15,18,16,43243,
6,12,14,40828,
11,12,15,12571,
9,7,22,18466,
13,10,20,0,
11,17,6,25167,
7,12,18,7392,
3,22,8,13300,
21,18,25,55985,
12,14,11,46552,
8,12,9,23526,
10,14,12,18709,
23,8,12,0,
22,12,15,0,
12,13,13,0,
12,6,9,43779,
12,11,12,52349,
15,11,13,6727,
16,16,24,10989,

14,16,14,56409,
11,9,14,40527,
19,10,16,27765,
14,9,20,127060,
19,25,8,67471,
19,14,14,0,
17,9,21,0,
10,24,8,0,
9,20,8,67615,
19,8,12,106781,
13,25,13,85880,
16,21,12,29414,
13,11,15,164366,
13,15,24,37195,
3,17,16,0,
23,10,15,0,
22,20,2,75955,
11,5,13,86291,
11,1,8,0,
21,14,22,31142,
17,3,15,45406,
25,15,15,47512,
10,4,11,0,
5,15,15,13843,
0,18,11,21597,
13,8,11,47416,
6,16,13,0,
11,22,12,21181,
15,13,14,0,
12,16,6,43502,
19,7,24,0,
16,18,15,117571,
5,13,12,110933,
12,13,16,34037,
15,9,26,49804,
18,10,24,0,
9,17,9,68141,
10,14,20,20144,
6,22,10,35856,
22,21,22,151673,
