
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
10,0,0,0,10,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

62,52,49,44,
53,57,51,53,
47,43,47,45,
67,61,50,47,
48,46,49,48,
48,48,52,52,
65,55,51,46,
50,52,45,46,
45,57,47,53,
60,56,51,49,

65,59,49,46,
70,74,49,51,
52,52,43,43,
81,75,48,45,
49,59,40,45,
63,57,50,47,
72,54,54,45,
45,51,46,49,
50,64,48,55,
74,68,51,48,

65,61,51,49,
72,74,50,51,
53,57,41,43,
88,80,53,49,
47,69,41,52,
76,72,48,46,
79,55,56,44,
43,51,49,53,
57,79,43,54,
88,76,54,48,

64,66,54,55,
85,77,53,49,
52,58,40,43,
98,92,54,51,
52,74,45,56,
88,80,48,44,
93,61,58,42,
41,51,47,52,
51,73,42,53,
96,82,51,44,

62,68,52,55,
97,87,61,56,
59,65,41,44,
105,95,60,55,
54,82,44,58,
84,80,46,44,
94,66,52,38,
45,55,45,50,
58,76,40,49,
107,109,40,41,

65,69,56,58,
105,99,57,54,
71,75,47,49,
115,115,55,55,
56,88,44,60,
88,84,44,42,
99,67,54,38,
55,63,49,53,
64,90,40,53,
120,112,39,35,

65,75,53,58,
104,112,55,59,
83,87,47,49,
114,108,56,53,
73,107,41,58,
96,86,47,42,
106,68,57,38,
59,69,52,57,
75,93,37,46,
131,125,38,35,

81,73,57,53,
118,126,55,59,
85,93,46,50,
128,116,58,52,
84,112,40,54,
99,89,48,43,
114,84,53,38,
57,63,55,58,
58,80,35,46,
124,128,38,40,

97,85,63,57,
127,131,52,54,
88,92,43,45,
143,133,60,55,
95,123,38,52,
109,103,50,47,
119,85,50,33,
50,56,55,58,
63,83,37,47,
127,129,36,37,

# Showing cells 0-10 until 9.04698 min
