
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,1,1,

specie1,specie2,specie3,specie4,specie5,specie6,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,
5,5,5,5,5,5,

3,8,7,8,822,823,
5,0,10,7,841,767,
4,12,1,37,831,794,
2,6,21,5,791,791,
4,3,14,12,782,839,
6,22,2,6,846,804,
6,14,10,18,795,854,
6,20,1,4,831,786,
5,12,1,13,779,830,
5,14,10,18,823,821,
5,9,22,23,780,766,
5,12,17,16,805,748,
6,12,7,3,777,847,
7,1,5,11,817,815,
3,26,8,13,772,789,
7,8,6,7,837,850,
4,18,25,2,820,804,
3,3,16,15,802,796,
4,0,17,27,795,804,
4,7,10,8,830,827,
1,6,20,1,776,798,
5,18,21,6,810,803,
4,18,30,4,783,814,
3,13,6,16,863,810,
4,2,6,12,827,822,
3,2,19,13,842,847,
4,6,18,28,801,774,
2,0,3,10,881,823,
4,4,0,13,815,802,
4,26,24,25,854,770,
4,2,12,9,807,804,
4,20,12,22,781,784,
4,13,4,15,810,829,
3,10,22,35,769,837,
8,4,16,4,784,822,
0,18,3,1,805,799,
3,17,8,24,816,768,
4,1,16,16,790,767,
0,0,13,21,845,771,
1,17,4,15,804,809,
6,9,6,18,818,795,
1,8,6,45,818,794,
3,19,25,17,819,798,
5,2,19,14,855,810,
6,3,16,12,814,808,
5,9,3,10,837,745,
2,25,6,12,812,807,
5,14,9,38,812,775,
4,1,1,10,806,771,
3,2,3,8,784,829,
6,14,18,8,835,835,
8,2,12,11,785,798,
4,12,2,12,766,764,
0,1,14,5,768,800,
3,11,14,18,798,790,
2,2,36,48,826,778,
2,1,4,26,844,795,
4,4,14,5,829,799,
4,2,0,19,765,841,
5,20,12,2,778,808,
4,2,10,11,784,765,
5,2,8,21,792,807,
3,13,9,5,827,772,
2,14,15,16,796,813,
6,1,0,17,847,755,
3,12,8,20,822,792,
3,3,41,9,763,736,
3,14,36,34,798,798,
3,11,4,4,856,864,
5,1,12,19,812,783,
5,11,18,8,876,805,
5,2,12,12,800,843,
7,0,8,28,821,791,
1,21,5,9,782,773,
3,3,2,14,827,752,
5,7,5,1,777,839,
3,12,20,25,729,804,
5,5,4,11,757,772,
3,15,4,18,840,829,
3,9,9,19,798,788,
5,10,3,35,805,848,
4,6,13,14,773,811,
5,25,21,4,811,838,
5,34,15,7,763,813,
7,3,0,12,800,847,
4,8,19,1,798,801,
0,4,12,9,814,776,
2,14,18,44,775,831,
3,11,7,4,846,779,
1,27,15,31,838,760,
2,7,7,32,798,815,
5,6,1,21,812,823,
7,1,1,2,873,828,
6,23,0,0,817,803,
5,10,4,18,830,827,
3,7,18,20,749,787,
3,6,0,45,826,870,
5,17,15,17,804,801,
1,7,35,20,846,803,
6,21,6,5,842,861,

3,1,15,1,1681,1625,
4,0,14,48,1616,1548,
5,1,16,33,1623,1602,
0,5,19,3,1587,1569,
1,2,6,19,1612,1622,
5,23,10,16,1628,1609,
7,18,4,11,1621,1670,
4,18,13,36,1609,1592,
8,9,1,1,1540,1660,
3,5,8,31,1640,1660,
5,18,23,40,1547,1528,
3,9,10,3,1614,1547,
5,3,27,5,1579,1627,
7,6,18,20,1593,1575,
0,22,25,39,1556,1604,
6,26,21,25,1630,1641,
4,2,23,1,1630,1593,
3,2,24,13,1669,1650,
1,10,10,38,1581,1625,
3,18,1,16,1628,1631,
0,2,45,15,1549,1619,
0,14,1,3,1558,1609,
3,24,38,11,1584,1629,
3,1,19,4,1669,1601,
5,9,22,3,1568,1616,
2,9,23,16,1629,1651,
0,2,9,14,1551,1567,
0,24,9,1,1671,1628,
1,2,7,40,1638,1620,
0,36,3,3,1686,1559,
5,2,1,12,1629,1593,
2,18,15,3,1598,1567,
4,17,9,3,1597,1611,
0,6,18,53,1619,1571,
8,1,8,29,1593,1662,
0,12,4,4,1598,1578,
1,5,22,49,1638,1585,
4,8,7,3,1628,1586,
0,3,16,10,1636,1552,
0,21,28,21,1641,1649,
5,4,11,19,1638,1646,
2,25,0,28,1589,1622,
2,34,47,10,1621,1588,
3,5,30,9,1654,1612,
5,15,6,19,1643,1598,
3,25,2,20,1708,1530,
1,28,29,59,1610,1568,
3,8,31,49,1644,1530,
3,0,7,0,1572,1485,
2,17,23,8,1599,1624,
4,2,11,27,1672,1623,
5,2,16,11,1604,1587,
5,21,6,37,1542,1606,
1,6,8,8,1553,1580,
2,21,21,43,1610,1558,
2,4,55,67,1601,1520,
0,0,7,63,1651,1591,
3,23,2,0,1626,1610,
7,6,16,5,1574,1603,
5,29,26,17,1531,1621,
2,8,6,7,1557,1549,
3,14,21,11,1610,1612,
0,6,19,5,1614,1568,
1,17,22,16,1599,1576,
5,7,2,6,1670,1616,
0,11,33,37,1620,1627,
1,13,44,6,1556,1492,
0,16,44,68,1610,1618,
1,18,13,19,1651,1663,
5,5,24,43,1598,1589,
3,13,13,9,1670,1631,
5,7,18,7,1591,1630,
5,5,10,41,1600,1562,
2,27,15,6,1551,1551,
2,2,5,19,1576,1572,
5,3,1,10,1548,1632,
4,32,0,27,1501,1560,
3,4,11,1,1499,1565,
4,26,3,27,1670,1611,
3,10,12,6,1620,1537,
1,21,16,33,1672,1650,
5,1,17,21,1553,1663,
3,23,24,7,1589,1621,
5,24,25,2,1559,1579,
3,10,2,42,1542,1656,
6,5,0,2,1599,1574,
2,0,31,25,1591,1572,
2,12,27,35,1569,1640,
3,15,17,7,1662,1593,
0,24,20,18,1651,1552,
0,3,4,49,1590,1642,
7,8,2,9,1636,1639,
4,12,2,32,1676,1598,
6,37,9,18,1613,1610,
4,5,7,26,1635,1613,
1,24,26,39,1592,1579,
2,19,0,53,1648,1701,
6,25,3,0,1570,1633,
0,15,52,1,1709,1610,
5,7,16,22,1654,1705,

4,2,24,1,2500,2422,
4,19,48,71,2419,2365,
5,10,18,38,2375,2372,
0,8,54,11,2367,2398,
0,6,18,21,2374,2368,
4,26,3,48,2397,2385,
7,26,10,3,2418,2447,
4,4,7,60,2412,2403,
4,9,0,0,2357,2464,
5,9,7,27,2355,2518,
4,16,24,15,2350,2294,
2,1,3,31,2402,2339,
3,3,18,19,2415,2455,
5,18,45,21,2389,2373,
0,17,12,18,2349,2369,
6,2,7,32,2446,2407,
4,9,6,38,2464,2387,
3,8,13,15,2463,2484,
0,8,12,59,2371,2410,
0,23,19,0,2437,2397,
1,12,36,56,2376,2429,
0,25,23,13,2350,2446,
3,23,67,5,2381,2433,
0,8,20,6,2467,2365,
6,4,58,15,2383,2468,
2,21,11,13,2419,2476,
0,4,29,15,2356,2349,
0,36,19,6,2502,2428,
0,10,6,12,2493,2375,
0,61,19,25,2471,2394,
4,11,17,17,2381,2348,
0,27,6,10,2424,2368,
2,9,20,10,2448,2429,
1,1,8,54,2425,2400,
8,6,20,23,2432,2431,
1,9,34,12,2479,2427,
0,9,22,64,2480,2391,
3,7,24,8,2442,2405,
0,11,32,30,2469,2348,
1,1,24,26,2447,2446,
4,1,26,19,2436,2436,
0,19,20,12,2415,2401,
0,27,29,23,2428,2413,
0,9,41,14,2424,2420,
3,22,13,7,2430,2375,
1,49,13,44,2513,2298,
0,33,38,68,2414,2339,
2,0,40,1,2447,2375,
1,2,12,14,2397,2258,
1,22,65,16,2454,2357,
0,8,36,18,2462,2412,
8,5,12,28,2401,2330,
1,29,0,15,2357,2396,
0,19,28,1,2296,2330,
2,22,5,52,2370,2359,
1,14,39,51,2383,2347,
0,5,6,65,2420,2400,
3,22,14,1,2418,2397,
5,3,37,3,2330,2405,
4,42,6,6,2332,2466,
0,6,26,37,2378,2347,
4,9,56,15,2374,2380,
0,3,37,13,2406,2375,
0,8,10,0,2381,2408,
4,9,21,3,2458,2436,
0,10,30,54,2408,2460,
1,22,21,1,2348,2311,
0,27,51,61,2351,2417,
0,38,15,21,2452,2409,
4,0,31,47,2413,2385,
4,15,26,0,2453,2447,
3,5,1,23,2405,2398,
5,9,5,22,2402,2373,
2,39,14,19,2338,2398,
5,0,12,20,2417,2392,
7,14,22,4,2364,2403,
6,33,0,48,2283,2355,
1,10,1,16,2285,2418,
1,36,17,18,2483,2376,
1,9,13,3,2477,2349,
0,1,19,28,2461,2512,
4,9,16,17,2375,2485,
2,19,23,24,2340,2400,
4,3,31,27,2372,2416,
4,24,1,15,2401,2486,
6,9,17,23,2355,2353,
4,0,39,51,2408,2351,
2,9,30,69,2316,2443,
3,15,21,20,2479,2376,
0,30,13,44,2398,2397,
1,8,13,61,2383,2490,
8,1,3,8,2447,2409,
3,15,3,22,2507,2379,
6,31,3,28,2355,2485,
3,4,12,32,2444,2394,
3,36,1,26,2366,2421,
0,31,4,47,2474,2503,
6,28,29,6,2357,2433,
3,16,28,0,2500,2407,
7,9,29,40,2454,2496,

4,10,20,4,3282,3218,
6,10,20,80,3266,3189,
5,6,29,61,3214,3159,
0,5,65,18,3160,3177,
0,3,20,21,3190,3132,
3,23,5,60,3176,3193,
6,24,39,23,3245,3277,
2,12,29,46,3220,3175,
2,1,2,8,3202,3281,
3,18,0,12,3127,3314,
3,5,71,52,3172,3122,
0,7,2,33,3216,3180,
0,16,16,42,3205,3207,
4,18,36,23,3201,3154,
0,12,35,16,3140,3217,
5,6,12,14,3260,3235,
4,6,34,3,3270,3139,
2,3,26,16,3260,3287,
0,9,4,74,3172,3207,
0,40,36,8,3239,3214,
2,24,37,48,3163,3220,
0,36,44,43,3126,3309,
1,30,77,4,3198,3251,
0,5,5,11,3203,3156,
5,1,89,45,3188,3240,
0,25,13,22,3196,3342,
2,7,32,26,3154,3168,
1,24,8,16,3260,3208,
2,7,1,13,3324,3179,
0,38,23,7,3272,3214,
4,12,2,23,3178,3131,
3,30,13,9,3220,3204,
1,17,2,8,3226,3207,
0,9,11,45,3177,3200,
7,12,21,8,3216,3256,
0,2,25,11,3280,3231,
1,15,44,65,3265,3215,
0,7,6,9,3229,3212,
1,36,32,32,3292,3155,
1,8,21,2,3226,3296,
3,1,27,7,3247,3273,
0,23,0,23,3224,3285,
2,40,29,28,3232,3222,
0,10,22,15,3219,3161,
4,16,10,39,3237,3157,
1,43,26,29,3327,3074,
0,31,38,66,3230,3144,
0,18,11,9,3240,3197,
0,2,3,33,3193,3020,
0,41,75,5,3258,3130,
2,22,30,38,3248,3170,
6,1,17,29,3230,3122,
1,23,2,35,3152,3205,
1,10,19,0,3118,3115,
1,21,1,21,3177,3166,
0,11,70,54,3188,3138,
0,15,20,50,3231,3204,
0,19,10,31,3219,3196,
4,13,52,4,3121,3182,
1,49,12,17,3154,3278,
2,7,20,59,3165,3194,
3,0,46,6,3187,3172,
0,2,57,32,3196,3189,
2,9,7,10,3162,3197,
3,3,4,21,3248,3229,
0,23,47,59,3170,3296,
0,7,6,21,3155,3158,
2,37,84,50,3147,3240,
1,26,8,50,3214,3225,
0,0,5,58,3254,3208,
2,4,15,11,3250,3243,
3,12,9,21,3224,3224,
4,5,1,39,3174,3183,
1,33,44,2,3124,3211,
4,5,7,13,3226,3162,
3,17,20,10,3137,3235,
5,23,2,30,3083,3168,
2,3,39,18,3067,3207,
0,42,3,9,3291,3184,
0,6,21,2,3306,3186,
0,10,4,51,3268,3316,
4,0,19,36,3245,3265,
0,25,16,44,3152,3209,
6,4,42,37,3167,3184,
3,35,5,24,3163,3289,
7,22,21,47,3159,3149,
5,19,44,47,3213,3155,
1,19,48,65,3123,3291,
0,16,15,24,3262,3161,
0,40,4,32,3201,3178,
1,13,6,34,3185,3281,
9,1,4,26,3235,3240,
4,23,0,47,3286,3129,
4,40,18,43,3187,3288,
4,0,21,4,3217,3178,
3,17,9,37,3166,3262,
1,33,18,60,3228,3301,
6,36,4,7,3093,3251,
1,10,46,9,3319,3218,
4,0,30,69,3263,3296,

4,13,16,1,4075,3994,
5,13,40,64,4096,3947,
9,1,20,79,4083,3927,
0,17,80,20,3965,3989,
0,1,27,7,3995,3929,
4,32,12,35,3958,3954,
6,36,26,13,4048,4110,
0,0,4,44,4078,4015,
0,3,0,21,4074,4099,
5,19,18,11,3934,4112,
2,9,67,26,3983,3904,
0,4,13,40,4072,3979,
0,12,3,11,4033,3997,
2,19,4,19,4011,4067,
0,14,63,24,3966,3979,
4,2,37,24,4084,4009,
3,0,6,13,4092,3960,
0,3,30,14,4039,4087,
0,8,12,71,3969,3996,
1,39,18,0,4033,4023,
3,25,57,38,3974,3988,
2,34,58,61,3976,4136,
0,19,60,11,4014,4058,
0,7,6,18,4034,3926,
5,2,85,35,3969,4051,
1,24,26,15,3986,4099,
5,11,54,53,3955,3913,
1,24,4,3,4031,3960,
0,14,9,31,4103,3973,
0,39,32,4,4101,4087,
3,15,4,37,3997,3949,
3,33,37,9,4032,3952,
0,33,14,4,4010,4030,
2,0,24,55,3974,4019,
6,0,15,42,3981,4060,
0,12,52,17,4077,4030,
0,23,38,68,4097,3986,
0,5,10,1,3981,4002,
1,53,23,18,4094,3937,
0,5,30,9,4040,4120,
3,0,22,18,4057,4115,
0,27,4,30,4077,4158,
4,26,38,14,4068,4035,
0,22,17,0,4023,3954,
5,14,6,46,4022,3964,
0,43,11,27,4108,3868,
0,25,52,105,4016,3958,
1,19,1,37,4043,3963,
3,6,1,19,3983,3843,
0,42,111,11,4072,3919,
0,12,31,54,4026,4012,
3,15,38,44,4026,3927,
2,24,7,39,3975,4031,
1,1,13,22,3872,3912,
1,17,6,22,3963,3936,
1,6,80,51,3953,3960,
1,28,27,10,4029,4056,
1,17,1,45,4028,3979,
2,12,39,4,3919,4003,
0,38,10,1,3964,4067,
0,7,15,46,3988,3947,
5,1,54,16,4022,4001,
1,6,89,40,3983,3955,
0,0,0,12,3959,4010,
3,10,6,29,4003,3999,
2,21,53,62,3988,4106,
2,12,19,48,3927,4011,
2,51,73,40,3886,3984,
2,20,17,45,4019,4008,
0,20,16,85,4073,4025,
2,4,35,1,4049,4003,
5,0,17,37,3952,4042,
1,12,17,14,4022,3996,
1,55,61,7,3926,4020,
0,5,40,9,4080,4023,
1,16,27,9,3928,4087,
5,40,19,39,3848,4002,
2,10,41,0,3837,4017,
0,52,7,21,4067,4017,
0,8,24,12,4134,3979,
0,5,44,59,4056,4110,
5,6,15,65,4031,4072,
1,26,27,17,3918,4012,
6,19,42,54,3930,4005,
0,26,1,50,3943,4118,
7,26,4,45,3950,3922,
5,32,66,58,4031,3967,
1,16,61,69,3915,4089,
0,28,0,35,4107,3983,
3,52,10,8,4008,3942,
0,21,13,9,3972,4099,
7,0,6,12,4011,4033,
2,34,5,44,4098,3898,
3,37,2,50,3972,4075,
3,16,6,6,3996,4009,
6,20,31,20,3939,4064,
0,44,4,43,4019,4115,
5,37,9,29,3874,4028,
1,8,37,21,4130,4024,
5,1,46,84,4119,4058,

2,19,2,42,4907,4738,
5,8,31,59,4887,4715,
9,13,27,72,4914,4771,
0,17,88,30,4734,4847,
0,9,18,7,4806,4757,
3,33,17,31,4747,4728,
7,33,24,19,4813,4901,
0,5,5,37,4900,4844,
0,11,2,15,4921,4948,
3,25,18,14,4754,4888,
2,16,67,30,4767,4683,
0,5,32,17,4828,4785,
1,27,6,6,4881,4791,
2,28,25,23,4786,4859,
0,13,79,24,4744,4852,
1,7,18,5,4904,4812,
2,21,35,18,4920,4792,
0,0,28,13,4815,4827,
0,1,26,71,4788,4757,
4,47,38,4,4824,4815,
0,25,53,31,4724,4820,
0,29,66,107,4795,4885,
0,22,37,16,4758,4883,
