
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
10,0,0,0,10,1,1,1,1,

specie1,specie2,specie3,specie4,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,

4,7,8,4,
5,5,5,5,
4,7,8,4,
5,5,5,5,
5,5,5,5,
5,5,5,5,
3,9,11,3,
5,5,5,5,
5,5,5,5,
3,9,11,3,

4,7,8,4,
4,7,8,4,
4,7,8,4,
3,9,11,3,
5,5,5,5,
4,7,8,4,
3,9,13,1,
5,5,5,5,
4,7,8,4,
3,7,12,8,

3,9,11,3,
4,9,10,3,
4,9,10,3,
3,8,11,6,
4,7,8,4,
3,9,13,1,
3,11,15,0,
4,8,11,5,
4,9,10,3,
4,7,12,7,

4,9,10,3,
3,13,16,0,
4,9,10,3,
4,8,10,6,
4,7,8,4,
3,8,15,2,
3,10,15,3,
4,8,11,5,
3,9,14,7,
3,9,15,6,

3,10,17,8,
4,13,15,0,
3,10,15,3,
3,10,14,4,
4,9,10,3,
4,8,14,2,
3,12,17,2,
4,8,11,5,
3,9,16,5,
4,7,15,11,

3,10,17,8,
4,13,15,0,
3,10,15,3,
4,12,15,3,
3,13,17,0,
3,8,18,6,
4,14,18,1,
4,11,15,6,
3,8,18,6,
4,7,15,11,

3,12,19,7,
3,15,18,0,
3,12,18,1,
4,14,17,2,
4,13,16,0,
3,8,22,9,
3,16,21,0,
3,13,19,4,
4,8,19,4,
3,13,22,8,

4,11,19,9,
3,17,22,0,
3,11,19,3,
3,16,20,1,
4,15,18,0,
4,8,21,9,
3,17,25,1,
4,13,18,4,
4,10,21,3,
4,12,21,11,

4,11,19,9,
4,17,21,0,
4,11,18,3,
3,14,20,7,
4,15,18,0,
4,8,21,9,
4,15,27,4,
3,13,23,7,
4,10,21,3,
3,16,26,9,

# Showing cells 0-10 until 9.62537 min
