
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
10,0,0,0,10,1,1,

specie1,specie2,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,

94,6,
97,3,
94,6,
95,5,
94,6,
98,2,
96,4,
93,7,
97,3,
95,5,

87,13,
89,11,
89,11,
89,11,
88,12,
89,11,
93,7,
85,15,
90,10,
93,7,

81,19,
84,16,
86,14,
85,15,
83,17,
86,14,
86,14,
80,20,
86,14,
88,12,

72,28,
76,24,
84,16,
79,21,
79,21,
82,18,
82,18,
75,25,
84,16,
80,20,

67,33,
73,27,
78,22,
75,25,
69,31,
78,22,
75,25,
72,28,
81,19,
76,24,

62,38,
66,34,
73,27,
67,33,
67,33,
69,31,
67,33,
67,33,
74,26,
73,27,

58,42,
59,41,
70,30,
62,38,
62,38,
65,35,
62,38,
61,39,
70,30,
71,29,

54,46,
57,43,
62,38,
54,46,
57,43,
55,45,
57,43,
53,47,
65,35,
66,34,

44,56,
50,50,
58,42,
53,47,
53,47,
48,52,
49,51,
49,51,
63,37,
59,41,

# Showing cells 0-10 until 9.20898 min
