
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
10,0,0,0,10,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

8,8,50,30,
0,4,55,81,
15,8,62,45,
0,0,44,68,
0,2,49,42,
4,0,13,42,
4,0,66,43,
5,0,65,61,
2,2,42,33,
9,4,50,38,

5,2,33,36,
0,2,51,93,
2,2,84,63,
2,0,74,109,
0,0,53,51,
2,0,5,22,
0,0,77,61,
8,0,87,75,
4,2,52,49,
0,2,45,61,

2,2,41,34,
2,4,50,98,
2,2,69,42,
0,0,94,99,
0,0,66,64,
1,0,6,25,
0,2,40,54,
16,8,92,65,
4,4,55,53,
4,0,26,53,

4,2,30,21,
0,2,30,92,
0,0,57,29,
6,2,87,90,
2,0,66,58,
0,0,2,9,
12,0,26,28,
16,0,119,98,
2,4,39,37,
2,0,39,46,

9,8,21,17,
7,0,49,95,
9,4,55,32,
15,16,79,101,
0,0,42,60,
2,4,1,12,
0,2,35,38,
0,0,88,88,
2,6,30,35,
7,4,43,63,

0,4,9,3,
1,4,43,94,
2,0,74,53,
22,2,66,99,
5,4,48,52,
2,2,3,17,
0,4,21,41,
7,2,104,105,
4,2,24,23,
1,2,26,62,

0,2,6,10,
1,2,20,112,
1,6,60,55,
0,0,69,93,
7,0,69,54,
10,0,1,20,
4,2,33,36,
2,2,75,99,
0,2,38,28,
13,0,28,48,

9,2,16,6,
20,4,7,111,
0,0,33,37,
0,2,87,90,
0,0,84,52,
0,0,3,16,
0,0,36,52,
1,0,71,85,
2,0,33,56,
3,2,21,39,

8,6,20,4,
0,0,32,125,
1,0,24,28,
10,6,78,82,
0,0,109,74,
3,0,2,4,
1,0,51,61,
2,0,50,91,
0,2,31,36,
4,0,35,59,

# Showing cells 0-10 until 9.00307 min
