
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
10,0,0,0,10,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

12,67,41,35,
26,52,40,41,
30,52,38,45,
27,43,41,46,
27,45,37,45,
32,38,38,44,
12,62,47,35,
37,19,33,58,
6,76,52,30,
9,65,49,31,

13,70,35,26,
41,23,21,48,
9,61,40,25,
17,45,35,34,
7,64,51,23,
20,42,31,34,
36,34,19,46,
13,35,42,33,
19,54,35,45,
4,72,54,18,

2,66,41,23,
33,23,20,35,
35,33,23,32,
12,46,31,23,
20,49,30,31,
16,26,24,29,
35,17,19,39,
13,43,29,29,
26,35,27,40,
8,61,32,29,

9,57,37,21,
19,25,20,22,
3,45,32,16,
0,46,30,22,
24,35,15,38,
29,7,8,39,
6,38,32,19,
24,36,24,20,
27,30,15,42,
0,77,58,6,

44,26,8,35,
6,43,31,9,
1,53,35,10,
17,34,19,28,
11,42,25,21,
9,27,23,17,
19,31,19,26,
3,40,24,18,
20,33,19,28,
15,64,47,23,

10,39,26,15,
1,63,47,6,
17,35,24,15,
19,16,18,23,
25,14,11,28,
15,8,15,20,
7,29,21,15,
21,22,7,28,
30,13,9,34,
24,49,29,32,

1,47,32,7,
0,57,43,18,
30,8,9,28,
23,21,14,31,
17,14,9,22,
13,10,11,19,
3,44,30,5,
22,5,10,25,
12,23,20,14,
17,44,25,30,

20,35,20,27,
13,52,35,22,
15,13,11,19,
4,39,30,7,
1,34,20,8,
11,8,8,15,
0,55,43,2,
16,7,9,23,
4,22,15,14,
2,51,33,17,

12,35,20,22,
0,54,40,13,
6,18,13,11,
5,45,29,15,
18,19,8,21,
16,6,7,11,
3,62,45,15,
15,4,5,21,
0,36,26,0,
20,31,20,21,

# Showing cells 0-10 until 9.00231 min
