
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
10,0,0,0,10,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

163,191,59,73,
195,177,80,71,
165,121,55,33,
161,157,70,68,
145,173,62,76,
173,187,64,71,
202,170,64,48,
151,151,52,52,
201,181,36,26,
169,197,28,42,

297,281,79,71,
331,263,94,60,
280,234,59,36,
302,270,74,58,
286,342,74,102,
266,234,91,75,
312,304,63,59,
278,256,69,58,
324,288,54,36,
285,283,31,30,

475,445,90,75,
486,372,107,50,
373,375,43,44,
352,366,66,73,
393,513,72,132,
392,314,100,61,
421,365,66,38,
445,471,40,53,
418,404,62,55,
388,386,45,44,

572,548,102,90,
656,548,133,79,
551,539,39,33,
452,458,66,69,
474,586,62,118,
489,393,100,52,
579,475,87,35,
526,632,33,86,
559,503,62,34,
551,543,46,42,

658,640,99,90,
804,706,127,78,
697,707,41,46,
554,578,53,65,
556,682,65,128,
606,486,111,51,
743,607,90,22,
608,742,3,70,
677,619,54,25,
705,683,46,35,

779,725,104,77,
911,807,132,80,
804,818,41,48,
678,668,42,37,
607,777,52,137,
674,568,112,59,
894,750,103,31,
766,876,14,69,
777,705,32,7,
803,711,71,25,

923,891,87,71,
949,907,108,87,
929,875,63,36,
771,795,35,47,
687,895,30,134,
817,711,116,63,
1042,882,115,35,
823,947,5,67,
906,830,51,24,
901,883,74,65,

1038,986,85,59,
1075,985,134,89,
1062,1024,68,49,
852,902,30,55,
728,966,8,127,
953,835,138,79,
1284,1040,124,2,
899,1029,12,77,
1078,984,71,35,
1009,1039,55,70,

1118,1104,70,63,
1121,1093,117,103,
1125,1147,61,72,
956,994,6,25,
859,1069,18,123,
1129,979,123,48,
1495,1237,139,11,
969,1099,12,70,
1207,1085,62,12,
1147,1177,48,63,

# Showing cells 0-10 until 9 min
