
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
10,0,0,0,10,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

514,267,454,15,
556,214,449,0,
580,269,404,0,
517,192,400,29,
586,237,401,6,
552,380,340,8,
537,338,486,15,
545,282,472,0,
579,258,448,2,
582,111,452,25,

978,540,794,11,
1033,424,841,1,
1158,541,816,2,
986,384,765,2,
1097,432,771,4,
1010,582,741,1,
987,602,755,4,
924,541,802,5,
1019,567,774,7,
1067,271,787,6,

1416,740,1230,1,
1532,661,1210,1,
1664,713,1215,6,
1396,658,1132,3,
1578,728,1103,1,
1583,827,1153,4,
1483,861,1137,3,
1438,777,1160,2,
1468,793,1202,7,
1659,429,1172,12,

1890,939,1672,0,
2000,810,1553,11,
2226,862,1616,1,
1941,844,1525,25,
2036,891,1510,4,
2016,1093,1512,2,
1949,1097,1589,15,
1980,965,1524,1,
1986,920,1614,5,
2135,594,1528,1,

2377,1223,1947,11,
2460,1026,1915,10,
2689,1039,1983,2,
2415,1052,1925,0,
2542,1068,1901,7,
2487,1256,1888,1,
2430,1278,1974,2,
2463,1112,1936,14,
2452,1125,1968,3,
2586,873,1793,23,

2837,1395,2319,1,
2825,1218,2247,8,
3182,1248,2350,27,
2883,1261,2285,17,
3083,1143,2355,0,
2937,1472,2155,37,
2919,1457,2331,2,
2889,1333,2243,5,
2986,1333,2422,1,
3046,1040,2124,2,

3381,1538,2744,4,
3358,1390,2559,26,
3612,1458,2709,0,
3406,1478,2774,0,
3528,1449,2704,35,
3486,1627,2569,23,
3422,1591,2719,13,
3395,1540,2655,2,
3315,1653,2732,1,
3414,1330,2479,1,

3829,1780,3133,3,
3795,1646,2930,0,
4144,1552,3114,7,
3993,1567,3265,2,
3904,1685,3110,2,
3959,1924,2894,11,
3850,1825,3123,2,
3790,1777,2998,5,
3881,1927,3053,41,
3806,1639,2768,12,

4244,2119,3514,1,
4244,1974,3226,15,
4629,1790,3489,1,
4509,1653,3655,1,
4411,1936,3401,16,
4420,2068,3250,21,
4318,2065,3411,2,
4265,2094,3400,0,
4323,2130,3351,1,
4351,1815,3160,8,

# Showing cells 0-10 until 9 min
