
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
10,0,0,0,10,1,1,1,1,

specie1,specie2,specie3,specie4,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,

6,5,4,5,
5,5,6,4,
5,6,7,7,
5,6,8,6,
6,5,4,5,
6,5,4,5,
5,3,5,11,
6,5,4,5,
6,4,5,7,
6,5,4,5,

6,5,4,5,
6,5,5,4,
6,8,9,5,
6,5,7,9,
6,5,4,5,
5,9,9,3,
6,3,4,11,
6,5,4,5,
5,6,8,6,
6,5,4,5,

6,5,4,5,
6,6,8,5,
6,8,9,5,
6,7,12,5,
6,5,4,5,
5,9,10,2,
5,5,7,10,
6,7,6,4,
5,6,10,11,
6,6,6,7,

6,5,4,5,
6,7,10,7,
6,8,9,5,
6,7,12,5,
5,7,8,3,
6,8,9,5,
6,4,7,12,
5,8,9,6,
6,6,9,11,
5,7,11,7,

5,7,7,4,
6,7,10,7,
6,8,9,5,
6,9,15,3,
5,9,10,2,
6,10,11,4,
5,5,13,11,
6,6,8,12,
5,8,12,10,
6,7,11,6,

5,6,7,7,
5,9,13,6,
6,8,9,5,
5,11,19,1,
6,11,11,1,
6,10,11,4,
5,6,16,12,
6,6,8,12,
5,9,15,11,
6,7,11,6,

5,5,10,7,
6,9,12,6,
5,10,13,3,
6,12,21,3,
6,11,11,1,
6,12,13,3,
5,6,16,12,
5,8,11,11,
5,10,17,13,
6,7,11,6,

6,3,10,12,
5,12,17,7,
6,10,12,3,
5,14,24,2,
6,11,11,1,
5,14,16,2,
5,8,18,11,
5,10,14,9,
5,10,18,12,
5,9,16,3,

6,5,12,11,
5,11,17,10,
6,11,14,5,
5,17,29,3,
6,11,11,1,
5,13,16,5,
5,4,21,20,
5,11,16,11,
6,10,17,12,
6,11,17,2,

# Showing cells 0-10 until 9 min
