
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
10,0,0,0,10,1,1,

specie1,specie2,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,

95,5,
94,6,
96,4,
96,4,
92,8,
93,7,
95,5,
96,4,
93,7,
94,6,

92,8,
89,11,
86,14,
91,9,
85,15,
85,15,
92,8,
93,7,
87,13,
89,11,

89,11,
85,15,
82,18,
80,20,
84,16,
83,17,
85,15,
85,15,
82,18,
81,19,

84,16,
82,18,
80,20,
76,24,
80,20,
78,22,
81,19,
81,19,
81,19,
76,24,

79,21,
76,24,
72,28,
70,30,
76,24,
72,28,
77,23,
77,23,
78,22,
68,32,

73,27,
72,28,
69,31,
64,36,
72,28,
68,32,
72,28,
74,26,
76,24,
63,37,

70,30,
67,33,
65,35,
59,41,
64,36,
61,39,
67,33,
71,29,
70,30,
60,40,

66,34,
61,39,
62,38,
52,48,
55,45,
52,48,
63,37,
68,32,
66,34,
54,46,

63,37,
58,42,
57,43,
45,55,
54,46,
42,58,
60,40,
67,33,
60,40,
48,52,

# Showing cells 0-10 until 9 min
