
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
10,0,0,0,10,1,1,1,1,

specie1,specie2,specie3,specie4,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,
50,50,50,50,

2,8,37,57,
2,0,59,45,
0,0,49,61,
0,4,49,62,
2,2,26,39,
0,0,63,41,
0,0,67,49,
0,4,65,41,
0,0,68,77,
2,4,75,82,

2,2,41,68,
0,0,43,48,
4,6,65,106,
24,10,34,43,
5,0,20,33,
2,0,50,37,
0,0,48,33,
3,0,49,40,
0,0,56,65,
18,2,54,42,

0,0,51,67,
1,10,48,61,
2,0,44,99,
2,6,26,52,
10,0,41,30,
7,0,60,38,
12,0,51,39,
3,2,42,13,
0,0,80,84,
4,6,38,60,

2,2,44,79,
3,0,61,75,
14,4,23,74,
0,0,21,45,
0,6,35,38,
17,4,73,34,
2,4,43,16,
2,2,51,38,
0,0,90,86,
10,2,39,65,

0,4,32,62,
3,4,47,58,
4,6,20,91,
2,2,11,44,
2,0,37,35,
6,0,99,49,
0,0,44,26,
0,0,57,53,
2,4,60,83,
4,4,38,62,

12,4,34,67,
7,8,40,45,
0,2,37,97,
1,2,11,37,
4,0,40,28,
3,0,85,49,
12,4,34,4,
5,2,62,59,
11,4,51,79,
2,0,45,44,

6,14,30,56,
3,0,59,63,
5,0,40,101,
5,0,23,41,
0,0,27,24,
5,0,103,55,
1,8,33,4,
7,4,48,39,
3,0,46,68,
3,2,41,48,

0,2,33,67,
13,0,32,70,
0,2,46,109,
6,2,27,48,
2,2,39,50,
0,0,97,64,
5,2,27,5,
3,0,40,37,
16,4,53,81,
0,6,30,44,

6,0,46,63,
0,0,23,86,
2,2,59,101,
11,2,22,49,
10,8,28,38,
0,0,85,80,
13,4,30,2,
1,2,38,21,
0,0,43,62,
0,0,31,29,

# Showing cells 0-10 until 9 min
