
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
50,0,0,0,50,1,1,1,1,

specie1,specie2,specie3,specie4,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,
5,5,5,50,

11,3,7,17,
7,6,9,17,
5,6,9,40,
4,6,6,53,
10,5,5,72,
4,6,8,72,
7,7,11,22,
5,6,8,57,
10,7,8,50,
8,7,5,50,
9,8,7,50,
7,4,8,67,
4,7,4,38,
6,5,7,37,
7,6,5,62,
7,3,6,46,
9,7,5,65,
7,8,5,66,
5,7,6,52,
8,6,5,40,
5,6,7,46,
6,8,5,30,
3,7,7,77,
4,7,5,86,
4,9,6,42,
6,6,8,65,
6,7,6,56,
6,9,7,44,
5,3,6,68,
6,4,7,61,
5,7,3,62,
6,6,5,61,
4,7,5,45,
6,4,5,44,
5,6,8,51,
7,6,5,29,
4,7,8,77,
8,8,5,43,
5,3,8,56,
6,6,6,96,
6,8,8,37,
6,6,5,62,
8,7,4,42,
8,8,3,49,
5,5,5,88,
8,6,6,44,
8,6,6,59,
3,5,8,51,
5,5,8,90,
6,8,8,65,

12,1,9,0,
11,7,10,0,
7,5,8,50,
6,7,8,72,
10,8,11,133,
6,5,7,106,
6,9,13,0,
5,7,8,56,
12,7,10,43,
10,9,6,57,
9,7,8,69,
9,2,9,113,
6,5,5,11,
7,5,9,13,
11,8,3,59,
8,6,4,57,
9,6,11,107,
8,7,6,98,
6,6,6,31,
9,5,3,32,
5,7,10,46,
10,6,7,2,
5,10,6,139,
4,7,11,182,
1,11,5,35,
11,6,9,126,
6,9,6,86,
4,9,9,27,
6,4,6,123,
3,4,6,112,
6,11,3,113,
9,7,5,57,
4,8,6,50,
6,5,7,30,
6,6,8,69,
7,6,8,24,
7,7,8,156,
9,12,5,64,
8,7,7,89,
5,8,5,200,
5,8,8,24,
7,6,4,103,
9,8,2,18,
9,10,5,43,
7,6,5,183,
11,9,9,86,
9,6,9,88,
3,6,8,48,
5,6,8,176,
7,9,7,78,

12,4,13,0,
13,9,12,0,
10,4,8,81,
8,9,10,145,
9,8,12,254,
7,7,1,260,
4,12,16,0,
3,7,8,103,
11,11,12,43,
12,12,10,62,
8,6,10,136,
9,4,11,248,
9,6,8,0,
10,5,10,0,
11,9,4,90,
7,7,3,84,
9,7,12,190,
11,8,8,203,
8,9,13,0,
10,6,5,0,
4,7,12,46,
9,6,9,0,
4,10,6,285,
4,9,9,424,
1,10,4,27,
10,8,10,253,
5,9,5,151,
6,7,7,0,
6,3,9,219,
3,5,9,219,
3,11,3,253,
14,8,6,97,
3,9,10,60,
9,5,10,6,
10,10,11,122,
8,6,7,0,
5,10,8,323,
7,12,5,104,
11,6,10,196,
7,10,7,447,
8,7,10,0,
5,7,4,170,
9,7,8,0,
12,11,9,73,
5,7,7,476,
7,8,9,159,
10,9,13,172,
6,7,12,79,
6,8,8,370,
8,11,6,190,

14,4,15,0,
14,13,14,0,
10,4,7,152,
10,9,12,352,
9,9,12,633,
7,9,3,608,
4,15,16,0,
3,7,11,256,
12,12,11,38,
12,11,11,109,
11,6,10,278,
11,5,10,615,
9,7,7,0,
10,5,11,0,
9,12,4,142,
8,7,1,145,
10,8,12,420,
13,8,10,467,
10,12,12,0,
13,8,3,0,
7,10,13,29,
12,5,10,0,
8,9,7,670,
8,9,9,1050,
9,10,3,0,
10,11,11,577,
7,8,7,345,
8,6,8,0,
4,4,8,541,
3,6,11,520,
2,10,3,644,
17,8,8,196,
3,11,8,60,
11,6,9,0,
13,13,9,259,
9,7,8,0,
8,11,7,824,
8,14,5,190,
11,6,8,432,
9,13,9,1140,
8,6,13,0,
4,7,6,348,
10,10,9,0,
13,12,11,145,
7,9,8,1237,
5,8,10,401,
9,11,12,389,
6,5,12,132,
8,11,7,887,
9,12,8,435,

15,7,18,0,
16,13,13,0,
9,4,9,370,
12,11,15,859,
9,11,10,1601,
9,13,5,1513,
4,13,17,0,
1,9,14,616,
12,13,9,10,
13,11,12,176,
14,11,11,659,
12,6,13,1553,
9,8,9,0,
13,4,12,0,
6,11,6,282,
11,7,1,337,
16,9,15,1045,
13,7,10,1114,
9,12,14,0,
14,11,8,0,
9,12,15,19,
12,6,10,0,
7,12,8,1686,
6,10,9,2724,
6,12,2,0,
12,10,13,1524,
9,9,8,907,
8,9,10,0,
8,9,7,1316,
5,5,11,1289,
1,13,5,1667,
18,9,11,443,
5,12,9,70,
13,5,10,0,
14,13,12,631,
11,6,10,0,
10,9,8,2105,
9,15,8,429,
13,8,7,1052,
11,15,13,2925,
8,5,13,0,
3,8,6,853,
9,12,11,0,
15,11,13,322,
11,15,6,3381,
9,8,10,964,
10,14,11,969,
5,5,13,259,
10,12,9,2304,
9,12,7,1132,

18,6,18,0,
17,14,14,0,
7,7,10,982,
11,11,18,2318,
11,14,12,4094,
8,15,5,4076,
8,14,19,0,
0,15,14,1534,
17,15,11,0,
14,12,12,384,
15,9,14,1703,
12,8,13,4182,
11,10,9,0,
14,10,12,0,
6,11,7,709,
11,7,0,852,
16,9,15,2661,
14,7,13,3019,
10,12,17,0,
14,14,8,0,
9,14,14,0,
11,8,9,0,
9,11,8,4571,
7,14,10,7355,
7,12,4,0,
12,11,13,3950,
11,12,9,2438,
9,8,11,0,
7,11,7,3430,
5,6,11,3545,
3,16,8,4404,
22,12,12,1137,
6,13,11,109,
12,2,9,0,
12,14,13,1637,
12,5,10,0,
11,10,8,5666,
5,17,9,1021,
12,7,7,2752,
12,14,13,7961,
10,9,14,0,
4,10,4,2219,
11,14,9,0,
16,13,14,799,
9,18,6,9076,
9,11,10,2455,
11,16,11,2569,
7,6,14,626,
15,14,8,6281,
12,14,7,2907,

20,9,17,0,
19,17,13,0,
11,7,10,2568,
11,12,17,6155,
10,17,12,11055,
9,15,7,11424,
12,16,20,0,
3,19,15,3953,
17,13,15,0,
15,12,14,993,
16,9,16,4434,
12,6,14,11269,
11,7,9,0,
11,8,12,0,
9,15,6,1804,
12,7,0,2163,
17,12,15,7336,
16,7,14,7915,
11,12,18,0,
16,13,9,0,
8,12,15,0,
13,8,12,0,
9,10,9,12190,
10,14,13,19907,
7,14,2,0,
13,13,15,10655,
15,11,10,6680,
10,9,13,0,
9,12,8,9308,
7,6,15,9441,
5,14,9,11986,
25,12,11,2992,
5,13,9,178,
13,4,10,0,
9,16,13,4248,
15,3,12,0,
14,9,8,15603,
8,18,12,2724,
14,5,7,7557,
14,17,13,21189,
9,11,18,0,
2,7,6,5854,
13,13,9,0,
19,12,13,2073,
13,19,5,24573,
13,15,9,6600,
10,18,14,6866,
6,6,18,1740,
16,13,11,17042,
13,16,6,8072,

21,7,16,0,
21,18,13,0,
12,6,12,6778,
14,13,16,16586,
10,18,13,29767,
12,15,6,31207,
14,16,21,0,
2,16,20,10591,
18,14,16,0,
14,14,18,2792,
20,8,19,11912,
13,7,15,30485,
10,8,9,0,
12,9,14,0,
9,19,5,4806,
14,9,2,5695,
19,14,17,19843,
16,9,14,21580,
13,12,19,0,
16,12,8,0,
10,13,16,0,
13,12,12,0,
12,12,9,33305,
9,14,15,53727,
7,13,1,0,
12,13,15,28986,
16,13,12,18134,
12,11,15,0,
9,11,10,24902,
8,6,15,25583,
3,16,11,32697,
26,14,11,7971,
5,15,9,438,
14,3,11,0,
10,16,17,11535,
12,3,14,0,
15,12,11,42182,
12,19,14,7305,
14,6,7,20335,
14,16,13,56962,
7,11,19,0,
4,6,8,15840,
14,14,12,0,
17,12,14,5484,
14,21,7,66384,
15,17,12,17791,
10,21,18,18583,
6,6,19,4645,
18,14,9,46597,
16,15,1,21832,

24,8,16,0,
24,18,16,0,
16,9,13,18611,
16,14,18,45264,
13,18,13,80516,
13,14,7,85374,
17,16,22,0,
5,18,21,28608,
21,14,16,0,
16,13,21,7483,
24,7,17,32181,
14,10,14,82723,
15,11,11,0,
12,11,16,0,
10,22,6,13103,
15,9,3,15286,
21,20,18,53555,
19,11,16,58489,
14,14,17,0,
21,13,9,0,
12,17,16,0,
16,11,13,0,
12,15,14,90917,
10,14,15,146334,
8,14,1,0,
14,15,17,79218,
16,15,13,49442,
11,12,16,0,
10,14,14,67200,
9,8,16,69905,
6,18,9,88738,
26,12,12,21444,
4,15,8,1093,
15,5,14,0,
10,16,18,31134,
13,5,15,0,
17,13,13,114677,
14,19,15,19677,
16,7,6,55634,
13,20,13,154050,
10,12,18,0,
4,9,12,43219,
