,Fast Gillespie,Gillespie Direct,Rejection,Next Reaction,Sorting Direct,
Time 0,584453,612754,2.26892e+06,525378,594953,
Time 1,560117,642727,2.46967e+06,470704,596744,
Time 2,566772,621672,2.30807e+06,500564,640787,
Time 3,598635,575785,2.77306e+06,543734,651472,
Time 4,578768,651181,2.65602e+06,576269,633966,
Time 5,623745,658677,2.73341e+06,313216,603007,
Time 6,621373,655184,3.42141e+06,587827,649933,
Time 7,602066,612008,2.65884e+06,371402,640213,
Time 8,599857,635603,2.20813e+06,388212,646155,
Time 9,621752,657875,4.00693e+06,556906,637714,
