,Fast Gillespie,Gillespie Direct,Rejection,Next Reaction,Sorting Direct,
Time 0,4.85657e+06,6.84315e+06,4.01159e+06,8.44212e+06,5.00329e+06,
Time 1,4.4317e+06,7.04717e+06,4.20402e+06,8.73982e+06,5.12053e+06,
Time 2,4.66507e+06,7.10963e+06,4.19491e+06,8.32902e+06,5.2397e+06,
Time 3,4.81896e+06,7.16399e+06,4.18818e+06,8.3007e+06,4.97099e+06,
Time 4,6.31849e+06,7.47362e+06,3.95149e+06,8.30341e+06,5.28698e+06,
Time 5,6.45567e+06,6.88184e+06,4.11012e+06,8.31882e+06,5.26858e+06,
Time 6,6.44136e+06,7.3355e+06,4.11898e+06,8.99627e+06,5.20559e+06,
Time 7,6.6748e+06,7.30812e+06,4.46162e+06,9.29622e+06,5.31333e+06,
Time 8,6.66865e+06,7.38886e+06,4.31326e+06,9.04128e+06,4.87677e+06,
Time 9,6.48338e+06,7.35995e+06,4.47618e+06,9.38046e+06,5.16054e+06,
