,Fast Gillespie,Gillespie Direct,Rejection,Next Reaction,Sorting Direct,
Time 0,1.14633e+06,5.14403e+06,568981,3.09828e+06,3.77284e+06,
Time 1,4.01013e+06,7.4048e+06,762256,4.75737e+06,5.7923e+06,
Time 2,4.67532e+06,7.32032e+06,780126,1.5625e+06,5.69133e+06,
Time 3,5.7929e+06,7.96903e+06,658641,0,5.76161e+06,
Time 4,5.98114e+06,7.89266e+06,847987,0,5.64794e+06,
Time 5,6.15496e+06,7.87402e+06,970268,0,5.92541e+06,
Time 6,6.33654e+06,7.23831e+06,696063,0,5.92384e+06,
Time 7,6.49675e+06,6.99746e+06,780412,0,6.3675e+06,
Time 8,6.83216e+06,7.77303e+06,749384,0,6.6313e+06,
Time 9,7.0028e+06,7.88695e+06,778008,0,6.68364e+06,
