,Fast Gillespie,Gillespie Direct,Rejection,Next Reaction,Sorting Direct,
Time 0,2.43651e+06,4.15744e+06,2.01913e+06,1.31484e+06,3.58979e+06,
Time 1,2.4782e+06,4.40444e+06,1.68521e+06,1.3502e+06,4.13046e+06,
Time 2,2.46779e+06,4.47217e+06,1.45641e+06,1.42731e+06,4.09552e+06,
Time 3,2.45434e+06,4.45871e+06,952652,1.39144e+06,3.83974e+06,
Time 4,2.49296e+06,4.48093e+06,920281,1.27815e+06,4.09665e+06,
Time 5,3.55605e+06,4.46784e+06,867828,1.36508e+06,4.00924e+06,
Time 6,4.44781e+06,4.43093e+06,642479,1.40109e+06,4.06022e+06,
Time 7,4.46105e+06,4.45277e+06,901650,1.40271e+06,4.1346e+06,
Time 8,4.30304e+06,4.44775e+06,725060,1.46104e+06,3.72306e+06,
Time 9,3.88101e+06,4.46568e+06,600848,1.41961e+06,3.34543e+06,
